Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Natale, David R",University of Calgary,Alberta,Operating Grant,201203MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Characterization of placental adaptations to stress during pregnancy in the mouse,"$618,087 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2012/10/01,"placental, stress, pregnancy",0,zN/A,0,zN/A,"Natale, David R",
"Nattel, Stanley",Montreal Heart Institute,Quebec,Operating Grant,200903MOP,Cardiovascular System - B: Heart and Circulation,Molecular control of cardiac repolarization and the substrate for lethal ventricular arrhythmias,"$996,262 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/10/01,"molecular, cardiac, arrhythmias",0,zN/A,0,zN/A,"Nattel, Stanley",
"Nattel, Stanley",Montreal Heart Institute,Quebec,Operating Grant,201009MOP,Cardiovascular System - B: Heart and Circulation,Mechanisms underlying atrial fibrillation in animal models,"$1,084,001 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2011/04/01,"atrial fibrillation, animal models, mechanisms",0,zN/A,0,zN/A,"Nattel, Stanley",
"Nattel, Stanley",Montreal Heart Institute,Quebec,Operating Grant,201109MOP,Cardiovascular System - B: Heart and Circulation,Mechanisms and consequences of atrial ionic remodeling,"$1,126,252 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"atrial, ionic, remodeling",1,zN/A,0,zN/A,"Nattel, Stanley",
"Nattel, Stanley",Montreal Heart Institute,Quebec,Project Grant,202203PJT,Cardiovascular System - B: Heart and Circulation,Role of the Calcitonin Receptor System in Cardiac Physiology and Remodeling,"$921,826 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2022/10/01,"Calcitonin, Receptor, Cardiac",0,zN/A,0,zN/A,"Nattel, Stanley",
"Naumova, Anna K",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201103MOP,Genetics,Genetic and epigenetic control of the ZPBP2/ORMDL3/GSDMB domain and susceptibility to asthma,"$716,290 ",$0 ,5 yrs 0 mth ,Genetics,2011/10/01,"genetic, epigenetic, asthma",0,zN/A,0,zN/A,"Naumova, Anna K",
"Naus, Christian C",University of British Columbia,British Columbia,Project Grant,201709PJT,"Gender, Sex & Health",Pannexin1 mediation of stroke recovery responses: Sex and sex steroid influences,"$692,325 ",$0 ,5 yrs 0 mth ,Gender and Health,2018/04/01,"Pannexin1, stroke, recovery",0,zN/A,0,zN/A,"Naus, Christian C",
"Navarre, William W",University of Toronto,Ontario,Operating Grant,201209MOP,Microbiology & Infectious Diseases,The role of bacterial silencing proteins in virulence gene expression,"$738,083 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2013/04/01,"bacterial, silencing proteins, virulence gene",0,zN/A,0,zN/A,"Navarre, William W",
"Nazy, Ishac",McMaster University,Ontario,Project Grant,202003PJT,"Hematology, Digestive Disease & Kidney",Targeting immunodominant regions on platelet factor 4 for the diagnosis and treatment of heparin-induced thrombocytopenia,"$596,700 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2020/10/01,"immunodominant regions, platelet factor 4, thrombocytopenia",0,zN/A,0,zN/A,"Nazy, Ishac",
"Neder Serafini, Jose Alberto","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202309PJT,Respiratory System,Combining pulmonary functional imaging and clinical respiratory physiology to uncover the structural determinants of wasted ventilation in dyspneic patients at the initial stages of COPD,"$344,250 ",$0 ,2 yrs 0 mth ,Circulatory and Respiratory Health,2024/04/01,"pulmonary imaging, respiratory physiology, COPD",0,zN/A,0,zN/A,"Neder Serafini, Jose Alberto",
"Neel, Benjamin G",University Health Network (Toronto),Ontario,Operating Grant,200909MOP,Molecular & Cellular Biology of Cancer,Role of PTP1B in Her2+ breast cancer,"$765,940 ",$0 ,5 yrs 0 mth ,Cancer Research,2010/04/01,"PTP1B, Her2, breast cancer",1,zN/A,0,zN/A,"Neel, Benjamin G",
"Neel, Benjamin G",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Molecular & Cellular Biology of Cancer,The RAS-hVPS34-PTPRD pathway in lung tumorigenesis,"$754,635 ",$0 ,5 yrs 0 mth ,Cancer Research,2013/04/01,"RAS, hVPS34, lung tumorigenesis",0,zN/A,0,zN/A,"Neel, Benjamin G",
"Neel, Benjamin G",University Health Network (Toronto),Ontario,Operating Grant,201309MOP,Cell Biology & Mechanisms of Disease,The Gab/Par pathway in development and cancer,"$706,505 ",$0 ,5 yrs 0 mth ,Cancer Research,2014/04/01,"Gab, Par, pathway",0,zN/A,0,zN/A,"Neel, Benjamin G",
"Nelson, Katherine E",Hospital for Sick Children (Toronto),Ontario,Project Grant,202303PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Defining a Stage-Based Framework of Comorbidities among Children with Severe Neurologic Impairment,"$328,950 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",2023/10/01,"Stage, Framework, Neurologic impairment",0,zN/A,0,zN/A,"Nelson, Katherine E",
"Nemer, Mona",University of Ottawa,Ontario,Operating Grant,200903MOP,Cardiovascular System - A: Cells and Tissues,Role of GATA transcription factors in the heart,"$878,729 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/10/01,"GATA, transcription factors, heart",0,zN/A,0,zN/A,"Nemer, Mona",
"Nemer, Mona",University of Ottawa,Ontario,Operating Grant,200903MOP,Cardiovascular System - A: Cells and Tissues,Role of GATA transcription factors in the heart,"$878,729 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/10/01,"GATA, transcription factors, heart",0,zN/A,0,zN/A,"Nemer, Mona",
"Nemer, Mona",University of Ottawa,Ontario,Operating Grant,201009MOP,Cardiovascular System - A: Cells and Tissues,Molecular dissection of valve and outflow tract development,"$758,295 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2011/04/01,"molecular, valve, outflow tract",0,zN/A,0,zN/A,"Nemer, Mona",
"Nemer, Mona",University of Ottawa,Ontario,Operating Grant,201505MOP,Cardiovascular System - A: Cells and Tissues,Role of GATA transcription factors in the heart,"$100,000 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2015/10/01,"GATA, transcription factors, heart",1,zN/A,0,zN/A,"Nemer, Mona",
"Nemer, Mona",University of Ottawa,Ontario,Operating Grant,201505MOP,Cardiovascular System - A: Cells and Tissues,Role of GATA transcription factors in the heart,"$100,000 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2015/10/01,"GATA, transcription factors, heart",0,zN/A,0,zN/A,"Nemer, Mona",
"Nepomnaschy, Pablo A","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant,201003MOP,"Gender, Sex & Health",Interplay between women's stress and reproductive axes: The dynamic transition from post-postpartum infertility to ovarian cyclicity,"$364,879 ",$0 ,3 yrs 0 mth ,Gender and Health,2010/10/01,"stress, reproductive axes, ovarian cyclicity",0,zN/A,0,zN/A,"Nepomnaschy, Pablo A",
"Nepveu, Alain",McGill University,Quebec,Project Grant,202303PJT,Molecular & Cellular Biology of Cancer,A Non-Transcriptional Function of MYC,"$986,850 ",$0 ,5 yrs 0 mth ,Cancer Research,2023/10/01,"MYC, Non-Transcriptional",0,zN/A,0,zN/A,"Nepveu, Alain",
"Nery, Pablo",Ottawa Heart Institute Research Corporation (Ontario),Ontario,Project Grant,202003PJT,Clinical Investigation - D: Cardiovascular Systems,Characterization of Arrhythmia Substrate to Ablate Persistent Atrial Fibrillation (COAST-AF) Randomized Controlled Trial,"$952,426 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2020/10/01,"Arrhythmia, Atrial Fibrillation, Ablation",0,zN/A,0,zN/A,"Nery, Pablo",
"Nesheim, Michael E","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,200903MOP,Experimental Medicine,Functional Properties of Prothrombinase,"$619,484 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/10/01,"Prothrombinase, Functional, Properties",3,zN/A,0,zN/A,"Nesheim, Michael E",
"Nesheim, Michael E","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,200903MOP,Experimental Medicine,Functional Properties of Prothrombinase,"$619,484 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/10/01,"Prothrombinase, Functional, Properties",0,zN/A,0,zN/A,"Nesheim, Michael E",
"Newton, Mandi S",University of Alberta,Alberta,Operating Grant,201109MOP,Social & Developmental Aspects of Children's & Youth's Health,Developing an Internet-based program for anxious youth who visit the emergency department for mental health care: A strategy to increase access to post-crisis care,"$331,715 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",2012/04/01,"Internet, mental health, anxious youth",0,zN/A,0,zN/A,"Newton, Mandi S",
"Newton, Robert",University of Calgary,Alberta,Operating Grant,201209MOP,Respiratory System,Understanding glucocorticoid action in the airways: Unravelling complexity,"$703,000 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2013/04/01,"glucocorticoid, airways, action",0,zN/A,0,zN/A,"Newton, Robert",
"Newton, Robert",University of Calgary,Alberta,Project Grant,201709PJT,Respiratory System,Molecular mechanisms underlying the clinical efficacy of inhaled corticosteroid/long-acting beta2-adrenoceptor agonist combination therapies in asthma,"$1,078,650 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2018/04/01,"molecular, corticosteroid, asthma",0,zN/A,0,zN/A,"Newton, Robert",
"Newton, Robert",University of Calgary,Alberta,Project Grant,202109PJT,Pharmacology & Toxicology,Understanding glucocorticoid resistance in inflammatory disease,"$879,750 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2022/04/01,"glucocorticoid resistance, inflammatory disease",0,zN/A,0,zN/A,"Newton, Robert",
"Ng, Dominic S",Unity Health Toronto,Ontario,China-Canada Joint Health Research Initiative,201003CCI,China-Canada Joint Health Research Initiative - Grants Program,Investigation of the role of Anthocyanin in the prevention of atherosclerotic cardiovascular disease (ASCVD) through the regulation of HDL metabolism,"$146,481 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,1/1/2011,"Anthocyanin, atherosclerotic, HDL",0,zN/A,0,zN/A,"Ng, Dominic S",
"Ng, Dominic S",Unity Health Toronto,Ontario,Operating Grant,201203MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",The role of cholesterol in the modulation of ER stress and diabetogenesis,"$330,059 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2012/10/01,"cholesterol, ER stress, diabetogenesis",0,zN/A,0,zN/A,"Ng, Dominic S",
"Ng, Kenneth K",University of Calgary,Alberta,Operating Grant: COVID-19 - Therapeutics,202002OV3,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Design and evaluation of novel inhibitors targeting SARS-CoV-2 polymerase to create lead compounds to develop more effective treatments of COVID-19,"$416,000 ",$0 ,2 yrs 0 mth ,Infection and Immunity,4/1/2020,"SARS-CoV-2, polymerase, inhibitors",0,zN/A,0,zN/A,"Ng, Kenneth K",
"Ng, Marcus",University of Manitoba,Manitoba,Project Grant,202104PJT,Behavioural Sciences - B-2,The REM-Spike Project: A Set Theoretic Concordance Evaluation of Rapid Eye Movement Sleep in Localizing the Epileptogenic Zone,"$548,890 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/10/01,"REM, Spike, Sleep",0,zN/A,0,zN/A,"Ng, Marcus",
"Ngsee, Johnny K",Ottawa Hospital Research Institute,Ontario,Operating Grant,201209MOP,Cell Physiology,Loss of VAPB Function in Amyotrophic Lateral Sclerosis-8 (ALS8),"$693,114 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2013/04/01,"VAPB, Amyotrophic Lateral Sclerosis",0,zN/A,0,zN/A,"Ngsee, Johnny K",
"Nguyen, Dang K",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Operating Grant,201309MOP,Systems & Circuits Neurosciences - A,"Functional near-infrared spectroscopy for seizure detection, localization and characterization","$383,714 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2014/04/01,"near-infrared, spectroscopy, seizure",0,zN/A,0,zN/A,"Nguyen, Dang K",
"Nguyen, Dang K",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,201709PJT,Systems & Clinical Neurosciences - C,Role of the insula in refractory epilepsy,"$604,350 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2018/04/01,"insula, epilepsy, refractory",0,zN/A,0,zN/A,"Nguyen, Dang K",
"Nguyen, Dang K",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,202010PJT,Behavioural Sciences - B-2,Personalized seizure forecasting to improve epilepsy management,"$596,700 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/03/01,"seizure forecasting, epilepsy, management",0,zN/A,0,zN/A,"Nguyen, Dang K",
"Nguyen, Dang K",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,202203PJT,Behavioural Sciences - B-2,Delineating hemodynamic changes of epileptiform discharges in critically ill patients using functional near infrared spectroscopy,"$661,725 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2022/10/01,"hemodynamic, epileptiform discharges, near infrared spectroscopy",0,zN/A,0,zN/A,"Nguyen, Dang K",
"Nguyen, Dao",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,200909MOP,Microbiology & Infectious Diseases,The role of the stringent response and 4-hydroxy-2-alkylquinolines in the antibiotic tolerance of Pseudomonas aeruginosa biofilms,"$397,119 ",$0 ,3 yrs 0 mth ,Infection and Immunity,2010/04/01,"stringent response, 4-hydroxy-2-alkylquinolines, antibiotic tolerance",0,zN/A,0,zN/A,"Nguyen, Dao",
"Nguyen, Dao",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202104PJT,Microbiology & Infectious Diseases,A novel mechanism of antibiotic tolerance in Pseudomonas aeruginosa,"$822,376 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2021/10/01,"antibiotic, tolerance, Pseudomonas aeruginosa",0,zN/A,0,zN/A,"Nguyen, Dao",
"Nguyen, Geoffrey C",Sinai Health System (Toronto),Ontario,Operating Grant: CAG Gastroenterology/Nutrition,200810GNO,CIHR - INMD  - CAG (Canadian Association of Gastroenterology) Partnership,Prevalence of Asymptomatic Venous Thrombosis in Hospitalized Inflammatory Bowel Disease Patients and Screening Strategies for Their Early Detection,"$30,000 ",$0 ,2 yrs 0 mth ,Health Services and Policy Research,7/1/2009,"Venous Thrombosis, Inflammatory Bowel Disease, Screening",0,zN/A,0,zN/A,"Nguyen, Geoffrey C",
"Nguyen, Geoffrey C",Sinai Health System (Toronto),Ontario,Operating Grant: CAG Gastroenterology/Nutrition,200810GNO,CIHR - INMD  - CAG (Canadian Association of Gastroenterology) Partnership,Prevalence of Asymptomatic Venous Thrombosis in Hospitalized Inflammatory Bowel Disease Patients and Screening Strategies for Their Early Detection,"$30,000 ",$0 ,2 yrs 0 mth ,Infection and Immunity,7/1/2010,"Venous Thrombosis, Inflammatory Bowel Disease, Screening",0,zN/A,0,zN/A,"Nguyen, Geoffrey C",
"Nguyen, Geoffrey C",Sinai Health System (Toronto),Ontario,Operating Grant: CAG Gastroenterology/Nutrition - IBD - Abbott & Merck,201011GN1,Operating Grant: Gastroenterology / Nutrition (2010),"Predictors, Perception, and Impact of Complementary and Alternative Medicine Use in Inflammatory Bowel Disease","$45,000 ",$0 ,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",7/7/2011,"Predictors, Perception, Inflammatory Bowel Disease",0,zN/A,0,zN/A,"Nguyen, Geoffrey C",
"Nguyen, Geoffrey C",Sinai Health System (Toronto),Ontario,Operating Grant,201209MOP,Health Services Evaluation & Interventions Research,"Health Outcomes, Utilization, and Safety in the Elderly with Inflammatory Bowel Disease (HOUSE-IBD) Study","$60,000 ",$0 ,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",2013/04/01,"Health, Inflammatory Bowel Disease, Elderly",0,zN/A,0,zN/A,"Nguyen, Geoffrey C",
"Nguyen, Minh Dang",University of Calgary,Alberta,Operating Grant,201009MOP,Molecular & Cellular Neurosciences - B,Structural and signaling roles of the cytoskeleton in neuronal survival,"$687,420 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/04/01,"cytoskeleton, signaling, neuronal",0,zN/A,0,zN/A,"Nguyen, Minh Dang",
"Nguyen, Minh Dang",University of Calgary,Alberta,Project Grant,201803PJT,Molecular & Cellular Neurosciences - B,Elucidating the role of the Alzheimer risk factor CD2AP in brain capillary endothelial cells & vascular functions,"$986,850 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2018/10/01,"Alzheimer, CD2AP, endothelial",0,zN/A,0,zN/A,"Nguyen, Minh Dang",
"Nguyen, Minh Dang",University of Calgary,Alberta,Project Grant,202309PJT,"Gender, Sex & Health",The Gut Microbiota as a Contributor to Sexual Dimorphism in Amyotrophic Lateral Sclerosis,"$845,325 ",$0 ,5 yrs 0 mth ,Gender and Health,2024/04/01,"Gut microbiota, Amyotrophic lateral sclerosis, Sexual dimorphism",0,zN/A,0,zN/A,"Nguyen, Minh Dang",
"Nguyen, Quoc Dinh",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,202109PJT,Biological and Clinical Aspects of Aging,Leveraging high-volume data to characterize age and individual-specific vital signs and to develop novel geriatric vital signs that optimally predict clinical outcomes in older adults,"$336,599 ",$0 ,3 yrs 0 mth ,Aging,2022/04/01,"vital signs, data analysis, geriatrics",0,zN/A,0,zN/A,"Nguyen, Quoc Dinh",
"Ni, Heyu",Unity Health Toronto,Ontario,Operating Grant,200903MOP,Experimental Medicine,Pathogenesis and treatment of immune thrombocytopenia: Are there fundamental differences between anti-GPIba and anti-GPIIbIIIa mediated thrombocytopenia?,"$726,927 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/10/01,"immune, thrombocytopenia, GPIb",2,zN/A,0,zN/A,"Ni, Heyu",
"Ni, Heyu",Unity Health Toronto,Ontario,Operating Grant,201109MOP,Cardiovascular System - C: Vascular System,Novel mechanisms of platelet aggregation: Roles of fibronectin and other non-classical beta 3 integrin ligands in thrombosis and hemostasis,"$638,411 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"platelet aggregation, fibronectin, integrin",0,zN/A,0,zN/A,"Ni, Heyu",
"Nickerson, Peter W",University of Manitoba,Manitoba,Operating Grant,201309MOP,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Chronic Antibody Mediated Rejection: Identification of mechanisms and diagnostic proteins,"$804,160 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2014/04/01,"Antibody, Rejection, Proteins",0,zN/A,0,zN/A,"Nickerson, Peter W",
"Niechwiej-Szwedo, Ewa",University of Waterloo (Ontario),Ontario,Project Grant,202203PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Hidden binocularity and visuomotor function after congenital cataracts,"$447,526 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2022/10/01,"binocularity, visuomotor, cataracts",0,zN/A,0,zN/A,"Niechwiej-Szwedo, Ewa",
"Nielsen, Tore A",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Operating Grant,201103MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",The neuro-circuitry of terror: High resolution SPECT imaging of REM sleep in PTSD and Nightmare Disorder,"$677,746 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/10/01,"neuro-circuitry, SPECT imaging, PTSD",0,zN/A,0,zN/A,"Nielsen, Tore A",
"Nieman, Brian J",Hospital for Sick Children (Toronto),Ontario,Catalyst Grant: Sex as a Variable in Biomedical Research,201711SVB,Catalyst Grant: Sex as a Variable in Biomedical or Translational Research,Sex-dependent effects of cranial radiation in the developing brain,"$149,950 ",$0 ,2 yrs 0 mth ,Gender and Health,4/1/2018,"cranial radiation, developing brain, sex-dependent",0,zN/A,0,zN/A,"Nieman, Brian J",
"Nieman, Brian J",Hospital for Sick Children (Toronto),Ontario,Project Grant,201909PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",How does chemotherapy to treat childhood cancer affect brain development?,"$933,300 ",$0 ,5 yrs 0 mth ,Cancer Research,2020/04/01,"chemotherapy, childhood cancer, brain development",0,zN/A,0,zN/A,"Nieman, Brian J",
"Nieman, Brian J",Hospital for Sick Children (Toronto),Ontario,Project Grant,202403PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Genetic modifiers of chemotherapy-induced neurotoxicity identified in recombinant inbred mice,"$1,105,426 ",$0 ,5 yrs 0 mth ,Cancer Research,2024/10/01,"genetic modifiers, chemotherapy, neurotoxicity",0,zN/A,0,zN/A,"Nieman, Brian J",
"Nijnik, Anastasia",McGill University,Quebec,Operating Grant,201203MOP,Developmental Biology,The Roles of the Histone H2A Deubiquitinase MYSM1 in Hematopoiesis and Immunity,"$649,300 ",$0 ,5 yrs 0 mth ,Genetics,2012/10/01,"Histone H2A, Deubiquitinase, Hematopoiesis",0,zN/A,0,zN/A,"Nijnik, Anastasia",
"Nijnik, Anastasia",McGill University,Quebec,Project Grant,202003PJT,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Hematopoietic Stem and Progenitor Cells as Mediators of Trained Immunity in Rheumatoid Arthritis,"$998,936 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2020/10/01,"Hematopoietic, Stem Cells, Immunity",0,zN/A,0,zN/A,"Nijnik, Anastasia",
"Nijnik, Anastasia",McGill University,Quebec,Project Grant,202403PJT,Genetics,MYSM1 Deficiency as a Novel Ribosomopathy Bone Marrow Failure: dissecting the transcriptional and cellular mechanisms using murine models.,"$975,376 ",$0 ,5 yrs 0 mth ,Genetics,2024/10/01,"MYSM1, Ribosomopathy, Bone Marrow",0,zN/A,0,zN/A,"Nijnik, Anastasia",
"Niles, Lennard P",McMaster University,Ontario,Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neuroprotection by Melatonin in Parkinson's Disease,"$335,086 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2009/10/01,"Neuroprotection, Melatonin, Parkinson's Disease",0,zN/A,0,zN/A,"Niles, Lennard P",
"Nilson, Laura A",McGill University,Quebec,Operating Grant,200809MOP,Cell Biology & Mechanisms of Disease,Regulation of the actin cytoskeleton by the cell adhesion molecule Echinoid.,"$526,160 ",$0 ,5 yrs 0 mth ,Genetics,2009/04/01,"actin, cytoskeleton, adhesion molecule",0,zN/A,0,zN/A,"Nilson, Laura A",
"Nilson, Laura A",McGill University,Quebec,Operating Grant,201103MOP,Developmental Biology,Regulation of epidermal growth factor receptor signaling in the Drosophila ovary.,"$671,954 ",$0 ,5 yrs 0 mth ,Genetics,2011/10/01,"epidermal growth factor, receptor signaling, Drosophila ovary",0,zN/A,0,zN/A,"Nilson, Laura A",
"Nitz, Mark",University of Toronto,Ontario,Operating Grant,201309MOP,Microbiology & Infectious Diseases,Understanding the Polysaccharide Intercellular Adhesin,"$517,888 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2014/04/01,"Polysaccharide, Intercellular, Adhesin",0,zN/A,0,zN/A,"Nitz, Mark",
"Nodwell, Justin R",McMaster University,Ontario,Operating Grant,200903MOP,Microbiology & Infectious Diseases,Understanding Antibiotic Resistance Through the Systematic Characterization of TetR-like Transcription Factors and Their Target Genes,"$781,970 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2009/10/01,"Antibiotic resistance, Transcription factors, Genes",0,zN/A,0,zN/A,"Nodwell, Justin R",
"Nodwell, Justin R",University of Toronto,Ontario,Operating Grant,201309MOP,Microbiology & Infectious Diseases,Discovery of antibiotics by genetic manipulation of environmental microbes,"$750,130 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2014/04/01,"antibiotics, genetic manipulation, microbes",0,zN/A,0,zN/A,"Nodwell, Justin R",
"Nodwell, Justin R",University of Toronto,Ontario,Operating Grant,201405MOP,Biochemistry & Molecular Biology - B,Chemically-assisted discovery and investigation of antifungal drug leads,"$100,000 ",$0 ,1 yr 0 mth ,Infection and Immunity,2014/10/01,"chemically-assisted, antifungal, drug",0,zN/A,0,zN/A,"Nodwell, Justin R",
"Nodwell, Justin R",University of Toronto,Ontario,Operating Grant,201503MOP,Biochemistry & Molecular Biology - B,Chemically-assisted discovery and investigation of antifungal drug leads,"$887,380 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2015/10/01,"chemically-assisted, antifungal, drug",0,zN/A,0,zN/A,"Nodwell, Justin R",
"Nodwell, Justin R",University of Toronto,Ontario,Project Grant,201809PJT,Microbiology & Infectious Diseases,The discovery of new antibiotics derived from inhibitors of sporulation,"$1,017,450 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2019/04/01,"antibiotics, inhibitors, sporulation",0,zN/A,0,zN/A,"Nodwell, Justin R",
"Nodwell, Justin R",University of Toronto,Ontario,Project Grant,202209PJT,Microbiology & Infectious Diseases,Determinants of antibiotic sensitivity and resistance in Gram positive bacteria,"$875,925 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2023/04/01,"antibiotic sensitivity, resistance, Gram positive bacteria",0,zN/A,0,zN/A,"Nodwell, Justin R",
"Noel, Melanie E",University of Calgary,Alberta,Project Grant,201909PJT,Social & Developmental Aspects of Children's & Youth's Health,Elucidating the Role of Memory in the Transition from Acute to Chronic Pediatric Pain,"$661,725 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2020/04/01,"Memory, Pain, Pediatric",0,zN/A,0,zN/A,"Noel, Melanie E",
"Nolan, Robert P",University Health Network (Toronto),Ontario,Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,"A Virtual Community promoting mental Health, psychosocial Adjustment, and peer supporT (vCHAT) for patients living with increased risk for COVID-19","$199,049 ",$0 ,1 yr 0 mth ,Population and Public Health,9/1/2020,"Virtual community, mental health, COVID-19",0,zN/A,0,zN/A,"Nolan, Robert P",
"Nolan, Robert P",University Health Network (Toronto),Ontario,Project Grant,202003PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health","vCHAT-HF: a Virtual Community promoting Health literacy, self-cAre, and peer supporT for Heart Failure","$304,009 ",$0 ,2 yrs 0 mth ,Circulatory and Respiratory Health,2020/10/01,"Virtual Community, Heart Failure, Health Literacy",0,zN/A,0,zN/A,"Nolan, Robert P",
"Nolan, Robert P",University Health Network (Toronto),Ontario,Project Grant,202209PJT,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Clinical Efficacy and Usability of an Automated Digital Counseling Intervention for Patients with Chronic Kidney Disease,"$466,650 ",$0 ,2 yrs 6 mths ,Population and Public Health,2023/04/01,"Digital counseling, chronic kidney disease, automation",0,zN/A,0,zN/A,"Nolan, Robert P",
"Norman, Wendy V",University of British Columbia,British Columbia,Operating Grant,201003MOP,Health Services Evaluation & Interventions Research 3,Better Contraceptive Choices for Marginalized Women:  Immediate vs. Interval Insertion of Intrauterine Contraception after Second Trimester Abortion,"$632,226 ",$0 ,4 yrs 6 mths ,"Human Development, Child and Youth Health",2010/10/01,"Contraception, Intrauterine, Abortion",0,zN/A,0,zN/A,"Norman, Wendy V",
