Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Kotra, Lakshmi P",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Pharmaceutical Sciences,Inhibitors of deiminases targeting demyelination,"$360,524 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2013/04/01,"deiminases, demyelination, inhibitors",3,Lucid Psycheceuticals Inc.,1,C-suite,"Kotra, Lakshmi P",
"Kurrasch, Deborah",University of Calgary,Alberta,Operating Grant,201203MOP,Developmental Biology,Molecular Mechanisms Governing Hypothalamic Development and Disease,"$614,746 ",$0 ,5 yrs 0 mth ,Genetics,2012/10/01,"Molecular, Hypothalamic, Development",1,"Path Therapeutics, Inc.",1,C-suite,"Kurrasch, Deborah",
"Leblanc, Andrea C",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Catalyst Grant: Pilot Projects in Aging,200909IAP,Institute of Aging Pilot Projects,Detection of Tau cleaved by Caspase-6 in the cerebrospinal fluid of individuals with age-related cognitive impairment and Alzheimer disease.,"$49,110 ",$0 ,1 yr 0 mth ,Aging,2/1/2010,"Tau,Caspase-6,Cerebrospinal fluid",1,Casp-Aid Inc.,1,C-suite,"Leblanc, Andrea C",
"Lee, Hyun K",University of Toronto,Ontario,Project Grant,202010PJT,Cell Biology - Molecular/Fundamental,Uncovering the mechanisms of stress granule disassembly and their role in neurodegeneration,"$841,500 ",$0 ,5 yrs 0 mth ,Genetics,2021/03/01,"stress granules, disassembly, neurodegeneration",1,"Neuronity Therapeutics, Inc.",1,C-suite,"Lee, Hyun K",
"Lin, Kuo-Shyan",University of British Columbia,British Columbia,Project Grant,201809PJT,Pharmaceutical Sciences,Cleavable linkers to reduce kidney uptake of peptide radiopharmaceuticals,"$772,650 ",$0 ,5 yrs 0 mth ,Cancer Research,2019/04/01,"cleavable linkers, kidney uptake, peptide radiopharmaceuticals",7,Alpha-9 Theranostics Inc. (Alpha-9 Oncology inc.),1,C-suite,"Lin, Kuo-Shyan",
"Ling, Victor",University of British Columbia,British Columbia,China-Canada Joint Health Research Initiative,201303CCI,China-Canada Joint Health Research Initiative - Grants Program,The functional relevance of bile acids in childhood cholestasis caused by ABCB11 and ABCB4 mutations,"$225,000 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",1/1/2014,"bile acids, cholestasis, ABCB11",1,Qing Bile Therapeutics Inc.,1,C-suite,"Ling, Victor",
"Lingwood, Clifford A",Hospital for Sick Children (Toronto),Ontario,Operating Grant,200810MOP,Biochemistry & Molecular Biology - A,"Role of the glycosphingolipid, globotriaosyl ceramide in HIV infection","$100,000 ",$0 ,1 yr 0 mth ,Genetics,2009/03/01,"glycosphingolipid, globotriaosyl ceramide, HIV",1,Virocarb Inc.,1,C-suite,"Lingwood, Clifford A",
"Liu, Julia",University of Alberta,Alberta,Operating Grant: CAG Gastroenterology/Nutrition,200810GNO,CIHR - INMD  - CAG (Canadian Association of Gastroenterology) Partnership,Epithelial Cell Shedding and Intestinal Permeability,"$30,000 ",$0 ,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",7/1/2009,"Epithelial, Cell Shedding, Intestinal Permeability",3,Maximus Diagnostic Technologies Llc,1,C-suite,"Liu, Julia",
"Menon, Bijoy K",University of Calgary,Alberta,Operating Grant,201309MOP,Clinical Investigation - D: Cardiovascular Systems,Precise and Rapid assessment of collaterals using multi-phase CTA in the triage of patients with acute ischemic stroke for IV or IA Therapy (PRoVe-IT),"$272,271 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2014/04/01,"collaterals, multi-phase CTA, ischemic stroke",3,Mg Stroke Analytics Inc.,1,C-suite,"Menon, Bijoy K",
"Ni, Heyu",Unity Health Toronto,Ontario,Operating Grant,201109MOP,"Hematology, Digestive Disease & Kidney",Pathogenesis of fetal and neonatal alloimmune thrombocytopenia and mechanisms of IVIG and anti-FcRn therapies,"$557,347 ",$0 ,4 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"fetal, neonatal, IVIG",1,CCOA Therapeutics Inc.,1,C-suite,"Ni, Heyu",
"O'Brien, Edward R",University of Calgary,Alberta,Patient-Oriented Research Collaboration Grants,201612PEG,Patient Engagement - Collaboration Grants (SPOR),Menopause and Vascular Health: Working Toward Precision Cardiovascular and Cognitive Health Solutions,"$25,000 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,3/1/2017,"Menopause, Vascular, Cardiovascular",1,Pemi31 Therapeutics Inc.,1,C-suite,"O'Brien, Edward R",
"Paganelli, Massimiliano","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,"Operating Grant: NI grants in MRC&Y Health - Nutrition, Metabolism and Diabetes",201705MY6,"Operating Grant: New Investigator Grants in Maternal, Reproductive, Child & Youth Health","Heterologous stem cell therapy to treat acute liver failure in infants, children and adolescents without the need of immunosuppression","$75,000 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",10/1/2017,"stem cell, liver failure, immunosuppression",2,Morphocell Technologies Inc,1,C-suite,"Paganelli, Massimiliano",
"Perrin, David M",University of British Columbia,British Columbia,Project Grant,201709PJT,Pharmaceutical Sciences,Dual-Mode PET imaging agents for PET imaging cancer and visualizing tumor margins,"$596,700 ",$0 ,4 yrs 0 mth ,Cancer Research,2018/04/01,"PET, imaging, cancer",11,Alpha-9 Theranostics Inc. (Alpha-9 Oncology inc.),1,C-suite,"Perrin, David M",
"Quaggin, Susan E",Sinai Health System (Toronto),Ontario,Operating Grant,201009MOP,"Hematology, Digestive Disease & Kidney",The Role of VEGF Signaling in Glomerular Development and Disease,"$740,990 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2011/04/01,"VEGF, Signaling, Glomerular",1,Mannin Research Inc.,1,C-suite,"Quaggin, Susan E",
"Sanati Nezhad, Amir",University of Calgary,Alberta,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,"Rapid, Ultrasensitive Clinical Detection of 2019 Novel Coronavirus (nCOVID-19) by Novel Microfluidic Electrochemical Nano-Biosensors","$795,560 ",$0 ,2 yrs 0 mth ,Population and Public Health,4/1/2020,"microfluidic, electrochemical, biosensors",2,Sensesi Technology Inc.,1,C-suite,"Sanati Nezhad, Amir",
"Schweizer, Frank",University of Manitoba,Manitoba,Operating Grant,201109MOP,Pharmaceutical Sciences,Development of aminoglycoside antimicrobials with novel or combined modes of action,"$382,825 ",$0 ,3 yrs 0 mth ,Infection and Immunity,2012/04/01,"aminoglycoside, antimicrobials, modes of action",2,Polyamyna Nanotech Inc.,1,C-suite,"Schweizer, Frank",
"Shuhendler, Adam J",University of Ottawa,Ontario,Project Grant,202109PJT,Pharmaceutical Sciences,Metal-free Contrast Agents for Kidney Magnetic Resonance Imaging,"$803,250 ",$0 ,5 yrs 0 mth ,Cancer Research,2022/04/01,"Contrast agents, Kidney, Magnetic resonance imaging",2,Yellowbird Diagnostics Inc.,1,C-suite,"Shuhendler, Adam J",
"Sicheri, Frank",Sinai Health System (Toronto),Ontario,Operating Grant,201003MOP,Biochemistry & Molecular Biology - A,Structure/function analysis of the ubiquitin/proteosome system,"$799,955 ",$0 ,5 yrs 0 mth ,Genetics,2010/10/01,"ubiquitin, proteasome, system",4,Repare Therapeutics Inc.,1,C-suite,"Sicheri, Frank",
"Sidhu, Sachdev S",University of Toronto,Ontario,Operating Grant,201403MOP,Biochemistry & Molecular Biology - B,Design and Application of Combinatorial Libraries of Synthetic Antibodies and Alternative Scaffolds,"$914,636 ",$0 ,5 yrs 0 mth ,Genetics,2014/10/01,"Antibodies, Scaffolds, Libraries",26,Antlera Therapeutics inc.,1,C-suite,"Sidhu, Sachdev S",
"Steinberg, Gregory R",McMaster University,Ontario,"Environments, Genes and Chronic Disease",201509ECD,"Other: Programmatic Grants in Environments, Genes and Chronic Disease",Gene Environment Team on Brown/beige Adipose Tissue (GET_BAT),"$1,998,323 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",11/1/2015,"Gene, Adipose, Tissue",4,Espervita Therapeutics inc.,1,C-suite,"Steinberg, Gregory R",
"Tarnopolsky, Mark A",McMaster University,Ontario,Operating Grant,201403MOP,Movement & Exercise,Characterization of Novel Exerkines Mediating Pro-metabolic Effects of Endurance Exercise.,"$444,501 ",$0 ,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,2014/10/01,"Exerkines, Endurance exercise, Metabolic",8,Exerkine Corporation,1,C-suite,"Tarnopolsky, Mark A",
"Trang, Tuan",University of Calgary,Alberta,Project Grant,202003PJT,Pharmacology & Toxicology,Central Mechanisms of Opioid Withdrawal,"$875,926 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2020/10/01,"opioid, withdrawal, mechanisms",2,Aphiotx Inc.,1,C-suite,"Trang, Tuan",
"Tremblay, Johanne",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Operating Grant,201309MOP,Cardiovascular System - B: Heart and Circulation,HCaRG: a gene involved in hypertension-induced renal failure,"$803,253 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2014/04/01,"HCaRG, hypertension, renal failure",1,Opti-Thera Inc.,1,C-suite,"Tremblay, Johanne",
"Tremblay, Michel L",McGill University,Quebec,Operating Grant,201009MOP,Molecular & Cellular Biology of Cancer,PTP1b as a target in human cancer,"$759,945 ",$0 ,5 yrs 0 mth ,Cancer Research,2011/04/01,"PTP1b, cancer",4,Kanyr Pharma Inc.,1,C-suite,"Tremblay, Michel L",
"Wang, Yu Tian",University of British Columbia,British Columbia,Operating Grant,201403MOP,Molecular & Cellular Neurosciences - B,Regulation of postsynaptic expression and function of GABA-A receptors,"$987,286 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2014/10/01,"GABA-A receptors, postsynaptic, regulation",1,"Qingdao Primedicine Pharmaceutical Co., Ltd.",1,C-suite,"Wang, Yu Tian",
"Wilson, Keith G",Ottawa Hospital Research Institute,Ontario,Catalyst Grant: Biomedical & Clinical Approaches to Improving Quality of Life,200903SUR,Catalyst Grant: Biomedical & Clinical Approaches to Improving Quality of Life,Coping with Chronic Neuropathic Among Cancer Survivors: A Multidisciplinary Approach.,"$80,821 ","$1,576 ",1 yr 0 mth ,Cancer Research,3/1/2010,"Neuropathic, Cancer, Survivors",1,"Nalo Therapeutics, Inc.",1,C-suite,"Wilson, Keith G",
"Wishart, David S",University of Alberta,Alberta,Operating Grant,201009MOP,Genomics: Systems and computational biology,"New Resources for Chemical Genomics, Metabolomics and Systems Biology","$695,720 ",$0 ,5 yrs 0 mth ,Genetics,2011/04/01,"Chemical genomics, metabolomics, systems biology",3,Molecular You Corporation,1,C-suite,"Wishart, David S",
