Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Levi, Ofer",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Simultaneous optical imaging of oxygenation and blood flow for chronic monitoring of stroke and seizure activity,"$270,000",$0,,,3 yrs 0 mth ,"optical imaging, oxygenation, blood flow",,,2012-04-01,2015-03-31,0
"Osornio Vargas, Alvaro R",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Spatial data mining exploring co-location of adverse birth outcomes and environmental variables,"$400,929",$0,,,3 yrs 0 mth ,"spatial data mining, co-location, birth outcomes","Human Development, Child and Youth Health",MULTIDISCIPLINARY; PREGNANCY/BIRTH; ENVIRONMENTAL INFLUENCES ON HEALTH; REPRODUCTION/PREGNANCY,2013-04-01,2016-03-31,0
"Narod, Steven A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,The physiological impact of postmenopausal oophorectomy on hormone levels in women with BRCA1 mutation,"$412,769",$0,,,3 yrs 0 mth ,"postmenopausal, oophorectomy, hormone levels",,,2012-04-01,2015-03-31,0
"Armstrong, Glen D",University of Calgary,Alberta,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201003ISO,Industry Partnered Collaborative Research,Potential of pathogen-specific egg yolk antibodies (IgY) for treating Clostridium difficile infections.,"$162,672",$0,,,3 yrs 0 mth ,"IgY, Clostridium difficile, antibodies",Infection and Immunity,INFECTIOUS AND PARASITIC; GASTRO-INTESTINAL DISEASE; BACTERIOLOGY; DRUG RESEARCH,2010-10-01,2013-09-30,0
"Rancourt, Derrick E",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Derivation and Culture of Naeve Pluripotent Stem Cells in Stirred Suspension Bioreactors,"$351,690",$0,,,3 yrs 0 mth ,"Naive, Pluripotent, Bioreactors",Genetics,MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; CELL BIOLOGY; MOLECULAR BIOLOGY,2016-04-01,2019-03-31,0
"Guttman, David S",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Next-Generation Antimicrobial Diagnostics: Speed and Precision via Whole Genome Sequencing,"$632,425",$0,,,3 yrs 0 mth ,"Antimicrobial, Diagnostics, Genome Sequencing",Infection and Immunity,"INFECTIOUS AND PARASITIC; HEALTH CARE DELIVERY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; BACTERIOLOGY",2017-04-01,2020-03-31,0
"Stewart, James","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,New Methods for Articular Cartilage Repair through Computer-Assisted Surgery,"$161,270",$0,,,3 yrs 0 mth ,"articular cartilage, computer-assisted surgery",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,2
"Lee, Jacques S","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Toronto,Catalyst Grant: eHealth Innovations - Aging,201310CEA,e-Health Innovation Partnership Program (eHIPP),Predicting Emergency Delirium with an Interactive Computer Tablet(PreDICT),"$89,178","$1,759",,,1 yr 0 mth ,"Emergency, Delirium, Tablet",Aging,GERIATRICS; AGING; HEALTH RESEARCH,2014-03-01,2015-02-28,0
"Lane, Pierre","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Endoscopic optical coherence tomography and autofluorescence imaging for early cancer detection,"$314,005",$0,,,3 yrs 0 mth ,"optical coherence tomography, autofluorescence imaging, cancer detection",Cancer Research,LUNG CANCER; NEOPLASMS; IMAGING; CANCER,2017-04-01,2020-03-31,1
"Brudno, Michael",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Computerized Patient Phenotyping to Connect Canadian Clinical Genetics Clinics,"$211,500",$0,,,3 yrs 0 mth ,"Patient, Phenotyping, Genetics",Genetics,HEALTH CARE DELIVERY; GENETICS,2013-04-01,2016-03-31,0
"Ma, Hongshen",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Development of Technologies for Rapid Isolation and Genome Sequencing of Single Circulating Tumor Cells in Prostate Cancer,"$489,780",$0,,,3 yrs 0 mth ,"isolation, genome sequencing, circulating tumor cells",Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; GENETICS,2017-04-01,2020-03-31,0
"Figeys, Daniel",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Microfluidic platforms coupled to mass spectrometry for the quantitative analysis of circulating convertases and substrates,"$275,000",$0,,,3 yrs 0 mth ,"microfluidic, mass spectrometry, convertases",,,2012-04-01,2015-03-31,0
"Thompson, Michael R",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Developing Thermally Stable Dry Powder Vaccine Platforms Via Spray Drying Tailored for Inhalation Delivery,"$408,901","$16,929",,,3 yrs 0 mth ,"Thermal stability, Dry powder, Inhalation",Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; DRUG RESEARCH; HEALTH RESEARCH,2018-04-01,2021-03-31,4
"Stinson, Jennifer N",Hospital for Sick Children (Toronto),Ontario,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),Teens Taking Charge - Managing Cancer Online Trial: A Feasibility Study of Quality and Cost,"$92,207",$0,,,1 yr 0 mth ,"cancer, online, feasibility",Cancer Research,HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; CANCER,2014-03-01,2015-02-28,0
"Cao, Xudong",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Biodegradable hollow fiber channels to allow drug delivery for stimulation and propagation of endogenous stem cells for repair of neural injury,"$219,092",$0,,,3 yrs 0 mth ,"biodegradable, hollow fiber, neural injury",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Rudzicz, Frank",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Automatic remote screening of speech features associated with Alzheimer's disease,"$220,133",$0,,,3 yrs 0 mth ,"speech, Alzheimer's, screening",Aging,ALZHEIMER'S DISEASE; AGING; GERONTOLOGY,2017-04-01,2020-03-31,3
"Korus, Moira J",Hospital for Sick Children (Toronto),Ontario,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),Teens Taking Charge:  managing my Transplant on Line:  A pilot feasability and outcome study,"$86,704",$842,,,1 yr 0 mth ,"Transplant, online, feasibility",Health Services and Policy Research,PSYCHO-SOCIAL AND BEHAVIOURAL RESEARCH; HEALTH PROMOTION; PSYCHOSOCIAL/HEALTH BEHAVIOURAL RES.; IMMUNOLOGY-TRANSPLANTATION,2014-03-01,2015-02-28,0
"Perl, Jeffrey",Unity Health Toronto,Toronto,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,The Peritoneal Dialysis Outcomes and Practice Patterns Study  (P-DOPPS),"$500,000",$0,,,4 yrs 0 mth ,"Peritoneal Dialysis, Outcomes, Practice Patterns","Nutrition, Metabolism and Diabetes","POPULATION HEALTH; EPIDEMIOLOGY; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2013-10-01,2017-09-30,0
"Nobes, David S",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Optimization of an ex vivo heart perfusion device for pre-transplant preservation and evaluation of donor hearts,"$387,264","$69,700",,,3 yrs 0 mth ,"heart, perfusion, preservation",Circulatory and Respiratory Health,"CARDIOLOGY; STROKE, HEART FAILURE; CARDIOVASCULAR; IMMUNOLOGY-TRANSPLANTATION",2020-04-01,2023-03-31,0
"Bourbeau, Jean",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201009IRO,Industry Partnered Collaborative Research,Canadian Cohort Obstructive Lung Disease (CanCOLD),"$1,051,344","$57,500",,,2 yrs 6 mths ,"Obstructive Lung Disease, Cohort, CanCOLD",Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; POPULATION HEALTH; RESPIRATION,2009-04-01,2011-03-31,0
"Dhanvantari, Savita",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Hybrid Molecular Imaging in the Diagnosis of Heart Disease,"$223,308",$0,,,3 yrs 0 mth ,"Molecular Imaging, Heart Disease",Circulatory and Respiratory Health,MULTIDISCIPLINARY; CARDIOVASCULAR; IMAGING,2015-04-01,2018-03-31,0
"Du, Caigan",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Hyperbranched polyglycerol-based colloid preservation solutions: Toward clinical applications,"$310,627",$0,,,3 yrs 0 mth ,"hyperbranched, polyglycerol, colloid","Nutrition, Metabolism and Diabetes","INJURY, REGENERATION; MULTIPLE DISEASE RELEVANCE; CELL BIOLOGY; DRUG RESEARCH",2015-04-01,2018-03-31,1
"Smargiassi, Audrey",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Quantification of health risks and benefits of future transportation plans,"$200,000",$0,,,3 yrs 0 mth ,"health, transportation, risks",Population and Public Health,ENVIRONMENTAL INFLUENCES ON HEALTH; POPULATION HEALTH,2015-04-01,2018-03-31,0
"Sarunic, Marinko V","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Optical imaging of retinal structure and function with cellular resolution,"$307,750",$0,,,3 yrs 0 mth ,"Optical imaging, retinal, cellular","Neurosciences, Mental Health and Addiction",DISEASES AFFECTING SPEECH/VISION/HEARING; AGING; IMAGING; VISION,2016-04-01,2019-03-31,5
"Cete, Daniel",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Real-time multimodal tools for high resolution image-guided surgery and better treatment of Parkinson's disease,"$318,630",$0,,,3 yrs 0 mth ,"multimodal, image-guided, Parkinson's disease","Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; IMAGING; NERVOUS SYSTEM,2019-04-01,2022-03-31,0
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Closed-Loop Control of Anesthesia,"$309,194",$0,,,3 yrs 0 mth ,"Closed-Loop, Control, Anesthesia",Circulatory and Respiratory Health,MULTIDISCIPLINARY; NONE OF THE ABOVE; HEALTH RESEARCH; NOT CLASSIFIED,2013-04-01,2016-03-31,2
"Hore, Dennis K",University of Victoria (British Columbia),British Columbia,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Integrating a low-barrier drug checking platform into public health responses to overdose,"$283,950","$25,000",,,3 yrs 0 mth ,"drug checking, overdose, public health","Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; POPULATION HEALTH; HEALTH SERVICES RESEARCH,2020-04-01,2023-03-31,0
"Thompson, Michael",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Surface-oriented antibody capture of endothelial progenitor cells for the reduction of post-stent restenosis,"$203,674",$0,,,3 yrs 0 mth ,"antibody, endothelial progenitor cells, restenosis",,,2012-04-01,2015-03-31,0
"Sleiman, Hanadi",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,DNA Cages as a Platform for Efficient and Selective Delivery of Therapeutics into Tumor Cells,"$400,000",$0,,,3 yrs 0 mth ,"DNA cages, targeted delivery, tumor cells",Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2013-04-01,2016-03-31,0
"Fichtinger, Gabor","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Robotically assisted real-time metabolomic navigation of breast conserving surgery,"$337,724","$13,988",,,3 yrs 0 mth ,"robotically, metabolomic, navigation",Cancer Research,BREAST CANCER THERAPY; IMAGING; CANCER,2020-04-01,2023-03-31,0
"Drake, James M",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Temperature measurement in cortical bone and bone marrow during magnetic resonance guided focused ultrasound thermo-therapy in a porcine model,"$302,342",$0,,,3 yrs 0 mth ,"temperature, magnetic resonance, ultrasound",Cancer Research,BONE CANCER THERAPY; NEOPLASMS; IMAGING; CANCER,2013-04-01,2016-03-31,1
"Pouliot, Roxane",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Analyses de polyphenols issus d'ecorces d'essences canadiennes pour le traitement du psoriasis,"$225,750",$0,,,3 yrs 0 mth ,"polyphenols, ecorces, psoriasis",,,2011-04-01,2014-03-31,0
"Chen, Robert E",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201403IPR,Industry Partnered Collaborative Research,Long-term stability of local field potentials recorded from the subthalamic nucleus and effects of deep brain stimulation,"$270,228",$0,,,3 yrs 0 mth ,"local field potentials, subthalamic nucleus, deep brain stimulation","Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; MULTIPLE DISEASE RELEVANCE; NERVOUS SYSTEM; HEALTH RESEARCH,2014-10-01,2017-06-30,0
"Lee, Warren L",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a lung ultrasound therapy system for acute respiratory distress syndrome,"$362,865",$0,,,3 yrs 0 mth ,"lung, ultrasound, respiratory distress",Circulatory and Respiratory Health,PNEUMONIA; RESPIRATION; BIOPHYSICS,2018-04-01,2021-03-31,2
"Grynpas, Marc D",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Irradiation-Sterilized Skeletal Allografts with Superior Biomechanical Performance through Collaborative Multidisciplinary Translational Research,"$255,330",$0,,,3 yrs 0 mth ,"Irradiation, Sterilization, Skeletal Allografts",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; INJURY, REGENERATION; MUSCLE, BONE, OR JOINT",2013-04-01,2016-03-31,0
"Calon, Frederic",Universite Laval,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,200909ISO,Industry Partnered Collaborative Research,Isolation of therapeutic fractions from intravenous immunoglobulins using the triple transgenic mouse model of Alzheimer's disease,"$70,000",$0,,,4 yrs 0 mth ,"immunoglobulins, Alzheimer's, transgenic mouse","Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; BLOOD; DRUG RESEARCH; NERVOUS SYSTEM,2010-04-01,2014-03-31,0
"Mcfadyen, Bradford J",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Body-Environment Proximity Measurement: An integrated approach to measuring mobility deficits for assessment and treatment,"$181,578",$0,,,3 yrs 0 mth ,"Proximity, Measurement, Mobility",Musculoskeletal Health and Arthritis,"CNS ORGANIC; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; NERVOUS SYSTEM",2015-04-01,2018-03-31,0
"Waspe, Adam C",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a Magnetic Resonance guided High Intensity Focused Ultrasound Therapy Platform for Perinatal Applications,"$325,250",$0,,,3 yrs 0 mth ,"Magnetic Resonance, Focused Ultrasound, Perinatal","Human Development, Child and Youth Health",PERINATAL; CONGENITAL ANOMALIES; IMAGING; REPRODUCTION/PREGNANCY,2019-04-01,2022-03-31,0
"Arrowsmith, Cheryl H",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research,201209IPR,Industry Partnered Collaborative Research,Toward epigenetic therapy for colon cancer,"$1,016,046",$0,,,5 yrs 0 mth ,"epigenetic, colon cancer",Cancer Research,"GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CANCER",2013-04-01,2017-06-30,0
"Mihailidis, Alex",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,"A Modular Intelligent Power Wheelchair System to Enhance Mobility, Safety and Participation of Users","$286,788",$0,,,3 yrs 0 mth ,"Power, Wheelchair, Mobility",Aging,AGING; MULTIDISCIPLINARY; HEALTH RESEARCH,2013-04-01,2016-03-31,1
"Delaney, Kerry R",University of Victoria (British Columbia),British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Implantable telemetric devices for electrophysiological and behavioural research using rodent disease models,"$226,500",$0,,,3 yrs 0 mth ,"implantable, telemetric, electrophysiological",,,2011-04-01,2014-03-31,2
"Cheung, Karen C",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Hydrogel-based microfluidic cell culture system for controlled drug dosage effects,"$221,941",$0,,,3 yrs 0 mth ,"Hydrogel, microfluidic, cell culture",,,2011-04-01,2014-03-31,1
"Simmons, Craig A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Microfluidic drug screening in complex vascular microenvironments,"$232,628",$0,,,3 yrs 0 mth ,"microfluidic, drug screening, vascular",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,2
"Chan, Warren C",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,A combined nanotechnology and surgical strategy to treating liver cancer,"$464,934",$0,,,3 yrs 0 mth ,"nanotechnology, surgery, liver cancer",Cancer Research,LIVER DISEASE; CANCER THERAPY GENERAL; CANCER; BIOPHYSICS,2016-04-01,2019-03-31,5
"Reznik, Alla","Lakehead University (Thunder Bay, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Practical implementation of real-time low-dose x-ray imaging,"$249,000",$0,,,3 yrs 0 mth ,"x-ray, imaging, real-time",,,2012-04-01,2015-03-31,2
"Martin, Randall V",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Developing technologies to assess long-term exposures of the Canadian population to air pollution: research leading to knowledge-transfer to reduce health effects,"$221,420",$0,,,3 yrs 0 mth ,"air pollution, exposure, health effects",,,2011-04-01,2014-03-31,0
"Lillicrap, David P","Queen's University (Kingston, Ontario)",Ontario,Operating Grant: Industry-partnered Collaborative Research,201403IPR,Industry Partnered Collaborative Research,Evaluation of innovative therapeutic strategies for hemophilia A in a unique hemophilic dog colony.,"$390,000",$0,,,3 yrs 0 mth ,"hemophilia A, therapeutic strategies, dog colony",Circulatory and Respiratory Health,BLOOD; CLOTTING DEFECTS/THROMBOSIS; GENETICS,2014-10-01,2017-06-30,0
"Borschel, Gregory H",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Enhancement of nerve regeneration with controlled release of neurotrophic factors,"$220,356",$0,,,3 yrs 0 mth ,"nerve regeneration, neurotrophic factors, controlled release","Neurosciences, Mental Health and Addiction",MUSCULO SKELETAL; MULTIDISCIPLINARY; NERVOUS SYSTEM,2013-04-01,2016-03-31,5
"DeMatteo, Carol A",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a Concussion Management Platform for Children and Youth: Bridging the Gap Between Research and Practice,"$494,289",$0,,,3 yrs 0 mth ,"Concussion, Management, Platform","Human Development, Child and Youth Health",HEALTH CARE DELIVERY; HEALTH RESEARCH,2019-04-01,2022-03-31,0
"Ward, Brian J",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Understanding the unusual effectiveness of Virus-Like Particle (VLP) vaccines made in plants,"$591,600",$0,,,3 yrs 0 mth ,"Virus-Like Particle, vaccines, plants",Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL,2013-10-01,2016-09-30,1
"Mongrain, Rosaire",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a Biomechanical Model of the Aorta to Support Medical Decision and Prosthetic Design,"$209,250",$0,,,3 yrs 0 mth ,"Biomechanical, Aorta, Prosthetic",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Fedida, David",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Novel 3D bioprinted human cardiac tissue models for drug safety and efficacy testing.,"$381,750",$0,,,3 yrs 0 mth ,"3D bioprinting, cardiac tissue, drug testing",Circulatory and Respiratory Health,CARDIOLOGY; MULTIPLE DISEASE RELEVANCE; CARDIOVASCULAR; CELL BIOLOGY,2018-04-01,2021-03-31,0
"Quinn, Thomas M",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,New technologies and methods for growth of artificial cartilage and skin,"$223,500",$0,,,3 yrs 0 mth ,"artificial cartilage, skin, growth",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Withers, Stephen G",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Improved organ transplant across the ABO barrier through enzymatic removal of antigens,"$431,290",$0,,,3 yrs 0 mth ,"organ transplant, enzymatic removal, antigens",Circulatory and Respiratory Health,RESPIRATION; CORONARY CIRCULATION (INCL. INSUFFICIENCY); IMMUNOLOGY-TRANSPLANTATION; BIOCHEMISTRY,2020-04-01,2023-03-31,3
"Kolios, Michael C",Toronto Metropolitan University,Toronto,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Development of treatment planning platform for ultrasound stimulated microbubble therapy,"$416,060",$0,,,3 yrs 0 mth ,"ultrasound, microbubble, therapy",Cancer Research,CANCER THERAPY GENERAL; BREAST CANCER THERAPY; CANCER; BIOPHYSICS,2016-04-01,2019-03-31,4
"Selvaganapathy, Ponnambalam R",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Microfluidic high-throughput screening device for C. elegans movement based assays,"$220,250",$0,,,3 yrs 0 mth ,"microfluidic, high-throughput, C. elegans",,,2011-04-01,2014-03-31,1
"Yang, Victor X",Toronto Metropolitan University,Toronto,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Photodynamic therapy of non-melanoma skin cancers - development of a comprehensive image-guided planning system for personalized treatment,"$253,500",$0,,,3 yrs 0 mth ,"photodynamic, skin cancers, image-guided",Cancer Research,CANCER THERAPY GENERAL; SKIN AND SUBCUTANEOUS TISSUS; CANCER; IMAGING,2017-04-01,2020-03-31,2
"Sutherland, Garnette R",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,A novel neurosurgery-specific haptic hand-controller for robot-assisted surgical systems,"$234,250",$0,,,3 yrs 0 mth ,"neurosurgery, haptic, robotic","Neurosciences, Mental Health and Addiction",BRAIN TUMORS THERAPY; MULTIDISCIPLINARY; HEALTH RESEARCH,2015-04-01,2018-03-31,3
"Krishnan, Sridhar",Toronto Metropolitan University,Toronto,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Signal analysis of T-wave alternans for predicting sudden cardiac deaths,"$311,988",$0,,,3 yrs 0 mth ,"signal analysis, T-wave alternans, cardiac deaths",,,2011-04-01,2014-03-31,0
"Menon, Carlo","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Transformative Ankle Bracelet,"$231,245","$6,500",,,3 yrs 0 mth ,"Ankle, Bracelet","Neurosciences, Mental Health and Addiction","STROKE, HEART FAILURE; HEALTH RESEARCH",2018-04-01,2021-03-31,1
"Shmuel, Amir",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Modeling and validating the effect of transcranial magnetic stimulation on cortical excitability: implications for post-stroke recovery and depression,"$224,792",$0,,,3 yrs 0 mth ,"transcranial magnetic stimulation, cortical excitability, post-stroke recovery",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Hodgson, Antony J",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,"Using Three-Dimensional Ultrasound to Improve Diagnosis, Guide Surgery and Reduce Radiation in Orthopaedic Trauma and Pediatric Orthopaedics","$213,832",$0,,,3 yrs 0 mth ,"Ultrasound, Orthopaedic, Pediatric",Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",2015-04-01,2018-03-31,0
"Fox-Robichaud, Alison E",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Point of Care Device for Rapid Quantification of Cell-Free DNA  with Application in Severe Sepsis,"$240,400",$0,,,3 yrs 0 mth ,"Point of Care, Cell-Free DNA, Sepsis",Circulatory and Respiratory Health,INFECTIOUS AND PARASITIC; HEALTH CARE DELIVERY; BIOCHEMISTRY; BLOOD,2016-04-01,2019-03-31,1
"Camp, Pat",University of British Columbia,British Columbia,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),LungFIT:  A Smartphone System for Pulmonary Rehabilitation,"$92,131",$0,,,1 yr 0 mth ,"Lung, Smartphone, Pulmonary",Health Services and Policy Research,HEALTH SERVICES RESEARCH; RESPIRATION,2014-03-01,2015-02-28,0
