Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Sevigny, Jean",Universite Laval,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200909IRO,Industry Partnered Collaborative Research,Modulation de la pression arterielle par la NTPDase1 et les nucleotides extracellulaires,"$42,500",$0,,,2 yrs 0 mth ,"pressure, NTPDase1, nucleotides",Circulatory and Respiratory Health,HYPERTENSION; CARDIOLOGY; CARDIOVASCULAR,2010-04-01,2012-03-31,0
"Brown, Claire M",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Biophysical Tools for the Characterization of Breast Cancer Cell Migration and Invasion,"$272,500",$0,,,3 yrs 0 mth ,"biophysical, breast cancer, cell migration",Cancer Research,BREAST CANCER; CANCER; CELL BIOLOGY,2016-04-01,2019-03-31,0
"Mequanint, Kibret",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Non-diffusing 3D gel dosimeters: A platform technology for dose verification and quality assurance in radiation therapy,"$213,650",$0,,,3 yrs 0 mth ,"3D gel dosimeters, dose verification, radiation therapy",Cancer Research,CANCER THERAPY GENERAL; CANCER,2016-04-01,2019-03-31,0
"Chung, Hyun-Joong",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Skin Adhesive Smart Patch to Monitor Hydration Status in Real-Time,"$298,552",$0,,,3 yrs 0 mth ,"Skin, Adhesive, Hydration",Cancer Research,MULTIDISCIPLINARY; CANCER THERAPY GENERAL; HEALTH RESEARCH; CANCER,2015-04-01,2018-03-31,1
"Daskalakis, Zafiris J",Centre for Addiction and Mental Health (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,A Study of H-Coil Repetitive Transcranial Magnetic Stimulation for Late-Life Depression,"$107,757",$0,,,4 yrs 0 mth ,"H-Coil, Transcranial Magnetic Stimulation, Depression",Aging,DEPRESSION; GERIATRICS; MENTAL HEALTH; AGING,2011-10-01,2015-09-30,0
"Larche, Mark",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,Development of peptide immunotherapy for Rheumatoid Arthritis: Identification and validation of T cell epitopes from citrullinated auto-antigens.,"$295,386",$0,,,3 yrs 0 mth ,"peptide, immunotherapy, citrullinated",Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT; IMMUNOLOGY-TRANSPLANTATION",2015-10-01,2018-09-30,0
"Zemp, Roger J",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Modulation-Encoded Micromachined Transducer Arrays for Ultrasound and Photoacoustic Imaging of Prostate and Colorectal Cancer,"$274,000",$0,,,3 yrs 0 mth ,"Micromachined, Transducer, Imaging",Cancer Research,PROSTATE AND BLADDER CANCER; GASTRO-INTESTINAL CANCER; IMAGING; CANCER,2014-04-01,2017-03-31,9
"Benard, Francois",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Radiometals produced by liquid targets for molecular imaging of cancer,"$420,079",$0,,,3 yrs 0 mth ,"Radiometals, liquid targets, molecular imaging",,,2012-04-01,2015-03-31,9
"Phani, Srikantha A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Universal Smart Guided-Catheter Systems Based on Novel Shape Memory Polymer Brush Actuators for Minimally Invasive Vascular Surgery,"$313,100",$0,,,3 yrs 0 mth ,"Smart, Catheter, Shape Memory Polymer",Circulatory and Respiratory Health,CARDIOLOGY; CARDIOVASCULAR,2013-04-01,2016-03-31,0
"Tabrizian, Maryam",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,An Injectable Phosphate Releasing Bone Tissue Construct Encapsulating Adipose-Derived Stem Cells and Diphosphate Cleaving Enzymes to Promote Biomineralization in Critical Size Bone Defects,"$383,593",$0,,,3 yrs 0 mth ,"Bone, Stem Cells, Biomineralization",Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; BREAST CANCER THERAPY; MUSCLE, BONE, OR JOINT; CELL BIOLOGY",2019-04-01,2022-03-31,0
"Ellis, Randy E","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Kinematics-Based Navigation for Reconstructive Hip Surgery,"$159,435",$0,,,3 yrs 0 mth ,"Kinematics, Navigation, Hip",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Stoeber, Boris",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Platform technology for blood diagnostics integrating microneedle blood sampling and quantum-dot based multiplexed assays,"$356,025",$0,,,3 yrs 0 mth ,"blood, microneedle, quantum-dot",Circulatory and Respiratory Health,BLOOD,2018-04-01,2021-03-31,0
"Prisman, Eitan",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Intraoperative Surgical Tools for Advanced Reconstruction Workflow to Optimize Outcomes of Head and Neck Cancer Treatment,"$360,914","$33,363",,,3 yrs 0 mth ,"surgical tools, reconstruction, head and neck cancer",Cancer Research,DENTAL DISEASE (INCL. ORAL BIOLOGY); MUSCULO SKELETAL; DENTAL SCIENCE - Oral Biology; CANCER,2019-04-01,2022-03-31,0
"Chen, Pu",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Amino acid pairing peptide mediated delivery of short interfering RNAs (siRNAs),"$251,187",$0,,,3 yrs 0 mth ,"amino acid, peptide, siRNAs",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,4
"Byers, David M",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Lead optimization of new antibacterials/antimalarials that target ACP synthase,"$76,760",$0,,,1 yr 0 mth ,"antibacterials, antimalarials, ACP synthase",,,2011-04-01,2012-03-31,0
