Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
Evaluation of viral sensitizer technology in improving egg-based influenza vaccine manufacturing processes,"Diallo, Jean-Simon",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,222143,77857,1 yr 0 mth ,Infection and Immunity,VIRAL; NONE OF THE ABOVE; VIROLOGY; BIOCHEMISTRY,10/1/2014,2015-09-30,"viral, sensitizer, influenza",5
"KaliDerm Therapeutics: A research/commercialization plan to validate, better define and add value to our proprietary dual KLK5/7 inhibitor as a novel topical therapeutic for Netherton Syndrome.","Diamandis, Eleftherios P",Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,Commercialization,336600,0,2 yrs 0 mth ,Infection and Immunity,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",10/1/2022,2024-09-30,"KLK5, KLK7, Netherton Syndrome",0
Novel beta lactamase inhibitors to combat antibiotic resistance,"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,7/1/2009,2010-06-30,"beta lactamase, antibiotics, resistance",1
New drugs for antibiotic resistant bacterial infections,"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,133277,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BIOCHEMISTRY,4/1/2011,2012-03-31,"antibiotic, resistant bacteria, infections",0
Bisphosphonate-conjugated Calcitonin,"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,117929,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",10/1/2010,2011-09-30,"Bisphosphonate, Calcitonin",2
Bone-Seeking Iron Oxide Nanoparticles for Imaging Bone Metabolism,"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",4/1/2016,2017-03-31,"Iron oxide, nanoparticles, imaging",0
Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,"Drangova, Maria",Western University (Ontario),Ontario,Project Grant,202010PJT,Commercialization,367200,0,2 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",4/1/2021,2023-03-31,"contact-force, radiofrequency, ablation",1
Preclinical Development of a Novel Organ Transplant Solution,"Du, Caigan",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes","GENITO/URINARY SYSTEM; MULTIPLE DISEASE RELEVANCE; RENAL FUNCTION, NEPHROLOGY, UROLOGY; DRUG RESEARCH",4/1/2015,2016-03-31,"organ transplant, solution",2
Certifiably safe closed-loop control of anesthesia,"Dumont, Guy A",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,158740,0,1 yr 0 mth ,Circulatory and Respiratory Health,HEALTH RESEARCH,10/1/2015,2016-09-30,"closed-loop, control, anesthesia",2
Pressure ulcer prevention: a novel prompting system for patient repositioning,"Dutta, Tilak",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,137401,0,1 yr 0 mth ,Aging,SKIN AND SUBCUTANEOUS TISSUS; MULTIPLE DISEASE RELEVANCE; AGING; GERIATRICS,4/1/2016,2017-03-31,"pressure ulcer, prompting system, repositioning",0
Preclinical Development and Optimization of Small Molecules for the Treatment of Atrial Fibrillation,"Dyck, Jason R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; DRUG RESEARCH,4/1/2015,2016-03-31,"Small Molecules, Atrial Fibrillation, Preclinical",0
3D Ultrasound Scanner System For Management Of Intraventricular Hemorrhage In Preterm Neonates,"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,148062,0,1 yr 0 mth ,"Human Development, Child and Youth Health",MULTIDISCIPLINARY; NONE OF THE ABOVE; IMAGING; BIOPHYSICS,4/1/2014,2015-03-31,"3D Ultrasound, Intraventricular Hemorrhage, Neonates",1
MR-Guided Focal Ablation of Prostate Cancer,"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,143110,10313,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; IMAGING; CANCER,4/1/2016,2017-03-31,"MR, Ablation, Prostate Cancer",0
A novel point-of-care method of handling human waste in healthcare institutions: technical improvements and evaluation.,"Fernie, Geoffrey R",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,51544,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; NONE OF THE ABOVE; NOT CLASSIFIED,10/1/2012,2013-09-30,"point-of-care, human waste, healthcare",0
A sub-unit based vaccine for Salmonella,"Finlay, Barton B",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,149685,0,1 yr 0 mth ,Infection and Immunity,GASTRO-INTESTINAL DISEASE; INFECTIOUS AND PARASITIC; BACTERIOLOGY; GASTROINTESTINAL (LIVER),4/1/2011,2012-03-31,"sub-unit, vaccine, Salmonella",1
Development of novel porous extracellular matrix-derived bioscaffolds for cutaneous wound healing,"Flynn, Lauren E",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; HEALTH RESEARCH; CELL BIOLOGY",4/1/2015,2016-03-31,"porous, extracellular matrix, bioscaffolds",1
Targeting Alpha-Synuclein Propagation in the Treatment of Parkinson's Disease and Other Synucleinopathies,"Fon, Edward A",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,159946,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; AGING; NERVOUS SYSTEM; DRUG RESEARCH,10/1/2014,2015-09-30,"Alpha-Synuclein, Propagation, Parkinson's Disease",0
Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202309PPE,Commercialization,100000,0,1 yr 0 mth ,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",3/1/2024,2025-02-28,"Mpox, Subunit, Vaccine",0
Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202403PPE,Commercialization,100000,0,1 yr 0 mth ,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines); Commercialization-Industry Research & Development",1/1/2009,2009-12-31,"Mpox, Subunit, Vaccine",0
Amyloid-Based Therapies for Type 2 Diabetes,"Fraser, Paul E",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,1/1/2009,2009-12-31,"Amyloid, Therapies, Diabetes",3
"Simultaneous Influenza A detection, subtyping, and oseltamivir resistance determination","Frost, Eric H",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,95000,65000,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; VIROLOGY; HEALTH RESEARCH,10/1/2011,2012-09-30,"Influenza, detection, resistance",0
Blood based biomarker for the early detection of recurrent head and neck cancer,"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,201809PJT,Commercialization,539324,0,4 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,4/1/2019,2023-03-31,"blood, biomarker, cancer",0
Blood based biomarker for the early detection of recurrent oropharyngeal cancer,"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,474300,0,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology,4/1/2024,2028-03-31,"blood, biomarker, oropharyngeal cancer",0
Development of antisense-based small RNA agents targeting the GAG open reading frame of HIV-1 RNA for use in gene and drug therapy against HIV-1 infection.,"Gatignol, Anne",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,159550,0,1 yr 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,4/1/2014,2015-03-31,"antisense, RNA, HIV-1",1
Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,150932,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",4/1/2012,2013-03-31,"Anti-fibrogenic, factor, therapeutic",3
Re -constitutable skin substitute powder kit,"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,147089,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",4/1/2014,2015-03-31,"skin, substitute, powder",2
Technology to build a drug delivery platform for silencing RNAs using exosomes,"Gibbings, Derrick J",University of Ottawa,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,159941,0,1 yr 0 mth ,Aging,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; HEALTH RESEARCH; DRUG RESEARCH,10/1/2015,2016-09-30,"drug delivery, exosomes, RNAs",3
Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,"Gleave, Martin E",University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,351900,0,2 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2018,2020-03-31,"androgen receptor, prostate cancer, antagonist",3
Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,"Glogauer, Michael",University of Toronto,Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,88399,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DENTAL SCIENCE - Oral Biology; IMMUNOLOGY-TRANSPLANTATION,7/1/2009,2010-06-30,"Chair-side, In Vitro, Periodontitis",0
Novel first-in-class MT2 melatonin receptor partial agonists for neuropathic pain,"Gobbi, Gabriella",McGill University,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2016,2017-03-31,"MT2, melatonin receptor, neuropathic pain",4
Agonistes synthetiques de kinines : Optimiser la livraison et l'efficacite des chimiotherapies des tumeurs cerebrales,"Gobeil, Fernand J",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,149418,0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; BRAIN TUMORS (INCL. RETINAL TUMORS); CANCER; HEALTH RESEARCH,4/1/2012,2013-03-31,"kinines, livraison, chimiotherapies",0
Streptococcus salivarius Probiotics Against Dental Caries Pathogens,"Gong, Siew-Ging",University of Toronto,Ontario,Project Grant,202203PJT,Commercialization,535501,0,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Commercialization-Intellectual Property; Health Determinants-Etiology of Disease and Conditions; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",10/1/2022,2026-09-30,"Streptococcus salivarius, Probiotics, Dental Caries",1
Tablet Technology for Assessing Dementia,"Graham, Simon J","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,116402,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; IMAGING; NERVOUS SYSTEM,10/1/2011,2012-09-30,"Tablet, Dementia, Assessing",1
Therapeutic antibody development towards granzyme B,"Granville, David J",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,101240,0,1 yr 0 mth ,Circulatory and Respiratory Health,NONE OF THE ABOVE; AGING; CARDIOVASCULAR,4/1/2010,2011-03-31,"antibody, granzyme B",7
Decellularization of Human Skin,"Gratzer, Paul F",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,149034,10900,1 yr 0 mth ,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; IMMUNOLOGY-TRANSPLANTATION; NOT CLASSIFIED,4/1/2011,2012-03-31,"Decellularization, Human Skin",1
Ampakine Therapy for Alleviating Respiratory Depression,"Greer, John J",University of Alberta,Alberta,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,145440,0,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; NONE OF THE ABOVE; NERVOUS SYSTEM,10/1/2015,2016-09-30,"Ampakine, Respiratory Depression, Therapy",2
Development of Specific Inhibitors of HIV pre-mRNA Alternative Splicing: A New Anti-HIV/AIDS Strategy,"Grierson, David S",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AIDS; DRUG RESEARCH; VIROLOGY,4/1/2015,2016-03-31,"HIV, pre-mRNA, splicing",4
Benchmarking a point-of-care test kit for detection of direct-oral anticoagulants,"Gross, Peter L",McMaster University,Ontario,Project Grant,202203PJT,Commercialization,279225,0,2 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Vascular and Endothelial Biology; Commercialization-Intellectual Property; Cardiovascular, Respiratory and Circulatory Systems-Hematology",10/1/2022,2024-09-30,"point-of-care, anticoagulants, detection",0
"""""""Calcium Polyphosphate Bone Substitutes""""""","Grynpas, Marc D",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,156022,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; AGING; MUSCLE, BONE, OR JOINT",4/1/2011,2012-03-31,"Calcium, Polyphosphate, Bone",2
First-in-class Therapeutic Against Urinary Retention (Continence) in Patients with Chronic Spinal Cord Injury and Related Disorders,"Guertin, Pierre",Universite Laval,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction","SPINAL CORD DISEASE; GENITO/URINARY SYSTEM; NERVOUS SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2012,2013-03-31,"Urinary retention, spinal cord injury, continence",2
A Novel Class of Drug Treatment Against Chronic Constipation in Spinal Cord-Injured People,"Guertin, Pierre",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; GASTRO-INTESTINAL DISEASE; NERVOUS SYSTEM; GASTROINTESTINAL (LIVER),10/1/2013,2014-09-30,"Drug, Constipation, Spinal Cord",2
Platform of synthetic specific promoters for immunotherapies and regenerative medicine,"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant - PA: Breast Cancer Research,202109PLL,Commercialization,100000,0,1 yr 0 mth ,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,3/1/2022,2023-03-31,"synthetic promoters, immunotherapies, regenerative medicine",1
Empowering innovative hematopoietic stem cells (HSC)-based cancer immunotherapy through the creation of synthetic specific promoters,"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,202209PJT,Commercialization,765000,0,4 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,4/1/2023,2027-03-31,"hematopoietic stem cells, immunotherapy, synthetic promoters",1
Novel anti-inflammatory treatment for Amyotrophic Lateral Sclerosis,"Hancock, Robert Ernest W",University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AMYOTROPHIC LATERAL SCLEROSIS (ALS); DRUG RESEARCH; NERVOUS SYSTEM,10/1/2011,2012-09-30,"anti-inflammatory, Amyotrophic Lateral Sclerosis",0
Anti-Biofilm Therapy,"Hancock, Robert Ernest W",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; BACTERIOLOGY; DRUG RESEARCH,4/1/2013,2014-03-31,"Anti-biofilm, Therapy",0
CFTR modulators as a potential new therapeutic paradigm to treat individuals with COPD,"Hanrahan, John W",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,159665,0,1 yr 0 mth ,Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; RESPIRATION; HEALTH RESEARCH,10/1/2014,2015-09-30,"CFTR, modulators, COPD",2
Pre-commercial development of single cell antibody selection process,"Hansen, Carl L",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,154120,0,1 yr 0 mth ,Infection and Immunity,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; HEALTH RESEARCH,10/1/2012,2013-09-30,"single cell, antibody, selection",11
Characterization of small molecule sensitizers to chemotherapy,"Hassell, John A",McMaster University,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,4/1/2012,2013-03-31,"small molecule, sensitizers, chemotherapy",0
"Diagnostic differentiel de la schizophrenie, la depression bipolaire et la depression majeure e l'aide de l'electroretinographie","Hebert, Marc",Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,159700,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL HEALTH,4/1/2014,2015-03-31,"diagnostic, electroretinography, schizophrenia",1
Assessment and Treatment of Binocular Vision in Amblyopia,"Hess, Robert F",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,126802,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DISEASES AFFECTING SPEECH/VISION/HEARING; VISION,1/1/2009,2009-12-31,"Binocular vision, Amblyopia",6
Radiotherapie par filamentation laser femtoseconde,"Houde, Daniel",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,112602,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; BIOPHYSICS,4/1/2011,2012-03-31,"radiotherapie, laser, femtoseconde",1
Crystal-binding peptides for prevention of kidney stone disease,"Hunter, Graeme K",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,116350,6000,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",GENITO/URINARY SYSTEM; ATHEROSCLEROSIS; DRUG RESEARCH; BIOPHYSICS,7/1/2009,2010-06-30,"crystal-binding, peptides, kidney stone",0
A Diagnostic Test for Granulosa Cell Tumours of the Ovary,"Huntsman, David G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,CANCER,4/1/2010,2011-03-31,"Diagnostic, Granulosa Cells, Tumours",3
PrOTYPE: An Enabling Technology to Improve Ovarian Cancer Care,"Huntsman, David G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,154829,0,1 yr 0 mth ,Cancer Research,"NEOPLASMS; NONE OF THE ABOVE; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",4/1/2013,2014-03-31,"Ovarian cancer, Enabling technology",1
Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,"Husain, Mansoor",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,184100,10600,1 yr 0 mth ,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CANCER THERAPY GENERAL; CARDIOVASCULAR; CELL BIOLOGY,10/1/2012,2013-09-30,"anti-proliferative, CaM-cyclin E, interactions",0
Commercialization of H-scan: a new tool for imaging kidney fibrosis,"Hysi, Eno",Unity Health Toronto,Ontario,Project Grant,202403PJT,Commercialization,726750,0,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging; Digestive, Endocrine and Excretory Systems-Nephrology and Urology",10/1/2024,2027-09-30,"H-scan, imaging, kidney fibrosis",1
Advanced Handheld SPECT System for Intraoperative Guidance,"Jaffray, David A",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,159845,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,10/1/2014,2015-09-30,"Handheld, SPECT, Guidance",0
"Novel semen biomarkers to identify sperm production in men with infertility: A non-invasive method to characterize men with azoospermia or no sperm in the semen, into those with and without testicular sperm production","Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,152499,0,1 yr 0 mth ,"Human Development, Child and Youth Health",INFERTILITY MALE; GENITO/URINARY SYSTEM; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY,4/1/2011,2012-03-31,"semen biomarkers, azoospermia, sperm production",1
Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using a panel of protein biomarkers measured in seminal plasma,"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,154660,0,1 yr 0 mth ,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",10/1/2013,2014-09-30,"sperm retrieval, azoospermia, protein biomarkers",1
Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using TEX101 protein measured in seminal plasma by ELISA,"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",4/1/2016,2017-03-31,"sperm retrieval, TEX101, azoospermia",1
"Minimally Invasive Ready, Highly Expandable Vertebral Body Replacement Device","Jarzem, Peter F",McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,122826,0,1 yr 0 mth ,Cancer Research,"BONE CANCER; MUSCULO SKELETAL; NERVOUS SYSTEM; MUSCLE, BONE, OR JOINT",4/1/2010,2011-03-31,"Vertebral, Expandable, Device",2
Clinical validation of an innovative multiplex antibody microarray platform,"Juncker, David",McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,"MULTIDISCIPLINARY; BREAST CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CANCER",4/1/2010,2011-03-31,"antibody, microarray, platform",7
Self-Propelling Hemostatic Particles that Treat Severe Bleeding,"Kastrup, Christian J",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,159788,0,1 yr 0 mth ,Circulatory and Respiratory Health,CLOTTING DEFECTS/THROMBOSIS; PREGNANCY/BIRTH; CARDIOVASCULAR; BLOOD,10/1/2014,2015-09-30,"Self-Propelling, Hemostatic, Bleeding",1
Acoustical Device for Obstructive Sleep Apnea Severity Prediction during Wakefulness,"Kazem-Moussavi, Zahra M",University of Manitoba,Manitoba,Project Grant,201803PJT,Commercialization,367200,0,3 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Determinants-Etiology of Disease and Conditions",10/1/2018,2021-09-30,"Acoustical, Sleep Apnea, Prediction",0
Clinical validation of low-cost ultrasensitive electronic molecular  diagnostics,"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Genetics,MULTIPLE DISEASE RELEVANCE; GENETICS,1/1/2009,2009-12-31,"ultrasensitive, electronic, diagnostics",4
Preclinical testing of a mitochondrially-targeted anticancer agent,"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; GENETICS,4/1/2012,2013-03-31,"mitochondrially-targeted, anticancer, agent",1
The xViva CTC capture chip: a device for tumor cell sorting and classification,"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,160000,0,1 yr 0 mth ,Genetics,PROSTATE AND BLADDER CANCER; CANCER THERAPY GENERAL; GENETICS; CANCER,10/1/2014,2015-09-30,"CTC, capture, sorting",3
A novel therapeutic treatment for Zellweger Spectrum Disorder,"Kim, Peter K",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Human Development, Child and Youth Health",METABOLISM AND NUTRITION; CONGENITAL ANOMALIES; CELL BIOLOGY; GENETICS,10/1/2015,2016-09-30,"Zellweger, Spectrum, Disorder",0
