Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
New antiviral agents against herpes simplex viruses,"Boivin, Guy",Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,4/1/2010,2011-03-31,"antiviral, herpes simplex, viruses",4
HLA Peptide Development as a Therapeutic for Psoriasis,"Booth, Valerie K",Memorial University of Newfoundland,Newfoundland and Labrador,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,156920,0,1 yr 0 mth ,Infection and Immunity,SKIN AND SUBCUTANEOUS TISSUS; BIOCHEMISTRY; DRUG RESEARCH,4/1/2011,2012-03-31,"HLA, Peptide, Psoriasis",0
Prognostic gene signature for stage I lung adenocarcinoma,"Bosse, Yohan",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,148348,0,1 yr 0 mth ,Cancer Research,LUNG CANCER; SUPPLEMENTARY CLASSIFICATIONS; CANCER; GENETICS,10/1/2013,2014-09-30,"gene signature, lung adenocarcinoma, prognostic",0
Commercialization of a Radiopaque Spherical Embolic Agent.,"Boyd, Daniel",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,159097,0,1 yr 0 mth ,"Human Development, Child and Youth Health",NOT CLASSIFIED,10/1/2012,2013-09-30,"Radiopaque, Embolic, Agent",3
Enabling commercialization of retinal gene therapy for Zellweger Spectrum Disorder,"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,1503225,0,5 yrs 0 mth ,Genetics,"Commercialization-Technology Transfer; Neurosciences-Sensory Systems (including visual, auditory and pain); Genetic disease",4/1/2023,2028-03-31,"retinal gene therapy, Zellweger Spectrum Disorder",0
Machine Learning for Flow Cytometry Clinical Data and Trial Analysis,"Brinkman, Ryan",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,317475,0,1 yr 10 mths ,Infection and Immunity,Commercialization-Technology Transfer; Methods Development and Modelling-Quantitative Methods Development for Health Research,4/1/2020,2022-01-31,"Machine Learning, Flow Cytometry, Clinical Data",0
An IGF-Trap for the treatment of breast cancer: consolidation of the pre-clinical profile and commercialization.,"Brodt, Pnina",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,299934,0,1 yr 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; DRUG RESEARCH,10/1/2015,2016-09-30,"IGF, breast cancer, trap",1
Device for recanalization of peripheral and coronary arteries,"Brouillette, Martin",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,155180,0,1 yr 0 mth ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOLOGY; CARDIOVASCULAR,10/1/2013,2014-09-30,"recanalization, arteries, device",2
A High-Resolution Ultrasonic Endoscope for the Auditory System,"Brown, Jeremy A",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,108000,10600,1 yr 0 mth ,Aging,DEAFNESS; DISEASES AFFECTING SPEECH/VISION/HEARING; IMAGING; HEARING,10/1/2010,2011-09-30,"Ultrasonic, Endoscope, Auditory",1
A new qPCR method for the assessment of total/relative bacterial load from stool samples: C difficile show case,"Brukner, Ivan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,131513,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIDISCIPLINARY; BACTERIOLOGY; MOLECULAR BIOLOGY,10/1/2015,2016-09-30,"qPCR, bacterial load, stool samples",0
Smart Ultrasonic Hydrogel Sensors for Point of Care Analysis,"Burns, David H",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Circulatory and Respiratory Health,null,1/1/2009,2009-12-31,"Ultrasonic, Hydrogel, Sensors",1
Intravesical Taxanes,"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,157412,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH,4/1/2012,2013-03-31,"Intravesical, Taxanes",2
Intravesical Docetaxel Formulation for the Treatment of Ta/T1 Stage Bladder Cancer,"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,294600,0,1 yr 0 mth ,Cancer Research,"PROSTATE AND BLADDER CANCER THERAPY; CANCER; RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2013,2014-09-30,"Docetaxel, Bladder Cancer, Intravesical",2
Optimization and Validation of Highly Cytocidal Substituted Phenyl Imidazolidin-2-one as Antimicrotubule Agents for Cancer Chemotherapy,"C.-Gaudreault, Rene",Universite Laval,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,10/1/2011,2012-09-30,"Cytocidal, Phenyl Imidazolidin-2-one, Antimicrotubule",0
Validation of Highly Potent Substituted Phenyl Alkylureas as Antipsoriatic Agents,"C.-Gaudreault, Rene",Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,497250,0,3 yrs 0 mth ,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2018,2021-03-31,"Potent, Phenyl Alkylureas, Antipsoriatic",0
