Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Clinical validation of low-cost ultrasensitive electronic molecular  diagnostics,150000.0,0.0,1.0,Genetics,MULTIPLE DISEASE RELEVANCE; GENETICS,1/1/2009,"ultrasensitive, electronic, diagnostics",5.0,Xagenic Inc.,1.0,C-suite,26,108
"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Preclinical testing of a mitochondrially-targeted anticancer agent,160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; CANCER; GENETICS,4/1/2012,"mitochondrially-targeted, anticancer, agent",1.0,,0.0,,145,108
"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,The xViva CTC capture chip: a device for tumor cell sorting and classification,160000.0,0.0,1.0,Genetics,PROSTATE AND BLADDER CANCER; CANCER THERAPY GENERAL; GENETICS; CANCER,10/1/2014,"CTC, capture, sorting",3.0,,0.0,,146,108
"Kim, Peter K",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A novel therapeutic treatment for Zellweger Spectrum Disorder,160000.0,0.0,1.0,"Human Development, Child and Youth Health",METABOLISM AND NUTRITION; CONGENITAL ANOMALIES; CELL BIOLOGY; GENETICS,10/1/2015,"Zellweger, Spectrum, Disorder",0.0,,0.0,,147,109
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel Polymer Based Glucose-sparing Peritoneal Dialysis Solutions for End-stage Renal Disease,160000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2012,"Polymer, Glucose-sparing, Dialysis",2.0,,0.0,,148,110
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Preclinical Development of a Glucose-Free Peritoneal Dialysis Solution,289799.0,5000.0,1.0,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2014,"Glucose-Free, Peritoneal Dialysis, Solution",7.0,,0.0,,149,110
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Project Grant,202010PJT,Commercialization,Novel Infection Resistant Coating in an Era of Drug Resistant Bacteria for the Treatment and Prevention of Medical Device Infection,520199.0,0.0,3.0,Infection and Immunity,"Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",4/1/2021,"Infection, Coating, Bacteria",2.0,,0.0,,150,110
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Project Grant,202209PJT,Commercialization,Localized immuno-cloaking organ engineering approach to prevent transplant rejection without immunosuppressants,803250.0,0.0,3.0,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Commercialization-Intellectual Property",4/1/2023,"immuno-cloaking, organ engineering, transplant rejection",4.0,,0.0,,151,110
"Koeberle, Paulo D",University of Toronto,Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Peptide therapeutics for preventing retinal ganglion cell apoptosis,149949.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",GLAUCOMA; DISEASES AFFECTING SPEECH/VISION/HEARING,4/1/2015,"peptide, retinal ganglion cell, apoptosis",1.0,,0.0,,152,111
"Kotra, Lakshmi P",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,In vivo efficacy studies on KP-218 as a potential MS therapeutic agent,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS,10/1/2014,"in vivo, MS, therapeutic",4.0,Lucid Psycheceuticals Inc.,1.0,C-suite,11,112
"Kouassi, Edouard",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Novel methods and compounds for increasing red blood cell survival,160000.0,0.0,1.0,Circulatory and Respiratory Health,BLOOD; ANAEMIAS; DRUG RESEARCH,10/1/2010,"red blood cell, survival, compounds",0.0,,0.0,,153,113
"Kremer, Richard B",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,Anti-parathyroid hormone-related protein (PTHrP) monoclonal antibodies against metastatic cancer,665550.0,0.0,3.0,Cancer Research,"Commercialization-Technology Transfer; Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2023,"parathyroid hormone, monoclonal antibodies, metastatic cancer",1.0,Miramab Bioscience Inc.,1.0,C-suite,12,114
"Kubow, Stanley",McGill University,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Protective Effects of Potato Polyphenol-Rich Extracts Against Lung Damage Caused by Air Pollutants,150525.0,0.0,1.0,Circulatory and Respiratory Health,ENVIRONMENTAL INFLUENCES ON HEALTH; RESPIRATION; NUTRITION,4/1/2012,"potato polyphenols, lung damage, air pollutants",1.0,,0.0,,154,115
"Kumar, Rakesh",University of Alberta,Alberta,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of new class of antiviral drugs for influenza A virus infections,156590.0,0.0,1.0,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; HEALTH RESEARCH; DRUG RESEARCH,4/1/2013,"antiviral, influenza, virus",0.0,,0.0,,155,116
"Kumar, Rakesh",University of Alberta,Alberta,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of novel chemotherapeutics for tuberculosis,159850.0,0.0,1.0,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,4/1/2014,"chemotherapeutics, tuberculosis",3.0,,0.0,,156,116
"Kushki, Azadeh",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,202003PJT,Commercialization,A wearable technology approach to managing challenging behaviours in children with autism spectrum disorder (ASD),485774.0,0.0,3.0,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,10/1/2020,"wearable, autism, behaviors",0.0,,0.0,,157,117
"Lam, Stephen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CTAP III for detection of early lung cancer and monitoring treatment outcome,160000.0,0.0,1.0,Cancer Research,LUNG CANCER; CANCER,10/1/2010,"CTAP, lung cancer, detection",0.0,,0.0,,158,118
"Leavitt, Blair R",University of British Columbia,British Columbia,Project Grant,202203PJT,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,761176.0,0.0,5.0,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",10/1/2022,"Lipid Nanoparticle, CRISPR, Gene Editing",3.0,"Incisive Genetics, Inc.",1.0,C-suite,8,119
"Leavitt, Blair R",University of British Columbia,British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities),202109OGB,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,100000.0,0.0,1.0,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",3/1/2022,"Lipid Nanoparticle, CRISPR, Gene Editing",0.0,,0.0,,159,119
"Legault, Pascale",Universite de Montreal,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,The ARiBo technology for isolation of ribonucleoprotein complexes,145412.0,13349.0,1.0,Genetics,"CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; BIOCHEMISTRY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2012,"ARiBo, ribonucleoprotein, complexes",0.0,,0.0,,160,120
"Leonardi, Mathew",McMaster University,Ontario,Project Grant,202309PJT,Commercialization,Commercialization of a diagnostic test for endometriosis,634949.0,0.0,3.0,Gender and Health,"Sex-and-Gender Health-Sex-and-Gender-Based Analysis - Clinical, Health Systems and Population Health Research",4/1/2024,"diagnostic test, endometriosis",1.0,,0.0,,161,121
"Lerouge, Sophie",ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A new therapeutic agent for the treatment and prevention of endoleaks after endovascular aneurysm repair,155000.0,0.0,1.0,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,10/1/2010,"therapeutic agent, endoleaks, aneurysm repair",3.0,,0.0,,162,122
"Lerouge, Sophie",ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Injectable thermosensitive hydrogel as delivery vehicle of lymphocytes for cancer immunotherapy,141000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2016,"injectable, hydrogel, lymphocytes",0.0,,0.0,,163,122
"Li, Shyh-Dar","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,"Benchmark Cellax, a proprietary nanoparticle formulation for docetaxel, against Taxotere to treat metastatic castration resistant prostate cancer",160000.0,0.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,10/1/2012,"nanoparticle, docetaxel, prostate cancer",2.0,,0.0,,164,123
"Li, Shyh-Dar","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Heat-triggered Chemotherapy to Treat Refractory Breast Cancer at the Chest Wall,160000.0,0.0,1.0,Cancer Research,DRUG RESEARCH; CANCER,10/1/2013,"Heat, Chemotherapy, Breast Cancer",1.0,,0.0,,165,123
"Li, Shyh-Dar",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Validation and commercialization of an innovative analgesic for chronic pain,524026.0,0.0,3.0,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2020,"analgesic, chronic pain",1.0,,0.0,,166,123
"Lin, Sheng-Xiang",Universite Laval,Quebec,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Pre-clinical pharmacokinetic and efficacy assays with an efficient 17beta-hydroxysteroid dehydrogenase type 7 inhibitor for breast cancer therapy,100000.0,0.0,1.0,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Digestive, Endocrine and Excretory Systems-Endocrinology",3/1/2024,"pharmacokinetic, 17beta-hydroxysteroid dehydrogenase, breast cancer",0.0,,0.0,,167,124
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Therapeutics targeting receptor-receptor interactions for Addiction,150000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",DRUG RESEARCH; MENTAL HEALTH,4/1/2010,"receptor, interactions, addiction",8.0,,0.0,,168,125
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Development of peptide therapeutics via nasal delivery for major depression disorder,150000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL AND BEHAVIOURAL DISEASES; MENTAL HEALTH; DRUG RESEARCH,4/1/2012,"peptide, nasal delivery, depression",2.0,,0.0,,169,125
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,Development and commercialisation of a novel treatment for multiple sclerosis,299101.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2016,"multiple sclerosis, treatment",4.0,,0.0,,170,125
"Liu, Fei-Fei",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Targeting UROD As A Novel Anti-Cancer Therapeutic Strategy,150000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2010,"UROD, Anti-Cancer, Therapeutic",1.0,,0.0,,171,126
"Logsetty, Sarvesh",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,The effects of a novel hydrogel coating on commercial antimicrobial dressings.,157633.0,0.0,1.0,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; INFECTIOUS AND PARASITIC; BIOCHEMISTRY; DRUG RESEARCH,4/1/2015,"hydrogel, antimicrobial, dressings",3.0,,0.0,,172,127
"Lubell, William D",Universite de Montreal,Quebec,Project Grant,202209PJT,Commercialization,"Treating Age-Related Macular Degeneration by Mitigating Inflammation, Oxidative Stress, and Lipid Accumulation through CD36 Modulation",833851.0,0.0,3.0,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",4/1/2023,"Age-Related Macular Degeneration, Inflammation, CD36",0.0,,0.0,,173,128
"Lubell, William D",Universite de Montreal,Quebec,Project Grant,202303PJT,Commercialization,Interleukin-1 Receptor Modulating Therapy for Treating Macular Degeneration,516376.0,0.0,3.0,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",10/1/2023,"Interleukin-1, Receptor, Macular Degeneration",0.0,,0.0,,174,128
"Ma, Hongshen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Pre-commercial Development of Microfluidic Technology for Deformability based Separation of Circulating Tumor Cells,160000.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER; BLOOD; CANCER,10/1/2015,"microfluidic, deformability, tumor cells",0.0,,0.0,,175,129
"Ma, Hongshen",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Non-contact screening technology to expedite cell line development for antibody production,524026.0,0.0,3.0,Cancer Research,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",4/1/2020,"non-contact, screening, antibody",0.0,,0.0,,176,129
"Macaulay, Calum E",University of British Columbia,British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,A platform enabling personalized medicine through the detection of cells with specific genetic characterization,149825.0,0.0,1.0,Cancer Research,"CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",7/1/2009,"personalized medicine, genetic characterization, cell detection",0.0,,0.0,,177,130
"Macaulay, Calum E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Optically-Guided Biopsy for Improved Diagnosis of Peripheral Pulmonary Nodules,146470.0,0.0,1.0,Cancer Research,LUNG CANCER; NEOPLASMS; CANCER; HEALTH RESEARCH,10/1/2015,"Optically-Guided, Biopsy, Pulmonary",1.0,,0.0,,178,130
"Mahony, James B",McMaster University,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Evaluation of a Novel Chlamydia Vaccine Based on Type III Secretion Proteins,159000.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; INFERTILITY FEMALE; HEALTH RESEARCH; BACTERIOLOGY,10/1/2014,"Chlamydia, Vaccine, Secretion Proteins",1.0,,0.0,,179,131
"Mahuran, Don J",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Treating Parkinson's Disease with Drugs that Increase Lysosomal B-Glucocerebrosidase Activity,157606.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; MENTAL AND BEHAVIOURAL DISEASES; NERVOUS SYSTEM; BIOCHEMISTRY,4/1/2012,"Parkinson's, Lysosomal, B-Glucocerebrosidase",2.0,,0.0,,180,132
"Malouin, Franeois",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Riboswitch ligand inhibitors for MRSA and staphylococci / Ligands de riboregulateurs agissant comme antibiotiques contre le SARM et les staphylocoques,157350.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC,4/1/2013,"riboswitch, ligands, antibiotics",0.0,,0.0,,181,133
"Martin, Ruth E",Western University (Ontario),Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,"Swallowing Air-Pulse Therapy (SWAPT): Design Specification, Testing, Regulatory Approval, and Pre-launch Market Analysis",250000.0,0.0,1.0,Aging,"STROKE, HEART FAILURE; MUSCULO SKELETAL; AGING; DENTAL SCIENCE - Oral Biology",7/1/2009,"Air-Pulse, Swallowing, Therapy",7.0,,0.0,,182,134
"Martineau, Paul A",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,POROUS COMPRESSION SCREW for FRACTURE FIXATION,155375.0,0.0,1.0,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; HEALTH CARE DELIVERY; HEALTH RESEARCH; MUSCLE, BONE, OR JOINT",4/1/2011,"porous, compression, screw",2.0,,0.0,,183,135
"McNagny, Kelly M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CD34 as a therapeutic target for allergic asthma,160000.0,0.0,1.0,Infection and Immunity,ASTHMA; RESPIRATION; IMMUNOLOGY-TRANSPLANTATION,10/1/2010,"CD34, allergic asthma, therapeutic",0.0,,0.0,,185,136
"Mcalpine, Jessica N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,PROMISE: A Proactive Molecular-Based Classification Tool to Improve Endometrial Cancer Management,160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2016,"Molecular, Classification, Endometrial Cancer",1.0,,0.0,,184,137
"Meek, Robert N",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Minimally Invasive Curved Intramedullary Fixation (MICIF) for pelvic bone fractures,300000.0,0.0,1.0,Health Services and Policy Research,"NONE OF THE ABOVE; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",10/1/2013,"Intramedullary, Fixation, Pelvic",4.0,,0.0,,186,138
"Meloche, Sylvain",Universite de Montreal,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Targeting the degradation of the cyclin-dependent kinase inhibitor p21 as a novel approach to cancer therapy,160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,4/1/2011,"cyclin-dependent kinase, p21, cancer",1.0,,0.0,,187,139
"Mes-Masson, Anne-Marie",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Development and validation of a multiplex blood-based assay for the early detection of ovarian cancer.,160000.0,0.0,1.0,Cancer Research,GENITO/URINARY SYSTEM; NEOPLASMS; CANCER; HEALTH RESEARCH,10/1/2010,"multiplex, blood-based, ovarian cancer",0.0,,0.0,,188,140
"Minchinton, Andrew I",University of British Columbia,British Columbia,Project Grant,201903PJT,Commercialization,Hypoxia-activated DNA repair inhibitors to improve cancer therapy,573750.0,0.0,3.0,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,10/1/2019,"hypoxia, DNA repair, inhibitors",2.0,,0.0,,189,141
"Minchinton, Andrew I",University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,Development of clinical candidate hypoxia-activated DNA-PK inhibitors,979200.0,0.0,4.0,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2024,"hypoxia, DNA-PK, inhibitors",0.0,,0.0,,190,141
"Mishra, Ram K",McMaster University,Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,A novel dopamine D2 receptor allosteric modulator: Development and commercialization of a safer more effective generation of antipsychotic drugs,146850.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",SCHIZOPHRENIA; PARKINSON'S DISEASE; MENTAL HEALTH; BIOCHEMISTRY,10/1/2011,"dopamine D2 receptor, allosteric modulator, antipsychotic",2.0,,0.0,,191,142
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Methods of Diagnosing Idiopathic Scoliosis and related Spinal Disorders,250000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; MOLECULAR BIOLOGY",7/1/2009,"Diagnosing, Scoliosis, Spinal Disorders",10.0,,0.0,,192,143
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Methods of Diagnosing Primary Osteoarthritis,160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; CELL BIOLOGY",4/1/2011,"diagnosing, osteoarthritis, primary",3.0,,0.0,,193,143
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Validation of a Disease-Modifying Osteoarthritis Drug,160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",4/1/2015,"Osteoarthritis, Drug, Validation",0.0,,0.0,,194,143
"Mossman, Karen L",McMaster University,Ontario,Project Grant,202104PJT,Commercialization,Clinical development of oncolytic BHV-1 for cancer therapy,504900.0,0.0,3.0,Cancer Research,Commercialization-Intellectual Property; Commercialization-Industry Research & Development; Cancer-Cancer Drug Development and Therapeutics,10/1/2021,"oncolytic, BHV-1, cancer",0.0,,0.0,,195,144
"Mueller, Christopher R","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202209PJT,Commercialization,Using a Liquid Biopsy to Optimize Metastatic Breast Cancer Treatment,891226.0,0.0,3.0,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology; Commercialization-Industry Research & Development,4/1/2023,"Liquid biopsy, metastatic breast cancer",1.0,,0.0,,196,145
"Nanthakumar, Kumaraswamy",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Novel Mapping Methodology for Identifying Arrhythmia Circuit.,158375.0,0.0,1.0,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; CARDIOVASCULAR,4/1/2014,"Mapping, Arrhythmia, Circuit",9.0,,0.0,,197,146
"Nazhat, Showan N",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Injectable dense collagen-silk fibroin derived polypeptide hydrogels for bone regenerative therapy,156393.0,0.0,1.0,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; DENTAL DISEASE (INCL. ORAL BIOLOGY); MUSCLE, BONE, OR JOINT; AGING",4/1/2013,"collagen, fibroin, hydrogels",4.0,,0.0,,198,147
"Ndao, Momar",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bridging the Gap Between Mass Spectrometric Profiling and Practical Diagnostic Tests for Commercialization: Case of Chagas Disease,150000.0,0.0,1.0,Infection and Immunity,"INFECTIOUS AND PARASITIC; PARASITIC; HEALTH RESEARCH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",1/1/2009,"Mass spectrometry, diagnostics, Chagas disease",1.0,,0.0,,199,148
"Nepveu, Alain",McGill University,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Validation of the CUX1 Expression Signature as an RT-PCR-Based Prognostic Tool,159950.0,0.0,1.0,Cancer Research,BREAST CANCER; NEOPLASMS; CANCER; MOLECULAR BIOLOGY,4/1/2011,"CUX1, RT-PCR, Prognostic",1.0,,0.0,,200,149
"Olson, David M",University of Alberta,Alberta,Project Grant,202003PJT,Commercialization,Integrated discovery studies and commercialization for a preterm birth diagnostic and a therapeutic,558450.0,0.0,3.0,"Human Development, Child and Youth Health",Commercialization-Industry Research & Development; Reproduction and Development-Fertility and Maternal Health,10/1/2020,"preterm birth, diagnostic, therapeutic",5.0,,0.0,,201,150
"Ostrowski, Mario A",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bioreactor-based large scale production of a Tim-3 pathway inhibitor as a novel immunotherapy against HIV-1 and other chronic viral infections,150000.0,0.0,1.0,Infection and Immunity,AIDS; INFECTIOUS AND PARASITIC; IMMUNOLOGY-TRANSPLANTATION; VIROLOGY,1/1/2009,"Bioreactor, Tim-3 pathway, immunotherapy",0.0,,0.0,,202,151
"Paganelli, Massimiliano","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,201809PJT,Commercialization,Stem cell-derived Encapsulated Liver Tissue to treat liver failure without immunosuppression: technology maturation towards clinical translation,497249.0,0.0,3.0,"Nutrition, Metabolism and Diabetes","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology; Commercialization-Technology Transfer",4/1/2019,"stem cells, encapsulation, liver tissue",3.0,Morphocell Technologies Inc.,1.0,C-suite,13,152
"Park, Morag",McGill University,Quebec,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Generation of a gene expression-based breast cancer prognostic device,73500.0,0.0,1.0,Cancer Research,"BREAST CANCER; BREAST CANCER THERAPY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",7/1/2009,"gene expression, breast cancer, prognostic",1.0,Aspect Biosystems Ltd.,1.0,Patent Inventor,2,153
"Pearson, Christopher E",Hospital for Sick Children (Toronto),Ontario,Project Grant,202309PJT,Commercialization,Pre-clinical studies of a small-molecule to reverse neurodegenerative disease-causing mutations for its commercialization and application,719101.0,0.0,3.0,Genetics,Commercialization-Technology Transfer; Genetics-Molecular and Functional Genetics and Epigenetics,4/1/2024,"small-molecule, neurodegenerative, mutations",0.0,,0.0,,203,154
"Pelletier, Jerry M",McGill University,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Chemotherapeutic Agents for Inhibiting Protein Synthesis,160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,10/1/2011,"Chemotherapeutic, Protein Synthesis, Inhibition",1.0,,0.0,,204,155
