Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Bergeron, Michel G",Universite Laval,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,"Developpement, optimisation et multiplexage d'un oligonucleotide synthetique permettant l'amplification d'ADN et l'hybridation sur support solide en une seule etape. PDP PhaseI",160000.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; MOLECULAR BIOLOGY; BACTERIOLOGY,4/1/2015,"oligonucleotide, amplification, hybridation",0.0,,0.0,,45,19
"Bernatchez, Pascal N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Novel compounds for treatment of pulmonary hypertension,158389.0,0.0,1.0,Circulatory and Respiratory Health,HYPERTENSION; CARDIOVASCULAR; RESPIRATION,4/1/2013,"compounds,pulmonary hypertension",0.0,,0.0,,46,20
"Biddiss, Elaine A",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,201909PJT,Commercialization,"BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness",409276.0,0.0,3.0,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,4/1/2020,"movement tracking, video game, motor therapy",0.0,,0.0,,47,21
"Boerkoel, Cornelius F",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Development of Tdp1 inhibitors for treating cancer,159927.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,10/1/2011,"Tdp1, inhibitors, cancer",0.0,,0.0,,48,22
"Bohbot, Veronique",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Validation of a fully automated virtual reality based spatial memory improvement program that promotes healthy aging,160000.0,0.0,1.0,Aging,ALZHEIMER'S DISEASE; HEALTH PROMOTION,10/1/2014,"virtual reality, spatial memory, aging",1.0,,0.0,,49,23
"Boisselier Mailfait, Elodie",Universite Laval,Quebec,Project Grant,202003PJT,Commercialization,Un nouveau vecteur de medicaments ophtalmiques e base de nanoparticules d'or,550800.0,0.0,5.0,"Neurosciences, Mental Health and Addiction",Commercialization-Intellectual Property,10/1/2020,"vecteur, nanoparticules, ophtalmiques",0.0,,0.0,,50,24
"Boivin, Guy",Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,New antiviral agents against herpes simplex viruses,150000.0,0.0,1.0,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,4/1/2010,"antiviral, herpes simplex, viruses",4.0,,0.0,,51,25
"Booth, Valerie K",Memorial University of Newfoundland,Newfoundland and Labrador,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,HLA Peptide Development as a Therapeutic for Psoriasis,156920.0,0.0,1.0,Infection and Immunity,SKIN AND SUBCUTANEOUS TISSUS; BIOCHEMISTRY; DRUG RESEARCH,4/1/2011,"HLA, Peptide, Psoriasis",0.0,,0.0,,52,26
"Bosse, Yohan",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prognostic gene signature for stage I lung adenocarcinoma,148348.0,0.0,1.0,Cancer Research,LUNG CANCER; SUPPLEMENTARY CLASSIFICATIONS; CANCER; GENETICS,10/1/2013,"gene signature, lung adenocarcinoma, prognostic",0.0,,0.0,,53,27
"Boyd, Daniel",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Commercialization of a Radiopaque Spherical Embolic Agent.,159097.0,0.0,1.0,"Human Development, Child and Youth Health",NOT CLASSIFIED,10/1/2012,"Radiopaque, Embolic, Agent",3.0,Abk Biomedical Inc,1.0,C-suite,0,28
