Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,grant_id,researcher_id
"Marcucci, Maura",McMaster University,Ontario,Project Grant,202209PJT,Biological and Clinical Aspects of Aging,NeuroVISION-2 Study: Neurological Impact of CerebroVascular Events In Noncardiac Surgery Patients,"$1,998,677 ",$0 ,4 yrs 0 mth ,Aging,2023/04/01,"NeuroVISION, CerebroVascular, Neurological",0,zN/A,0,zN/A,4829,2369
"Marcucci, Maura",McMaster University,Ontario,Operating Grant: Mechanisms in Brain Aging and Dementia,202307BHC,Operating Grant: Brain Health and Cognitive Impairment in Aging,Mechanisms and prediction of perioperative brain injury and its long-term impact: the NeuroVISION-2 biobank initiative.,"$749,558 ",$0 ,3 yrs 0 mth ,Aging,11/1/2023,"brain injury, neuroVISION, biobank",0,zN/A,0,zN/A,4830,2369
"Marczynski, Gregory T",McGill University,Quebec,Operating Grant,201209MOP,Biochemistry & Molecular Biology - B,Bacterial chromosome replication control by novel proteins,"$688,560 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2013/04/01,"bacterial, chromosome, replication",0,zN/A,0,zN/A,4831,2370
"Marechal, Alexandre",Universite de Sherbrooke,Quebec,Project Grant,202003PJT,Biochemistry & Molecular Biology - B,Ubiquitin-Dependent Regulation of DNA Replication during Stress,"$765,000 ",$0 ,5 yrs 0 mth ,Cancer Research,2020/10/01,"Ubiquitin, DNA replication, Stress",0,zN/A,0,zN/A,4832,2371
"Marechal, Alexandre",Universite de Sherbrooke,Quebec,Project Grant,202309PJT,Biochemistry & Molecular Biology - B,Uncovering Vulnerabilities of Alternative Telomere Maintenance Systems in Cancer,"$768,825 ",$0 ,5 yrs 0 mth ,Cancer Research,2024/04/01,"Telomere, Maintenance, Cancer",0,zN/A,0,zN/A,4833,2371
"Marette, Andre",Universite Laval,Quebec,Operating Grant,201003MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Role of the mTOR/S6K1 and RSK pathways in the pathogenesis of insulin resistance,"$958,296 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2010/10/01,"mTOR, S6K1, insulin resistance",0,zN/A,0,zN/A,4834,2372
"Marette, Andre",Universite Laval,Quebec,Operating Grant,201009MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Role of iNOS in the pathogenesis of insulin resistance,"$918,695 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2011/04/01,"iNOS, insulin resistance, pathogenesis",0,zN/A,0,zN/A,4835,2372
"Marette, Andre",Universite Laval,Quebec,Operating Grant,201109MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Metabolic functions of the PTPase SHP-1 in insulin target tissues,"$766,905 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2012/04/01,"metabolic, PTPase, insulin",0,zN/A,0,zN/A,4836,2372
"Marette, Andre",Universite Laval,Quebec,Operating Grant: Programmatic Grants in Food & Heallth-Basic Biomedical Science,201301FH4,Operating Grant: Programmatic Grants in Food and Health,Translational approach to establish the cardiometabolic health effects and mechanisms of action of fish nutrients: from animal models to obese insulin-resistant subjects,"$2,000,000 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",6/1/2013,"cardiometabolic, fish nutrients, insulin-resistant",0,zN/A,0,zN/A,4837,2372
"Marette, Andre",Universite Laval,Quebec,Project Grant,202109PJT,"Diabetes, Obesity, Lipid & Lipoprotein Disorders","Host iNOS dictates gut dysbiosis, bacterial translocation and tissue insulin resistance in murine and human obesity","$814,725 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2022/04/01,"iNOS, gut dysbiosis, insulin resistance",0,zN/A,0,zN/A,4838,2372
"Marette, Andre",Universite Laval,Quebec,Project Grant,202209PJT,"Nutrition, Food & Health",Role of altered production of branched-chain hydroxy acids (BCHA) in the pathogenesis of type 2 diabetes (T2D) and fatty liver disease and its prevention by BCHA-supplemented yogurt,"$753,525 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2023/04/01,"branched-chain, hydroxy acids, diabetes",0,zN/A,0,zN/A,4839,2372
"Marette, Andre",Universite Laval,Quebec,Project Grant,202303PJT,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Nutrient sensing mechanisms underlying the metabolic effects of dietary proteins in obesity and type 2 diabetes,"$749,700 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2023/10/01,"nutrient sensing, metabolic effects, dietary proteins",0,zN/A,0,zN/A,4840,2372
"Margetts, Peter J",McMaster University,Ontario,Operating Grant,201203MOP,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Are circulating fibrocytes associated with a worse renal outcome in patients with glomerulonephritis?,"$321,489 ",$0 ,4 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2012/10/01,"fibrocytes, renal, glomerulonephritis",0,zN/A,0,zN/A,4841,2373
"Marin Juez, Ruben","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,202104PJT,Cardiovascular System - B: Heart and Circulation,Coronary angiocrine control of heart regeneration,"$722,926 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2021/10/01,"coronary, angiocrine, heart",0,zN/A,0,zN/A,4842,2374
"Marin, Marie-France",Universite du Quebec e Montreal,Quebec,Project Grant,201909PJT,"Gender, Sex & Health","Long-lasting effects of oral contraceptive use during adolescence: An investigation of neural, endocrine, and cognitive systems","$493,425 ",$0 ,5 yrs 0 mth ,Gender and Health,2020/04/01,"oral contraceptive, neural, endocrine",0,zN/A,0,zN/A,4843,2375
"Marin, Marie-France",CIUSSS de l'Est-de-l'lle-de-Montreal-Sante Mentale,Quebec,Project Grant,202104PJT,Social & Developmental Aspects of Children's & Youth's Health,Intergenerational transmission of vulnerability to PTSD : When children learn fear from their parent,"$937,128 ",$0 ,8 yrs 0 mth ,"Human Development, Child and Youth Health",2021/10/01,"intergenerational transmission, PTSD, fear",0,zN/A,0,zN/A,4844,2375
"Mark, Brian L",University of Manitoba,Manitoba,Operating Grant,200903MOP,Biochemistry & Molecular Biology - A,Overcoming Antibiotic Resistance:  Targeting the AmpC beta-lactamase induction pathway,"$677,110 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2009/10/01,"antibiotic resistance, beta-lactamase, induction pathway",4,zN/A,0,zN/A,4845,2376
"Mark, Brian L",University of Manitoba,Manitoba,Project Grant,201809PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Development of a therapeutic modality to treat GM2 gangliosidoses,"$547,740 ",$0 ,4 yrs 0 mth ,Genetics,2019/04/01,"GM2, gangliosidoses, therapeutic",0,zN/A,0,zN/A,4846,2376
"Marleau, Sylvie",Universite de Montreal,Quebec,Project Grant,202104PJT,Cardiovascular System - B: Heart and Circulation,Cardioprotective effect of a cyclic azapeptide ligand of CD36 against ischemia-reperfusion damage and dysfunction in mice,"$726,750 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2021/10/01,"azapeptide, CD36, ischemia-reperfusion",0,zN/A,0,zN/A,4847,2377
"Marliss, Errol B",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,200809MOP,"Nutrition, Food & Health",Mechanisms of insulin resistance of protein metabolism in human obesity,"$820,467 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/04/01,"insulin resistance, protein metabolism, obesity",0,zN/A,0,zN/A,4848,2378
"Marra, Carlo A",University of British Columbia,British Columbia,Catalyst Grant: Post Market Drug Safety and Effectiveness,200910DSA,Catalyst Grant: Post Market Drug Safety and Effectiveness,The Feasibility of Using Community Pharmacists in Focused Surveillance for Drug Safety and Effectiveness: A Case Study of Anti-Hypertensives in Pregnancy,"$96,684 ","$2,163 ",1 yr 0 mth ,Population and Public Health,3/1/2010,"pharmacists, surveillance, anti-hypertensives",0,zN/A,0,zN/A,4849,2379
"Marra, Marco A",University of British Columbia,British Columbia,Project Grant,202109PJT,Genomics: Systems and computational biology,Discovery of HPV-associated genomic alterations in cervical cancer,"$420,751 ",$0 ,3 yrs 0 mth ,Cancer Research,2022/04/01,"HPV, genomic alterations, cervical cancer",0,zN/A,0,zN/A,4850,2380
"Marras, Connie",University Health Network (Toronto),Ontario,Operating Grant,200809MOP,Health Services Evaluation and Interventions Research - B,Exploring the disease-modifying potential of calcium channel blockers in Parkinson's disease: Using population-based administrative data to inform clinical trials.,"$65,453 ",$0 ,2 yrs 0 mth ,Health Services and Policy Research,2009/04/01,"calcium channel blockers, Parkinson's disease, clinical trials",0,zN/A,0,zN/A,4851,2381
"Marras, Connie",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Predicting outcome in Parkinson's disease cognitive impairment,"$584,214 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2013/04/01,"Parkinson's, cognitive impairment, prediction",0,zN/A,0,zN/A,4852,2381
"Marras, Connie",University Health Network (Toronto),Ontario,Project Grant,201809PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Non-steroidal anti-inflammatory drugs and Parkinson's disease progression,"$75,000 ",$0 ,1 yr 6 mths ,"Neurosciences, Mental Health and Addiction",2019/04/01,"non-steroidal anti-inflammatory, Parkinson's disease, progression",0,zN/A,0,zN/A,4853,2381
"Marrie, Ruth Ann",University of Manitoba,Manitoba,Operating Grant,201109MOP,Health Services Evaluation & Interventions Research 2,"Critical Illness in Inflammatory Bowel Disease, Multiple Sclerosis and Rheumatoid Arthritis","$183,622 ",$0 ,3 yrs 0 mth ,Infection and Immunity,2012/04/01,"Inflammatory Bowel Disease, Multiple Sclerosis, Rheumatoid Arthritis",0,zN/A,0,zN/A,4854,2382
"Marsden, Philip A",University of Toronto,Ontario,Operating Grant,200809MOP,Cardiovascular System - C: Vascular System,Regulation of endothelial gene expression by epigenetic signalling pathways,"$758,085 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/04/01,"endothelial, gene expression, epigenetic",0,zN/A,0,zN/A,4855,2383
"Marsden, Philip A",University of Toronto,Ontario,Operating Grant,201405MOP,Cardiovascular System - C: Vascular System,Regulation of endothelial gene expression by epigenetic signalling pathways,"$100,000 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2014/10/01,"endothelial, gene expression, epigenetic",0,zN/A,0,zN/A,4856,2383
"Marsden, Philip A",University of Toronto,Ontario,Operating Grant,201503MOP,Cardiovascular System - C: Vascular System,Regulation of endothelial gene expression by epigenetic signalling pathways,"$603,900 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2015/10/01,"endothelial, gene expression, epigenetic",0,zN/A,0,zN/A,4857,2383
"Marsh, David C",Laurentian University of Sudbury,Ontario,Catalyst Grant: Indigenous Approaches to Wellness Research,201710IAW,Indigenous Approaches to Wellness Research,Evaluating the integration of Indigenous Healing with principals of Seeking safety for treatment of Indigenous patients with a history of trauma and active substance use disorder,"$150,000 ",$0 ,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",1/1/2018,"Indigenous healing, seeking safety, substance use disorder",0,zN/A,0,zN/A,4858,2384
"Marshall, Aaron J",University of Manitoba,Manitoba,Operating Grant,200809MOP,Immunology & Transplantation,Regulation of B lymphocyte activation and migration during the germinal center response,"$669,630 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2009/04/01,"B lymphocyte, activation, migration",1,zN/A,0,zN/A,4859,2385
"Marshall, Aaron J",University of Manitoba,Manitoba,Operating Grant,201309MOP,Immunology & Transplantation,Phosphoinositide-dependent signalling pathways controlling B lymphocyte activation,"$813,660 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2014/04/01,"Phosphoinositide, signalling, B lymphocyte",0,zN/A,0,zN/A,4860,2385
"Marshall, Aaron J",University of Manitoba,Manitoba,Project Grant,201809PJT,Immunology & Transplantation,Control of B cell metabolism by the PI3K pathway: applications for autoimmunity,"$956,250 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2019/04/01,"B cell, PI3K pathway, autoimmunity",0,zN/A,0,zN/A,4861,2385
"Marshall, Aaron J",University of Manitoba,Manitoba,Project Grant,202403PJT,Immunology,PI3K-dependant metabolic reprogramming in B lymphocytes: roles in protective and pathologic immune functions,"$1,151,326 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2024/10/01,"PI3K, metabolic reprogramming, B lymphocytes",0,zN/A,0,zN/A,4862,2385
"Marshall, Jean S",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,200809MOP,Cell Biology & Mechanisms of Disease,Mechanisms of mast cell-dependent tumor growth inhibition.,"$781,265 ",$0 ,5 yrs 0 mth ,Cancer Research,2009/04/01,"mast cell, tumor, growth",0,zN/A,0,zN/A,4863,2386
"Marshall, Jean S",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,201103MOP,Immunology & Transplantation,The role of mast cells in early immunity to viral infection,"$743,620 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2011/10/01,"mast cells, immunity, viral infection",0,zN/A,0,zN/A,4864,2386
"Marshall, Jean S",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,201403MOP,Immunology & Transplantation,Mast cell mobilisation of effective immune responses,"$800,235 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2014/10/01,"mast cells, immune responses, mobilisation",0,zN/A,0,zN/A,4865,2386
"Marshall, Jean S",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202003PJT,Immunology & Transplantation,Manipulating mast cells to modify the interferon and inflammatory responses to viral infection,"$937,126 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2020/10/01,"mast cells, interferon, viral infection",0,zN/A,0,zN/A,4866,2386
"Marshall, Jean S",Dalhousie University (Nova Scotia),Nova Scotia,STBBI Research in Canada: Beyond HIV/AIDS and Hepatitis C - Chlamydia,202405SR5,STBBI Research in Canada: Beyond HIV/AIDS and Hepatitis C (Catalyst),Enhancing effective local immune responses to repeated Chlamydia infection,"$99,541 ",$0 ,1 yr 0 mth ,Infection and Immunity,4/1/2024,"immune response, Chlamydia, infection",0,zN/A,0,zN/A,4867,2386
"Marshall, John C",Unity Health Toronto,Ontario,Operating Grant,200809MOP,Immunology & Transplantation,"Characterization of a novel, caspase-8 dependent survival pathway in inflammatory neutrophils","$501,135 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2009/04/01,"caspase-8, survival pathway, neutrophils",1,zN/A,0,zN/A,4868,2387
"Marshall, John C",Unity Health Toronto,Ontario,Therapeutic approaches for H1N1 complications in the intensive care unit,200912FLH,HINI in ICU,Collaborative H1N1 Adjuvant Treatment (CHAT) Pilot Trial,"$200,000 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2/1/2010,"H1N1, Adjuvant, Trial",0,zN/A,0,zN/A,4869,2387
"Marshall, John C",Unity Health Toronto,Ontario,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Variants,202104GA1,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Variants,The Randomized Embedded Multifactorial Adaptive Platform Trial in Community-acquired Pneumonia (REMAP-CAP):  Building an International Research Response to Variant COVID-19,"$1,000,000 ",$0 ,1 yr 0 mth ,Infection and Immunity,6/1/2021,"Randomized, Adaptive, Pneumonia",0,zN/A,0,zN/A,4870,2387
"Marshall, Shawn C",Ottawa Hospital Research Institute,Ontario,Operating Grant,201309MOP,Social Dimensions in Aging,Candrive Prospective Older Driver Study,"$1,386,733 ",$0 ,3 yrs 0 mth ,Aging,2014/04/01,"Older driver, study, candrive",0,zN/A,0,zN/A,4871,2388
"Marsolais, David",Universite Laval,Quebec,Operating Grant,201203MOP,Respiratory System,Probing for sphingosine-1-phosphate signalling in asthma,"$564,775 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2012/10/01,"sphingosine-1-phosphate, signalling, asthma",0,zN/A,0,zN/A,4872,2389
"Martel, Guillaume",Ottawa Hospital Research Institute,Ontario,Project Grant,201709PJT,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",PRICE 2: A phase 3 randomized controlled trial of phlebotomy resulting in controlled hypovolemia to prevent blood loss in major hepatic resections,"$497,252 ",$0 ,4 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2018/04/01,"phlebotomy, hypovolemia, hepatic resections",0,zN/A,0,zN/A,4873,2390
"Martel, Guillaume",Ottawa Hospital Research Institute,Ontario,Project Grant,202203PJT,Health Services Evaluation & Interventions Research,A Delphi survey to generate consensus among international experts on elements of an intraoperative transfusion protocol,"$72,676 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2022/10/01,"Delphi, transfusion, protocol",0,zN/A,0,zN/A,4874,2390
"Martel, Marc Olivier",McGill University,Quebec,Project Grant,201709PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Psychological and biological determinants of opioid craving among chronic pain patients prescribed opioid therapy,"$302,174 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2018/04/01,"opioid, craving, pain",0,zN/A,0,zN/A,4875,2391
"Martel, Marc Olivier",McGill University,Quebec,Project Grant,202003PJT,Behavioural Sciences - B-2,Psychological and neurobiological determinants of opioid-related problems and opioid tapering outcomes among patients with chronic pain prescribed long-term opioid therapy,"$504,901 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2020/10/01,"psychological, neurobiological, opioid",0,zN/A,0,zN/A,4876,2391
"Martin, Alberto",University of Toronto,Ontario,Operating Grant,201109MOP,Immunology & Transplantation,The mechanisms of secondary antibody diversification processes,"$774,100 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2012/04/01,"antibody, diversification, mechanisms",0,zN/A,0,zN/A,4877,2392
"Martin, Alberto",University of Toronto,Ontario,"Environments, Genes and Chronic Disease",201509ECD,"Other: Programmatic Grants in Environments, Genes and Chronic Disease",The impact of the gut microbiome and environment on the development of colorectal cancer,"$2,000,000 ",$0 ,5 yrs 0 mth ,Infection and Immunity,11/1/2015,"gut microbiome, colorectal cancer, environment",1,zN/A,0,zN/A,4878,2392
"Martin, Alberto",University of Toronto,Ontario,Project Grant,201709PJT,Biochemistry & Molecular Biology - B,Modeling antibody diversification processes through Cas9-mediated mutagenesis,"$780,300 ",$0 ,5 yrs 0 mth ,Genetics,2018/04/01,"antibody, Cas9, mutagenesis",0,zN/A,0,zN/A,4879,2392
"Martin, Alberto",University of Toronto,Ontario,Project Grant,202109PJT,Immunology & Transplantation,Characterizing FAM72 in adaptive and innate immunity,"$902,700 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2022/04/01,"FAM72, immunity, characterization",0,zN/A,0,zN/A,4880,2392
"Martin, Alberto",University of Toronto,Ontario,Project Grant,202303PJT,Immunology,Characterizing the skeletal muscle DUPD1 in inflammatory diseases,"$860,626 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2023/10/01,"skeletal muscle, DUPD1, inflammatory diseases",1,zN/A,0,zN/A,4881,2392
"Martin, James G",McGill University,Quebec,Operating Grant,200809MOP,Respiratory System,The role of the epidermal growth factor receptor and its ligands in allergen-driven airway remodelling,"$770,088 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/04/01,"epidermal growth factor receptor, ligands, airway remodelling",0,zN/A,0,zN/A,4882,2393
"Martin, James G",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201209MOP,Respiratory System,Novel roles for cysteinyl leukotrienes in oxidant induced airway injury from chlorine,"$624,809 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2013/04/01,"cysteinyl leukotrienes, oxidant, airway injury",0,zN/A,0,zN/A,4883,2393
"Martin, James G",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201709PJT,Respiratory System,The role of eicosanoids in airway responses to oxidative injury from chlorine,"$707,625 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2018/04/01,"eicosanoids, airway, oxidative injury",0,zN/A,0,zN/A,4884,2393
"Martin, James G",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Respiratory System,Determinants of susceptibility to influenza infection in pregnant mice,"$768,825 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2023/04/01,"influenza, infection, pregnant mice",0,zN/A,0,zN/A,4885,2393
"Martin, James G",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202303PJT,Respiratory System,Understanding the Mechanistic Basis of Irritant-Induced Airway Dysfunction,"$562,275 ",$0 ,4 yrs 0 mth ,Circulatory and Respiratory Health,2023/10/01,"Irritant, Airway, Dysfunction",0,zN/A,0,zN/A,4886,2393
"Martin, Loren J",University of Toronto,Ontario,Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Learning mechanisms of pain and pain relief,"$730,576 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/10/01,"pain, relief, learning",0,zN/A,0,zN/A,4887,2394
"Martin, Loren J",University of Toronto,Ontario,Project Grant,202210PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Social control of pain,"$100,000 ",$0 ,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",2023/03/01,"social, control, pain",0,zN/A,0,zN/A,4888,2394
"Martin, Loren J",University of Toronto,Ontario,Project Grant,202303PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Social control of pain circuits,"$1,044,226 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2023/10/01,"social control, pain, circuits",0,zN/A,0,zN/A,4889,2394
"Martin, W.R. Wayne",University of Alberta,Alberta,Operating Grant,200809MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Biomarkers of Disease Progression in Parkinsonism:  Magnetic Resonance Imaging and Spectroscopy,"$905,080 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2009/04/01,"Biomarkers, Magnetic Resonance Imaging, Spectroscopy",0,zN/A,0,zN/A,4890,2395
"Martin, W.R. Wayne",University of Alberta,Alberta,Operating Grant,200809MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Biomarkers of Disease Progression in Parkinsonism:  Magnetic Resonance Imaging and Spectroscopy,"$905,080 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2009/04/01,"Biomarkers, Magnetic Resonance Imaging, Spectroscopy",0,zN/A,0,zN/A,4891,2395
"Martinez, Marina C",University of Calgary,Alberta,Operating Grant,201503MOP,Movement & Exercise,Compensatory role of the motor cortex in the recovery of locomotion after spinal cord injury,"$745,953 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2015/10/01,"motor cortex, locomotion, spinal cord injury",1,zN/A,0,zN/A,4897,2396
"Martinez, Marina C",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Project Grant,202104PJT,Movement & Exercise,Corticospinal mechanisms of locomotor recovery after spinal cord injury,"$807,076 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/10/01,"corticospinal, locomotor, spinal cord",0,zN/A,0,zN/A,4898,2396
"Martinez-Trujillo, Julio C",McGill University,Quebec,Operating Grant,201009MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Mapping the microcircuits of attention in the primate brain,"$516,533 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/04/01,"microcircuits, attention, primate brain",0,zN/A,0,zN/A,4892,2397
"Martinez-Trujillo, Julio C",McGill University,Quebec,Operating Grant,201203MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Neural mechanisms underlying working memory in the primate visual dorsal pathway,"$609,756 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2012/10/01,"neural, working memory, primate visual",0,zN/A,0,zN/A,4893,2397
"Martinez-Trujillo, Julio C",Western University (Ontario),Ontario,Operating Grant,201503MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Mapping the microcircuits of attention in the primate brain,"$981,319 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2015/10/01,"microcircuits, attention, primate brain",0,zN/A,0,zN/A,4894,2397
"Martinez-Trujillo, Julio C",Western University (Ontario),Ontario,Project Grant,201809PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Reverse engineering working memory circuits in the primate brain: Implications for the study of memory deficits.,"$967,725 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/04/01,"reverse engineering, working memory, primate brain",0,zN/A,0,zN/A,4895,2397
"Martinez-Trujillo, Julio C",Western University (Ontario),Ontario,Project Grant,202203PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neural substrates of spatial navigation in the Hippocampus of the freely moving marmoset,"$967,726 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2022/10/01,"Neural substrates, spatial navigation, hippocampus",0,zN/A,0,zN/A,4896,2397
"Martino, Rosemary",University of Toronto,Ontario,Operating Grant,200809MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health - A","Psychometric testing of a new scale measuring medical outcomes of dysphagia (MOD) in adult patients with swallowing disorders secondary to stroke, cervical spine abnormalities and head and neck cancer","$430,461 ",$0 ,3 yrs 0 mth ,Aging,2009/04/01,"psychometric, dysphagia, swallowing disorders",0,zN/A,0,zN/A,4899,2398
"Martino, Rosemary",University Health Network (Toronto),Ontario,Operating Grant,201009MOP,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Screening for Dysphagia in Patients following Prolonged Intubation: Validation of the Toronto Bedside Swallowing Screening Test (TOR-BSSTe),"$212,077 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2011/04/01,"Dysphagia, Intubation, Swallowing",0,zN/A,0,zN/A,4900,2398
"Martino, Tami",University of Guelph,Ontario,Operating Grant,201109MOP,Cardiovascular System - B: Heart and Circulation,Circadian Control of Cardiac Remodeling,"$335,419 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"Circadian, Cardiac, Remodeling",0,zN/A,0,zN/A,4901,2399
"Martino, Tami",University of Guelph,Ontario,Project Grant,201709PJT,Cardiovascular System - B: Heart and Circulation,Novel Drug Targeting of the Circadian Factor REV-ERB Limits Infarct Expansion and Remodelling After Myocardial Ischemia/Reperfusion,"$646,425 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2018/04/01,"REV-ERB, Myocardial Ischemia, Infarct",0,zN/A,0,zN/A,4902,2399
"Marzban, Lucy",University of British Columbia,British Columbia,Operating Grant,200903MOP,Metabolism,Molecular mechanisms of islet amyloid mediated beta cell death.,"$376,515 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"islet amyloid, beta cell, death",0,zN/A,0,zN/A,4903,2400
"Marzban, Lucy",University of British Columbia,British Columbia,Operating Grant,200903MOP,Metabolism,Molecular mechanisms of islet amyloid mediated beta cell death.,"$376,515 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"islet amyloid, beta cell, death",0,zN/A,0,zN/A,4904,2400
"Marzban, Lucy",University of British Columbia,British Columbia,Operating Grant,201209MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Molecular mechanisms of islet amyloid mediated beta cell death,"$627,000 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2013/04/01,"islet amyloid, beta cell, molecular mechanisms",0,zN/A,0,zN/A,4905,2400
