Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,grant_id,researcher_id
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant,200909MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Mechanisms of intestinal lipoprotein overproduction in insulin resistant states,"$813,990 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2010/04/01,"intestinal lipoprotein, insulin resistance, overproduction",0,zN/A,0,zN/A,78,17
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201010MOP,Social & Developmental Aspects of Children's & Youth's Health,CALIPER: Closing the Gaps in Pediatric Reference Intervals,"$100,000 ",$0 ,1 yr 0 mth ,"Human Development, Child and Youth Health",2011/03/01,"pediatric, reference intervals, gaps",0,zN/A,0,zN/A,79,17
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201103MOP,Social & Developmental Aspects of Children's & Youth's Health,CALIPER: A Canada-Wide Initiative to Close the Critical Gaps in Pediatric Reference Intervals,"$789,727 ",$0 ,4 yrs 0 mth ,"Human Development, Child and Youth Health",2011/10/01,"pediatric, reference intervals, gaps",0,zN/A,0,zN/A,80,17
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,China-Canada Joint Health Research Initiative,201103CCI,China-Canada Joint Health Research Initiative - Grants Program,Molecular Mechanisms of Hepatic and Intestinal Insulin Resistance: Role of Mesenteric Fat and Ceramides,"$225,000 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",1/1/2012,"Insulin resistance, Ceramides, Hepatic",0,zN/A,0,zN/A,81,17
"Adesida, Adetola B",University of Alberta,Alberta,Project Grant,201803PJT,Clinical Investigation - B 2,Precision Engineering of Cartilage Grafts for Nasal Reconstruction,"$478,126 ",$0 ,3 yrs 0 mth ,Cancer Research,2018/10/01,"Cartilage, Reconstruction, Grafts",1,Stemcellago Inc.,1,C-suite,0,18
"Adesida, Adetola B",University of Alberta,Alberta,Operating Grant,201209MOP,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Knee Meniscus Reconstruction Using Mesenchymal Stem Cells,"$696,183 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2013/04/01,"Knee, Meniscus, Stem Cells",0,zN/A,0,zN/A,82,18
"Adesida, Adetola B",University of Alberta,Alberta,Project Grant,202209PJT,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Towards the development of clinically implantable bioengineered human nasal cartilage grafts,"$722,925 ",$0 ,5 yrs 0 mth ,Aging,2023/04/01,"implantable, bioengineered, nasal cartilage",0,zN/A,0,zN/A,83,18
"Advani, Andrew",Unity Health Toronto,Ontario,Operating Grant,200903MOP,Experimental Medicine,Exploring the therapeutic potential of SDF-1 modulation in chronic kidney disease.,"$322,652 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"SDF-1, modulation, kidney disease",0,zN/A,0,zN/A,84,19
"Advani, Andrew",Unity Health Toronto,Ontario,Operating Grant,200903MOP,Experimental Medicine,Exploring the therapeutic potential of SDF-1 modulation in chronic kidney disease.,"$322,652 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"SDF-1, modulation, kidney disease",0,zN/A,0,zN/A,85,19
"Advani, Andrew",Unity Health Toronto,Ontario,Operating Grant,201309MOP,"Hematology, Digestive Disease & Kidney",JAK2 and podocytes in diabetic nephropathy.,"$672,439 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2014/04/01,"JAK2, podocytes, nephropathy",0,zN/A,0,zN/A,86,19
"Advani, Andrew",Unity Health Toronto,Ontario,Project Grant,201903PJT,"Hematology, Digestive Disease & Kidney",Reshaping the epigenetic landscape to improve outcomes after acute kidney injury,"$929,476 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2019/10/01,"epigenetic, kidney injury, outcomes",0,zN/A,0,zN/A,87,19
"Advani, Andrew",Unity Health Toronto,Ontario,Project Grant,202203PJT,"Hematology, Digestive Disease & Kidney",Taking the Sting out of acute kidney injury in diabetes,"$1,040,400 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2022/10/01,"kidney injury, diabetes, sting",0,zN/A,0,zN/A,88,19
