Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,outcome_data,last_updated,title_keywords
"Foster, F. Stuart","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201209MOP,Medical Physics & Imaging,Multifrequency Ultrasound: Technology and Applications,"$414,316",$0,,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; IMAGING; CANCER,2013-04-01,2016-03-31,0,,,"Ultrasound, Multifrequency"
"Foster, Paula J",Western University (Ontario),Ontario,Project Grant,202104PJT,Medical Physics & Imaging,Development of Magnetic Particle Imaging for In Vivo Cell Tracking,"$535,500",$0,,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging; cell therapy,2021-10-01,2026-09-30,0,,,"Magnetic Particle Imaging, In Vivo, Cell Tracking"
"Foster, Paula J",Western University (Ontario),Ontario,Operating Grant,201303MOP,Cancer Progression & Therapeutics,In Vivo Investigation of Mechanisms of Brain Metastasis and Metastatic Recurrence,"$381,453",$0,,,3 yrs 0 mth ,Cancer Research,BREAST CANCER; BRAIN TUMORS (INCL. RETINAL TUMORS); CANCER; IMAGING,2013-10-01,2016-09-30,0,,,"brain, metastasis, recurrence"
"Fowke, Keith R",University of Manitoba,Manitoba,Operating Grant - Priority Announcement: Canadian HIV Vaccine Initiative,200903HVI,Virology & Viral Pathogenesis,The effect of the CD4 pathogenicity island on HIV susceptibility and disease progression,"$663,050",$0,,,5 yrs 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; GENETICS,2009-10-01,2014-09-30,0,,,"CD4, HIV, pathogenicity"
"Fradet, Yves",Universite Laval,Quebec,Operating Grant,200809MOP,Cancer Biology & Therapeutics,Optimization of immunotherapy of bladder cancer: response to various non-specific immunomodulators,"$322,690",$0,,,3 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; IMMUNOLOGY-TRANSPLANTATION,2009-04-01,2012-03-31,1,,,"immunotherapy, bladder cancer, immunomodulators"
"Fradet-Turcotte, Amelie",Universite Laval,Quebec,Project Grant,202109PJT,Cancer Biology & Therapeutics 2,Unraveling the molecular mechanisms that promote replication stress and resistance to chemoradiation in oropharyngeal cancer caused by human papillomavirus,"$891,225",$0,,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Immunology and Infection-Virology; Molecular, Cellular and Systems Biology-Cell Signaling",2022-04-01,2027-03-31,0,,,"replication stress, chemoradiation, oropharyngeal cancer"
"Fradette, Julie",Universite Laval,Quebec,Project Grant,202109PJT,Biomedical Engineering,Engineering bioactive dressings from mesenchymal cells to enhance healing of irradiated skin wounds,"$837,675",$0,,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Molecular, Cellular and Systems Biology-Cell Biology and Physiology",2022-04-01,2027-03-31,0,,,"bioactive, dressings, skin"
"Fradette, Julie",Universite Laval,Quebec,Operating Grant,201009MOP,Biomedical Engineering,Tissu adipeux humain reconstruit par genie tissulaire: substituts endothelialises et compatibles avec la clinique,"$692,633",$0,,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; SKIN AND SUBCUTANEOUS TISSUS; CELL BIOLOGY; MOLECULAR BIOLOGY",2011-04-01,2016-03-31,0,,,"tissu adipeux, génie tissulaire, substituts endothelialisés"
"Frampton, John P",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202203PJT,Biomedical Engineering 2,Collagen Fiber Scaffolds for Emergency Treatment of Corneal Injury,"$952,426",$0,,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Biomedical Engineering-Regenerative Medicine and Tissue Engineering",2022-10-01,2027-09-30,0,,,"Collagen, Fiber, Corneal"
"Franklin, Daniel",University of Toronto,Ontario,Project Grant,202403PJT,Biomedical Engineering,Advancing Pulse Oximetry Accuracy and Equity through Wearable Spectroscopy Devices,"$879,750",$0,,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2024-10-01,2029-09-30,0,,,"Pulse Oximetry, Spectroscopy, Wearable"
"Frayne, Richard",University of Calgary,Alberta,Operating Grant,201003MOP,Medical Physics & Imaging,Imaging of Small Vessel Disease in Dementia,"$815,081",$0,,,5 yrs 0 mth ,Circulatory and Respiratory Health,"STROKE, HEART FAILURE; ALZHEIMER'S DISEASE; CARDIOVASCULAR; AGING",2010-10-01,2015-06-30,0,,,"Imaging, Small Vessel Disease, Dementia"
"Freywald, Andrew",University of Saskatchewan,Saskatchewan,Project Grant - PA: Breast Cancer Research,202309PLL,Cancer Progression & Therapeutics 2,Targeting the EGFR/EphA2 crosstalk in triple negative breast cancer,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Molecular, Cellular and Systems Biology-Systems Biology",2024-03-01,2025-02-28,0,,,"EGFR, EphA2, breast cancer"
"Freywald, Andrew",University of Saskatchewan,Saskatchewan,Project Grant,201709PJT,Cancer Progression & Therapeutics,Targeting the EphA2 receptor in triple-negative breast cancer,"$558,452",$0,,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2018-04-01,2022-03-31,0,,,"EphA2, receptor, breast cancer"
"Funnell, W. Robert J.",McGill University,Quebec,Project Grant,202303PJT,Biomedical Engineering,Modelling and machine learning for newborn hearing screening,"$876,690",$0,,,5 yrs 0 mth ,"Human Development, Child and Youth Health","Neurosciences-Sensory Systems (including visual, auditory and pain); Methods Development and Modelling-Computational Biology; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Computational biology is here taken to include, for example, mathematical modelling of biomechanics",2023-10-01,2028-09-30,0,,,"modelling, machine learning, hearing screening"
"Gagnon, Marie-Pierre",Universite Laval,Quebec,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,"Personnaliser CONCERTO: L'experience patient optimisee pour des soins integres, coordonnes et efficients","$199,329",$0,,,2 yrs 0 mth ,Health Services and Policy Research,HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; POPULATION HEALTH,2017-09-01,2019-08-31,0,,,"PERSONNALISATION, SOINS, COORDINATION"
"Gaiti, Federico",University Health Network (Toronto),Ontario,Project Grant,202209PJT,Cancer Biology & Therapeutics,Dissecting the determinants and dynamics of cellular states promoting glioma evolution,"$1,040,400",$0,,,5 yrs 0 mth ,Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); CANCER THERAPY GENERAL; CANCER; MOLECULAR BIOLOGY,2024-05-01,2027-04-30,0,,,"glioma, cellular states, evolution"
"Galipeau, Jacques",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,200903MOP,Cancer Progression & Therapeutics,A study of novel anti-cancer immunomodulatory fusion proteins and transgenic cell therapy,"$1,147,574",$0,,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2009-10-01,2016-09-30,8,,,"anti-cancer, immunomodulatory, fusion proteins"
"Gallinger, Steven","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Project Grant,202109PJT,Cancer Progression & Therapeutics,Patient derived organoids as a platform for inferring treatment response in pancreatic cancer patients,"$975,375",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,2022-04-01,2027-03-31,0,,,"organoids, pancreatic cancer, treatment response"
"Gallo, Marco",University of Calgary,Alberta,Project Grant - Priority Announcement: Pediatric Cancer Research,202203PDI,Cancer Progression & Therapeutics 2,Recurrent 3D genome features in PFA ependymoma,"$390,000",$0,,,1 yr 5 mths ,Cancer Research,Cancer-Pediatric Cancer; Cancer-Cancer Progression and Metastasis; Cancer-Mechanisms of Carcinogenesis,2022-10-01,2024-03-31,0,,,"3D genome, PFA ependymoma, recurrent"
"Gamper, Armin",University of Alberta,Alberta,Project Grant,201803PJT,Cancer Biology & Therapeutics,Cancer Therapy exploiting Conditional Synthetic Lethality based on Genotoxic Stress levels,"$918,000",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Mechanisms of Carcinogenesis,2018-10-01,2023-09-30,0,,,"Cancer, Synthetic Lethality, Genotoxic Stress"
"Gangloff, Anne",Universite Laval,Quebec,Project Grant,201903PJT,Cancer Progression & Therapeutics 2,Multi-pathway cholesterol depletion on top of FOLFIRINOX in newly diagnosed metastatic pancreatic adenocarcinoma: a feasibility and proof-of-concept study,"$153,000",$0,,,2 yrs 0 mth ,Cancer Research,"Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",2019-10-01,2021-09-30,0,,,"cholesterol depletion, FOLFIRINOX, pancreatic adenocarcinoma"
"Garcia, Damien",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Operating Grant,201003MOP,Medical Physics & Imaging,Echocardiographic assessment of global and regional left ventricular function using an original modality of coupled wall-fluid dynamics mapping.,"$358,987",$0,,,5 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; IMAGING; CARDIOVASCULAR,2010-10-01,2015-09-30,0,,,"echocardiographic, ventricular, wall-fluid"
"Gariepy, Jean",University Health Network (Toronto),Ontario,Operating Grant - PA: Cancer Research (bridge funding),200903IC1,Cancer Biology & Therapeutics,Targeted imaging and therapy of breast cancers using Tn antigen-specific DNA aptamers,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,BREAST CANCER; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; DRUG RESEARCH,2009-10-01,2010-09-30,1,,,"imaging, DNA aptamers, breast cancers"
"Garnis, Cathie",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cancer Progression & Therapeutics,Deciphering and reconstituting genetic events in oral cancer progression,"$484,436",$0,,,4 yrs 0 mth ,Cancer Research,NEOPLASMS; MOLECULAR BIOLOGY; CANCER,2010-10-01,2014-09-30,0,,,"genetic, oral cancer, reconstitution"
"Garnis, Cathie",University of British Columbia,British Columbia,Operating Grant,201309MOP,Cancer Progression & Therapeutics,Evaluation of circulating small RNA markers as simple blood test biomarkers for detecting and predicting outcomes in oral cancer,"$491,649",$0,,,3 yrs 0 mth ,Cancer Research,DENTAL DISEASE (INCL. ORAL BIOLOGY); CANCER; MOLECULAR BIOLOGY,2014-04-01,2017-03-31,0,,,"small RNA, biomarkers, oral cancer"
"Garzia, Livia",Research Institute of the McGill University Health Centre,Quebec,Project Grant - Priority Announcement: Pediatric Cancer Research,202209PDI,Cancer Progression & Therapeutics,Epigenetic mechanisms of osteosarcoma pathogenesis and progression.,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Pediatric Cancer,2023-03-01,2024-02-29,0,,,"epigenetic, osteosarcoma, mechanisms"
"Garzia, Livia",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201809PJT,Cancer Progression & Therapeutics,Genetic drivers of medulloblastoma metastasis,"$665,550",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Pediatric Cancer; Cancer-Cancer Progression and Metastasis,2019-04-01,2024-03-31,0,,,"genetic, medulloblastoma, metastasis"
"Gascoyne, Randy D",University of British Columbia,British Columbia,Operating Grant,201009MOP,Cancer Progression & Therapeutics 2,Genetic mechanisms underlying immune escape in malignant lymphomas,"$368,667",$0,,,3 yrs 0 mth ,Cancer Research,NEOPLASMS; BLOOD; CANCER; HEALTH RESEARCH,2011-04-01,2014-03-31,1,,,"genetic, immune escape, lymphomas"
"Gatignol, Anne",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Development of small interfering RNAs (siRNAs) for the treatment of Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2),"$360,377",$0,,,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; VIROLOGY; DRUG RESEARCH,2020-06-01,2021-05-31,0,,,"siRNAs, RNA, SARS-CoV-2"
"Gendron, Fernand-Pierre",Universite de Sherbrooke,Quebec,Operating Grant,201209MOP,Cancer Progression & Therapeutics 2,Regulation and role of P2Y6 nucleotide receptor in colorectal cancer,"$647,299",$0,,,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",GASTRO-INTESTINAL DISEASE; GASTRO-INTESTINAL CANCER; CELL BIOLOGY; MOLECULAR BIOLOGY,2013-04-01,2018-03-31,0,,,"P2Y6, nucleotide receptor, colorectal cancer"
"Germain, Lucie",Universite Laval,Quebec,Operating Grant,200909MOP,Biomedical Engineering,Cornee reconstruite in vitro par genie tissulaire pour des applications experimentales et cliniques,"$860,972",$0,,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","DISEASES AFFECTING SPEECH/VISION/HEARING; INJURY, REGENERATION; CELL BIOLOGY; MOLECULAR BIOLOGY",2010-04-01,2015-03-31,0,,,"cornee, reconstruction, genies tissulaires"
"Gette, Matthias",University of Alberta,Alberta,Operating Grant: COVID-19 - Therapeutics,202002OV3,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Development and Evaluation of SARS-CoV-2 RNA Polymerase Inhibitors,"$675,000",$0,,,2 yrs 0 mth ,Infection and Immunity,VIRAL; VIROLOGY; BIOCHEMISTRY,2020-02-01,2022-01-31,0,,,"SARS-CoV-2, RNA Polymerase, Inhibitors"
