Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months
"Haas, Kurt",University of British Columbia,British Columbia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"Contribution of genetic variation of ACE2, the receptor for SARS-CoV-2, to COVID-19 disease expression and development of therapeutics","$172,414",$0,,,1 yr 0 mth 
"Too, Catherine K",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant - PA: Regional Partnership Program - Nova Scotia,201203RNS,Cancer Progression & Therapeutics,The Role of Carboxypeptidase-D in Prostate Cancer Growth and Progression,"$174,874",$0,,,3 yrs 0 mth 
"Mcmillen, David R",University of Toronto,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Development of a yeast-based immunoassay for SARS-CoV-2 serologic testing amenable to inexpensive local production,"$179,140",$0,,,1 yr 0 mth 
"Boutopoulos, Christos",CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont,Quebec,Project Grant,202109PJT,Medical Physics & Imaging,An OCT-controlled system for precise and reproducible subretinal drug injection in mice,"$179,775",$0,,,2 yrs 6 mths 
"Pineau, Joelle",McGill University,Quebec,Operating Grant,200903MOP,Biomedical Engineering,Adaptive stimulation strategies for the treatment of epileptic syndromes in vivo,"$180,000",$0,,,3 yrs 0 mth 
"Labelle, Hubert B","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Quebec,Operating Grant,201003MOP,Biomedical Engineering,Towards a 3-D classification of adolescent idiopathic scoliosis,"$184,598",$0,,,3 yrs 0 mth 
"Valliant, John F",McMaster University,Ontario,Alternative Radiopharmaceuticals for Medical Imaging,200909MIS,Strategic Initiative: Medical Isotope committee,The formulation and clinical testing of I-123 Iodohippuran as an alternative to Tc-99m MAG3 for assessment of renal function in patients with kidney disease,"$189,472","$49,441",,,2 yrs 0 mth 
"Ivers, Noah M; Greenberg, Anna; Agarwal, Payal; Dennis, Cindy-Lee E; Vigod, Simone N",Women's College Hospital (Toronto),Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,"Automated screening, triage, and follow-up to facilitate proactive, personalized postpartum mental health treatment for new parents.","$189,943",$0,,,2 yrs 0 mth 
"Kaartinen, Mari T",McGill University,Quebec,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",201003NHG,"Inventions, Technologies, or High Risk Grants",Regulation of adipogenesis by osteocalcin,"$191,400",$0,,,2 yrs 0 mth 
"Wu, Robert; Alshaer, Hisham I; de Lara, Eyal; Gershon, Andrea S; Rudzicz, Frank",University Health Network (Toronto),Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,"Developing a wearable device and a mobile application that aids patients in self-management of their COPD by providing biofeedback, education and guidance","$197,304",$0,,,2 yrs 0 mth 
