Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months
"Lau, Angus Z","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,202010PJT,Medical Physics & Imaging,MR-Linac guided adaptive radiotherapy in glioblastoma multiforme,"$558,450",$0,,,5 yrs 0 mth 
"Li-Jessen, Yee Key Nicole",McGill University,Quebec,Project Grant,201709PJT,Biomedical Engineering,Patient-specific computational models of vocal recovery from phonosurgery,"$558,450",$0,,,5 yrs 0 mth 
"Freywald, Andrew; Price, Eric W; Vizeacoumar, Franco J",University of Saskatchewan,Saskatchewan,Project Grant,201709PJT,Cancer Progression & Therapeutics,Targeting the EphA2 receptor in triple-negative breast cancer,"$558,452",$0,,,4 yrs 0 mth 
"Buschmann, Michael D",Polytechnique Montréal,Quebec,Operating Grant,201103MOP,Biomedical Engineering,Mechanisms and optimisation of marrow stimulated cartilage repair,"$558,505",$0,,,5 yrs 0 mth 
"Jaffray, David A",University Health Network (Toronto),Ontario,Operating Grant,200909MOP,Medical Physics & Imaging,Engineering Gold Nanoparticle Radiosensitizers for Cancer Therapy,"$559,353",$0,,,5 yrs 0 mth 
"Minchinton, Andrew I",University of British Columbia,British Columbia,Operating Grant,200809MOP,Cancer Biology & Therapeutics,Hypoxia-selective radiation sensitizers,"$560,232",$0,,,4 yrs 0 mth 
"Jones, Steven","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant,201503MOP,Cancer Progression & Therapeutics,Modulators of epigenomic processes - a novel approach to cancer therapy,"$560,420",$0,,,4 yrs 0 mth 
"Zadeh, Gelareh; Hawkins, Cynthia E",University Health Network (Toronto),Ontario,Operating Grant,201203MOP,Cancer Progression & Therapeutics,Role of HK2 in Regulating Brain Tumor Metabolism and Angiogenesis,"$560,636",$0,,,4 yrs 0 mth 
"Wright, Graham A","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201209MOP,Medical Physics & Imaging,MR-Guided Revascularization of Occlusive Peripheral Arterial Disease,"$562,215",$0,,,5 yrs 0 mth 
"Bolduc, Stéphane",Université Laval,Quebec,Project Grant,201709PJT,Biomedical Engineering,Tissue Engineering of a functional Urethra for Autologous Reconstruction.,"$562,276",$0,,,4 yrs 0 mth 
"Shah, Sohrab P; Mcalpine, Jessica N",University of British Columbia,British Columbia,Operating Grant,201103MOP,Cancer Progression & Therapeutics 2,Genomic Disruption in High-Grade Serous Ovarian Carcinomas: Steady State or Continuous Drift?,"$563,330",$0,,,4 yrs 0 mth 
"Berman, Jason N",IWK Health Centre (Halifax),Nova Scotia,Operating Grant,201209MOP,Cancer Progression & Therapeutics,New insights into mast cell development and contribution to malignant progression - further exploitation of the zebrafish model,"$565,415",$0,,,4 yrs 0 mth 
"Aoudjit, Fawzi",Université Laval,Quebec,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Elucidating the role of alpha2beta1 integrin in the chemoresistance of acute lymphoblastic leukemia.,"$567,520",$0,,,5 yrs 0 mth 
"Lorimer, Ian Anthony J",Ottawa Hospital Research Institute,Ontario,Operating Grant,201403MOP,Cancer Progression & Therapeutics,Evaluation of protein kinase C iota as a target for glioblastoma therapy,"$567,572",$0,,,4 yrs 0 mth 
"Buttyan, Ralph",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Progression & Therapeutics,Paracrine Hedgehog as a Mediator of Castration Resistant Prostate Cancer,"$567,625",$0,,,5 yrs 0 mth 
"Tsakiridis, Theodoros",McMaster University,Ontario,Operating Grant,201303MOP,Cancer Biology & Therapeutics,A phase II study to investigate combination of chemo-radiotherapy with metformin in patients with Locally Advanced Non-Small Cell Lung Cancer (LA-NSCLC).,"$568,514",$0,,,4 yrs 0 mth 
"Cloutier, Guy; Tremblay, Cécile L",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Project Grant,201803PJT,Medical Physics & Imaging,Premature carotid atherosclerosis evolution and plaque vulnerability assessed by quantitative ultrasound biomarkers in HIV-infected individuals,"$569,926",$0,,,5 yrs 0 mth 
"Lee, Patrick W",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,201503MOP,Cancer Biology & Therapeutics,"The role of NMNAT2, a new p53 target gene, in feedback regulation of p53 function via the SIRT deacetylases.","$570,028",$0,,,4 yrs 0 mth 
"Tabori, Uri",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201203MOP,Cancer Progression & Therapeutics,Clinical and biological implications of monoallelic gene expression in pediatric malignant brain tumors.,"$573,543",$0,,,4 yrs 0 mth 
"Leung, Brendan M",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202203PJT,Cancer Progression & Therapeutics 2,Reconstructing the microbe-host interface in an advanced bioprinted co-culture system to study microbial community contributions to chemotherapy-induced oral mucositis,"$573,750",$0,,,5 yrs 0 mth 
"Litvinov, Ivan V",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Cancer Biology & Therapeutics 2,"Ectopic reactivation of normally silenced germ cell programs contributes to genomic instability, carcinogenesis and cancer progression in Cutaneous T-Cell Lymphomas (CTCL).","$573,750",$0,,,5 yrs 0 mth 
"Perreault, Sebastien","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Quebec,Project Grant,201903PJT,Cancer Progression & Therapeutics 2,A Phase 2 study of Trametinib for patients with pediatric glioma or plexiform neurofibroma with refractory tumor and activation of the MAPK/ERK pathwa,"$573,750",$0,,,5 yrs 0 mth 
"Chan, Steven M",University Health Network (Toronto),Ontario,Project Grant,202010PJT,Cancer Progression & Therapeutics,Repurposing Metformin to Target TET2 Mutation Driven Clonal Hematopoiesis and Malignant Transformation,"$573,752",$0,,,4 yrs 0 mth 
"Shoichet, Molly S",University of Toronto,Ontario,Project Grant,202109PJT,Biomedical Engineering,Vision Rescue: Transforming Therapeutics with Hydrogel Delivery,"$573,752",$0,,,4 yrs 0 mth 
"Hoesli, Corinne",McGill University,Quebec,Operating Grant,201503MOP,Biomedical Engineering,Endothelial progenitor cell adhesion to biomimetic vascular substitutes,"$576,284",$0,,,5 yrs 0 mth 
"Tang, Damu",McMaster University,Ontario,Project Grant,201809PJT,Cancer Progression & Therapeutics 2,"PCSK9, a novel contributor to the development of castration resistant prostate cancer","$577,574",$0,,,3 yrs 0 mth 
"Penninger, Josef",University of British Columbia,British Columbia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Mechanistic studies on ACE2 as a rational therapy for COVID-19,"$578,090",$0,,,1 yr 0 mth 
"Thiel, Alexander; Schirrmacher, Ralf",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Project Grant,201909PJT,Medical Physics & Imaging,Non-invasive PET imaging of tropomyosin related kinase B/C receptor in humans,"$579,106",$0,,,3 yrs 0 mth 
"Burns, Peter N","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201209MOP,Medical Physics & Imaging,Ultrasound Imaging Investigation of Resistance and Adaptation to Targeted Anti-cancer Therapeutics,"$579,409",$0,,,5 yrs 0 mth 
"So, Aaron",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Project Grant,201909PJT,Medical Physics & Imaging,Multi-centre diagnostic performance of dynamic CT perfusion for functional assessment of multi-vessel coronary artery disease with dense coronary calcification,"$581,246",$0,,,3 yrs 0 mth 
"Baron, Corey A",Western University (Ontario),Ontario,Project Grant,202109PJT,Medical Physics & Imaging,Microstructural MRI in Temporal Lobe Epilepsy,"$581,400",$0,,,5 yrs 0 mth 
"Kerbel, Robert S","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,201909PJT,Cancer Progression & Therapeutics,Low Dose Metronomic Chemotherapy as a Combination Strategy to Combat Innate or Acquired Resistance to Immune Checkpoint Therapy,"$581,400",$0,,,4 yrs 0 mth 
"Reilly, Raymond M",University of Toronto,Ontario,Project Grant,202104PJT,Cancer Progression & Therapeutics,Alpha-Particle Radioimmunotherapy of Brain Metastases from HER2-Positive Breast Cancer,"$581,400",$0,,,4 yrs 0 mth 
"Hawkins, Cynthia E",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201103MOP,Cancer Progression & Therapeutics,Targeting Paediatric Brainstem Glioma Using Integrated Whole Genome Analysis,"$581,429",$0,,,4 yrs 0 mth 
"Lepage, Martin",Université de Sherbrooke,Quebec,Operating Grant,201203MOP,Medical Physics & Imaging,Imaging important steps in the formation of brain metastases,"$582,717",$0,,,5 yrs 0 mth 
"Reid, Gregor",University of British Columbia,British Columbia,Operating Grant,201209MOP,Cancer Biology & Therapeutics,Identifying Determinants of Acute Lymphoblastic Leukemia Progression,"$582,966",$0,,,5 yrs 0 mth 
"Licht, Christoph",Hospital for Sick Children (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,A central role for the vascular endothelium in COVID-19 pathogenesis,"$583,472",$0,,,1 yr 0 mth 
"Lemieux, Joanne M",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"Optimizing polar, small inhibitors of a viral cysteine protease to identify a lead for an oral COVID-19 treatment","$585,228",$0,,,1 yr 0 mth 
"Ungrin, Mark D",University of Calgary,Alberta,Operating Grant,201403MOP,Biomedical Engineering,Optimizing the size and composition of beta cell aggregates to improve islet graft survival,"$586,594",$0,,,5 yrs 0 mth 
"Shoichet, Molly S",University of Toronto,Ontario,Operating Grant,201009MOP,Biomedical Engineering,Polymeric Nanospheres Designed for Targeted Delivery in Breast Cancer,"$586,822",$0,,,4 yrs 0 mth 
"Aparicio, Samuel J",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Progression & Therapeutics,PP2a protein serine/threonine phosphatase mutations in cancer: functional consequences and clinical relevance,"$588,895",$0,,,4 yrs 0 mth 
"Unsworth, Larry D",University of Alberta,Alberta,Project Grant,202104PJT,Biomedical Engineering,Peptide decorated magnetic nanoparticle strategies for minimally invasive targeting and removing exfoliation materials from the anterior lens capsule,"$589,050",$0,,,5 yrs 0 mth 
"Moorehead, Roger A",University of Guelph,Ontario,Operating Grant,201403MOP,Cancer Biology & Therapeutics,miRNA function in breast cancer,"$589,508",$0,,,5 yrs 0 mth 
"Bizheva, Kostadinka K; Jones, Lyndon William J",University of Waterloo (Ontario),Ontario,Project Grant,202104PJT,Medical Physics & Imaging,Optical system for in-vivo imaging and label-free identification of stem cells in the human corneo-scleral limbus for treatment of corneal blindness,"$592,876",$0,,,5 yrs 0 mth 
"Ward, Aaron; Pautler, Stephen E",Western University (Ontario),Ontario,Project Grant,202303PJT,Medical Physics & Imaging,Histopathology image analysis for prostate cancer prognosis after radical prostatectomy,"$592,876",$0,,,5 yrs 0 mth 
"Yip, Christopher M",University of Toronto,Ontario,Operating Grant,201203MOP,Medical Physics & Imaging,"Super-Resolution Imaging of Receptor Dynamics and Structure: Self-Association of CEACAM and Its Implications for Cancer,Infection, and Inflammation","$592,876",$0,,,5 yrs 0 mth 
"Liu, Xinyu; Kost, Karen M; Li-Jessen, Yee Key Nicole",University of Toronto,Ontario,Project Grant,201803PJT,Biomedical Engineering,A Paper-based Microfluidic Platform for Automated Point-of-Care Diagnosis of Laryngopharyngeal Reflux,"$593,640",$0,,,4 yrs 0 mth 
"Roy, Denis-Claude",CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont,Quebec,Operating Grant,201503MOP,Biomedical Engineering,Elucidating mechanisms of MSC-induced tissue regeneration: path to mesenchymal stromal cell clinical trial in glaucoma,"$596,450",$0,,,5 yrs 0 mth 
"Brown, Jeremy A",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202203PJT,Biomedical Engineering 2,Precision Image-Guided Ultrasound Ablation of Brain Tumors: A Longitudinal Pre-Clinical Study using a Newly Developed Platform,"$596,700",$0,,,5 yrs 0 mth 
"Lam, Wan L",University of British Columbia,British Columbia,Operating Grant,201203MOP,Cancer Progression & Therapeutics,Understanding the mechanisms of lung cancer development in never smokers,"$597,109",$0,,,4 yrs 0 mth 
"Uludag, Hasan",University of Alberta,Alberta,Operating Grant,201503MOP,Biomedical Engineering,siRNA Therapy for Leukemia: Synthetic Biomaterials to Deliver siRNA and Curb Uncontrolled Growth of Leukemic Cells,"$597,400",$0,,,5 yrs 0 mth 
"Czarnota, Gregory J; Kolios, Michael C","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,201809PJT,Medical Physics & Imaging,Quantitative Ultrasound for A Priori Breast Cancer Chemoerthapy Response Prediction,"$598,995",$0,,,3 yrs 0 mth 
"Hill, Richard P; Hedley, David W",University Health Network (Toronto),Ontario,Operating Grant,200909MOP,Cancer Progression & Therapeutics,Hypoxia:  Effects on Tumour Response and Progression in Cervix Cancer,"$599,314",$0,,,4 yrs 0 mth 
"Gorczynski, Reginald M",University Health Network (Toronto),Ontario,Operating Grant,201003MOP,Cancer Progression & Therapeutics 2,Characterization of importance of sCD200 levels for prognosis in CLL patients,"$599,397",$0,,,5 yrs 0 mth 
"Diamandis, Eleftherios P",Sinai Health System (Toronto),Ontario,Operating Grant,200903MOP,Cancer Progression & Therapeutics,"Genetic, Epigenetic and Proteomic Analysis of the Kallikrein Family in Search for Novel Diagnostic Prognostic and Risk Susceptibility Algorithms for Prostate Cancer","$599,728",$0,,,3 yrs 0 mth 
"Houghton, Michael",University of Alberta,Alberta,Operating Grant: COVID-19 - Vaccines,202002OV5,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Production of a recombinant S ( spike ) protein vaccine against SARS-CoV-2 and emerging coronaviruses,"$600,000",$0,,,2 yrs 0 mth 
"Acker, Jason P",University of Alberta,Alberta,Project Grant,202010PJT,Biomedical Engineering,Enabling liver cryopreservation by controlling ice recrystallization with small molecule inhibitors,"$600,524",$0,,,4 yrs 0 mth 
"Stanescu, Teodor; Chan, Timothy; Hosni Abdalaty, Ali",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Medical Physics & Imaging,Generative Adversarial Networks for MRI-driven Radiation Therapy,"$604,352",$0,,,4 yrs 0 mth 
"Elliott, Janet A; Mcgann, Locksley E",University of Alberta,Alberta,Operating Grant,201309MOP,Biomedical Engineering,Cryobiology and Preservation of Cells and Tissues,"$604,466",$0,,,5 yrs 0 mth 
"Nepveu, Alain",McGill University,Quebec,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Structure/Function Analysis of Cut Repeat Domains in Base Excision Repair,"$604,954",$0,,,5 yrs 0 mth 
"Rodier, Francis",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Operating Grant,201103MOP,Cancer Biology & Therapeutics,Mechanisms regulating persistent DNA damage signaling and the linked control of cell proliferation and extracellular signals,"$606,634",$0,,,5 yrs 0 mth 
"Haibe-Kains, Benjamin; Hope, Andrew J",University Health Network (Toronto),Ontario,Project Grant,201909PJT,Cancer Progression & Therapeutics,Development and comparison of radiomics models for prognosis and monitoring,"$608,175",$0,,,3 yrs 0 mth 
"Sanati Nezhad, Amir; Debert, Chantel T",University of Calgary,Alberta,Project Grant,202109PJT,Biomedical Engineering,"RACE Concussion Study: Rapid, accurate cost-effective assessment of fluid biomarkers using a hand-held biosensor in patients with concussion","$608,175",$0,,,5 yrs 0 mth 
"Thompson, Richard B; Paterson, Ian",University of Alberta,Alberta,Project Grant,201709PJT,Medical Physics & Imaging,Quantitative Magnetic Resonance Imaging of Pulmonary Edema: Application in Acute Heart Failure,"$608,175",$0,,,5 yrs 0 mth 
"Dedhar, Shoukat R",University of British Columbia,British Columbia,Operating Grant,201309MOP,Cancer Progression & Therapeutics,Development of therapeutic antibodies targeting carbonic anhydrase IX (CAIX),"$609,976",$0,,,4 yrs 0 mth 
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Operating Grant,201303MOP,Biomedical Engineering,Polymer-based Bioengineering Approaches for Systemic Iron Removal,"$610,078",$0,,,5 yrs 0 mth 
"Chithrani, Devika B",University of Victoria (British Columbia),British Columbia,Project Grant,202309PJT,Biomedical Engineering,Exploiting the full potential of cancer radiotherapy using a novel combined treatment approach to treat locally advanced tumors,"$612,000",$0,,,5 yrs 0 mth 
"Dacosta, Ralph S; Minden, Mark D",University Health Network (Toronto),Ontario,Project Grant,202003PJT,Cancer Progression & Therapeutics 2,Understanding the Interaction of Acute Myeloid Leukemia with the Bone Marrow Microenvironment: Elucidating New Therapeutic Targets Through In Vivo Imaging,"$612,000",$0,,,4 yrs 0 mth 
"Drake, James M; Waspe, Adam C",Hospital for Sick Children (Toronto),Ontario,Project Grant,202209PJT,Medical Physics & Imaging,An MRI-compatible focused ultrasound platform for non-invasive treatment of intraventricular hemorrhage of prematurity,"$612,000",$0,,,4 yrs 0 mth 
"St. Lawrence, Keith S",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Project Grant,202109PJT,Medical Physics & Imaging,Does Impaired Cerebral Metabolism Link Vascular Dysfunction to Cognitive Decline?,"$612,000",$0,,,5 yrs 0 mth 
"Bertrand, Richard",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Operating Grant,200903MOP,Cancer Biology & Therapeutics,Bcl-xL regulation and function during G2 and mitotic spindle assembly checkpoints,"$612,420",$0,,,5 yrs 0 mth 
"Morin, Ryan D","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant,201303MOP,Cancer Biology & Therapeutics,Investigating the mutations driving non Hodgkin lymphomas and developing plasma-based assays for tumour detection and monitoring,"$612,722",$0,,,5 yrs 0 mth 
"Werbowetski-Ogilvie, Tamra E",University of Manitoba,Manitoba,Operating Grant,201309MOP,Cancer Progression & Therapeutics 2,Functional characterization of novel biomarkers for subtype-specific medulloblastoma cell phenotypes,"$614,472",$0,,,5 yrs 0 mth 
"Li, Yingfu",McMaster University,Ontario,Operating Grant,200903MOP,Cancer Biology & Therapeutics,Developing RNA-cleaving DNAzymes as Molecular Tools for Cancer Study and as Cancer Therapeutics,"$616,690",$0,,,5 yrs 0 mth 
"Sefton, Michael V",University of Toronto,Ontario,Operating Grant,201503MOP,Biomedical Engineering,Robust vascularization using modular tissue engineering,"$619,244",$0,,,5 yrs 0 mth 
"Ruel, Marc; Suuronen, Erik",Ottawa Heart Institute Research Corporation (Ontario),Ontario,Operating Grant,201303MOP,Biomedical Engineering,"Optimizing Signaling, Cells, and Host Environment in Matrix-based Cardiac Regenerative Therapy: Towards Pre-clinical Application","$619,261",$0,,,5 yrs 0 mth 
"Deblois, Genevieve",Université de Montréal,Quebec,Project Grant,202109PJT,Cancer Progression & Therapeutics,Investigating the metabolic determinants of triple-negative breast cancer progression through chromatin dependencies,"$619,650",$0,,,5 yrs 0 mth 
"Zarrine-Afsar, Arash",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Medical Physics & Imaging,Rapid high sensitivity and specificity diagnosis of melanoma with Picosecond infrared laser mass spectrometry,"$619,650",$0,,,5 yrs 0 mth 
"Soulez, Gilles; Martel, Sylvain",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Project Grant,202003PJT,Medical Physics & Imaging,Magnetic resonance navigation of drug eluting beads for liver cancer therapy: in-vitro optimization and preclinical safety efficacy study,"$619,651",$0,,,4 yrs 0 mth 
"Stefanovic, Bojana","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201203MOP,Medical Physics & Imaging,The mechanism of neurovascular remodelling after focal ischemia,"$621,248",$0,,,5 yrs 0 mth 
"Brodt, Pnina",McGill University,Quebec,Operating Grant,200909MOP,Cancer Progression & Therapeutics,Role of the microenvironment in liver metastasis,"$622,074",$0,,,5 yrs 0 mth 
"Ramotar, Dindial",CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont,Quebec,Operating Grant,201109MOP,Cancer Biology & Therapeutics,The role of human glyceraldehyde-3-phosphate dehydrogenase in maintaining the redox state of the DNA repair enzyme APE1,"$622,134",$0,,,5 yrs 0 mth 
"Archambault, Denis",Université du Québec à Montréal,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Vaccines,202005VR1,COVID-19 Rapid Research - Vaccines,SARS-CoV-2 immunization strategies to enhance protective immunity with reduced risk of antibody-dependent enhancement (ADE),"$622,782",$0,,,1 yr 0 mth 
"Kuo, Calvin; Bhatnagar, Tim; Leveille, Lise",University of British Columbia,British Columbia,Project Grant,202409PJT,Biomedical Engineering,Assessing Remote Technologies for Return to Sport after Anterior Cruciate Ligament Injury in Children,"$623,475",$0,,,5 yrs 0 mth 
"Dutta, Tilak; Dolatabadi, Elham; Gabison, Sharon; Holyoke, Paul D",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Biomedical Engineering,Improving Repositioning Adherence in Home Care: Supporting Pressure Injury Care and Prevention,"$623,476",$0,,,4 yrs 0 mth 
"Rutka, James T",Hospital for Sick Children (Toronto),Ontario,Project Grant,201709PJT,Cancer Biology & Therapeutics 2,Enhancing the Delivery of Novel Chemotherapeutics to Diffuse Intrinsic Pontine Glioma,"$623,476",$0,,,4 yrs 0 mth 
"Sidhu, Sachdev S",University of Toronto,Ontario,Project Grant,201803PJT,Cancer Progression & Therapeutics,Engineering therapeutics for the treatment of anemia in oncology patients,"$623,476",$0,,,5 yrs 0 mth 
"Khokha, Rama",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Cancer Progression & Therapeutics,Molecular dissection of TIMP3-dependent hepatocellular carcinoma,"$623,520",$0,,,5 yrs 0 mth 
"O'Brien, Catherine A",University Health Network (Toronto),Ontario,Operating Grant,201303MOP,Cancer Biology & Therapeutics,"Targeting colorectal cancer-initiating cells and anti-EGFR therapeutic resistance by manipulating levels of the reactive aldehyde, 4-hydroxynonenal","$625,730",$0,,,4 yrs 0 mth 
"Salcudean, Septimiu E; Kozlowski, Piotr; Pang, Emily; Rohling, Robert N",University of British Columbia,British Columbia,Project Grant,202303PJT,Medical Physics & Imaging,"Multi-modal, multi-parametric liver imaging for ultrasound-based stratification of patients with non-alcoholic fatty liver disease","$625,770",$0,,,5 yrs 0 mth 
"Marcato, Paola",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,201303MOP,Cancer Progression & Therapeutics,The role of ALDH1A3 in breast cancer progression and cancer stem cell biology,"$627,147",$0,,,5 yrs 0 mth 
"Kozlowski, Piotr",University of British Columbia,British Columbia,Operating Grant,201103MOP,Medical Physics & Imaging,Multi-parametric MRI for prostate cancer diagnosis and prognosis,"$627,332",$0,,,5 yrs 0 mth 
"Santyr, Giles E",Hospital for Sick Children (Toronto),Ontario,Project Grant,202010PJT,Medical Physics & Imaging,Magnetic Resonance Imaging Toolbox for Assessment of Lung Structure and Function in the Early Years of Life,"$627,635",$0,,,5 yrs 0 mth 
"Cobb, Jennifer A",University of Calgary,Alberta,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Nej1 and Lif1 form structural filaments that bridge the ends of DNA at a DSB,"$628,466",$0,,,5 yrs 0 mth 
"Boyd, Steven K; Hanley, David A",University of Calgary,Alberta,Operating Grant,201003MOP,Biomedical Engineering,A biomedical engineering approach to investigating bone quality across the lifespan,"$629,550",$0,,,5 yrs 0 mth 
"Croxen, Matthew A; Gordon, Paul; Van Domselaar, Gary H",University of Alberta,Alberta,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Rapid RNA sequencing of coronavirus for public health surveillance and transmission,"$630,432",$0,,,2 yrs 0 mth 
"Barralet, Jake E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201809PJT,Biomedical Engineering,Autosynthetics: Cranial Regeneration,"$631,124",$0,,,4 yrs 0 mth 
"Rahmim, Arman",University of British Columbia,British Columbia,Project Grant,201809PJT,Medical Physics & Imaging,Quantitative PSMA Targeted Imaging of Prostate Cancer Patients,"$631,124",$0,,,4 yrs 0 mth 
"St. Lawrence, Keith S",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Project Grant,202010PJT,Medical Physics & Imaging,Development of a non-invasive optical device to guide individualized neurointensive care,"$631,125",$0,,,5 yrs 0 mth 
"Waldman, Stephen D",Toronto Metropolitan University,Ontario,Project Grant,201809PJT,Biomedical Engineering,Controlling Glucose Metabolism to Develop Superior Tissue Engineered Cartilage,"$631,125",$0,,,5 yrs 0 mth 
"LeVan, Pierre",University of Calgary,Alberta,Project Grant,202203PJT,Medical Physics & Imaging,Identification of seizure-generating brain areas in drug-resistant epilepsy using dynamic resting-state fMRI,"$631,126",$0,,,5 yrs 0 mth 
"Petrik, Jim J",University of Guelph,Ontario,Project Grant,201903PJT,Cancer Biology & Therapeutics,Vascular normalization improves immunotherapy in advanced stage ovarian cancer.,"$631,126",$0,,,5 yrs 0 mth 
"Soulez, Gilles",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Operating Grant,201103MOP,Medical Physics & Imaging,"Monitoring of abdominal aortic aneurysm after endovascular repair by ultrasound elastography: feasibility, optimization and validation","$631,588",$0,,,4 yrs 0 mth 
"Fenster, Aaron",Western University (Ontario),Ontario,Operating Grant,200809MOP,Medical Physics & Imaging,3D ultrasound-guided trans-perineal focal prostate therapy platform,"$631,813",$0,,,5 yrs 0 mth 
"Chan, Warren C",University of Toronto,Ontario,Operating Grant,201303MOP,Biomedical Engineering,Engineering DNA-nanosystems for tumor targeting,"$632,126",$0,,,5 yrs 0 mth 
"Ma, Hongshen",University of British Columbia,British Columbia,Operating Grant,201309MOP,Biomedical Engineering,Microfluidic Separation of Circulating Tumor Cells,"$632,779",$0,,,4 yrs 0 mth 
"Forkert, Nils Daniel",University of Calgary,Alberta,Project Grant,202104PJT,Biomedical Engineering,Distributed Machine Learning for Diagnosis and Treatment Decision Support of Pediatric Brain Tumors,"$634,950",$0,,,5 yrs 0 mth 
"Sanche, Léon",Université de Sherbrooke,Quebec,Project Grant,201809PJT,Medical Physics & Imaging,Secondary electron collision cross sections for micro- and nano-dosimetry of emerging radiation and chemo-radiation therapies.,"$634,950",$0,,,5 yrs 0 mth 
"Hardisty, Michael R","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,202109PJT,Biomedical Engineering,Quantifying Osteosarcopenia Progression with Imaging Biomarkers in Prostate Cancer,"$636,180",$0,,,5 yrs 0 mth 
"Jiang, Xiaoyan",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Progression & Therapeutics,Molecular Targeting of Critical Domains of AHI-1 Oncoprotein in Chronic Myeloid Leukemia Stem Cells Resistant to Current Tyrosine Kinase Inhibitor Therapy,"$636,768",$0,,,4 yrs 0 mth 
"McKenzie, Charles A",Western University (Ontario),Ontario,Project Grant,201809PJT,Medical Physics & Imaging,Hyperpolarised 13C MRI of Placental Metabolism in Intrauterine Growth Restriction,"$638,776",$0,,,4 yrs 0 mth 
"Nelson, Brad H",University of British Columbia,British Columbia,Operating Grant,201503MOP,Cancer Progression & Therapeutics 2,Mechanisms of Protective Immunity in Ovarian Cancer,"$639,477",$0,,,5 yrs 0 mth 
"McMullen, Todd",University of Alberta,Alberta,Operating Grant,201209MOP,Cancer Progression & Therapeutics 2,The Biological and Clinical Significance of Platelet Derived Growth Factor Receptor in Papillary Thyroid Cancer,"$642,147",$0,,,5 yrs 0 mth 
"Chiew, Mark","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant,202409PJT,Medical Physics & Imaging,Rapid Diagnostic Imaging of Brain Metastases using Computational Accelerated MRI,"$642,600",$0,,,5 yrs 0 mth 
