Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
Mechanisms Underlying Nutrient-Mediated Sporulation in C. difficile,Biodefense; Digestive Diseases; Emerging Infectious Diseases; Infectious Diseases; Nutrition,"Project Narrative
The experiments in this proposal are designed to uncover the nutrients and nutritional
pathways that are important for C. difficile to form an infectious spore. The project is
relevant to the NIH's mission of understanding and preventing bacterial infections and
digestive diseases.",NIAID,1R01AI156052-01A1,1,R01,AI,1,A1,2021-06-01,2026-05-31,Bacterial Pathogenesis Study Section[BACP],,"MCBRIDE, SHONNA M.",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-06-01,2025-05-31,,855.0,Non-SBIR/STTR,2021,1893027.0,,NIAID,330333.0,164940.0,,495273.0,"Nutrient, Sporulation, C. difficile",0,0,0
MicroRNA and Muscle Wasting in Uremia,Biotechnology; Genetics; Kidney Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human," Muscle wasting is a serious complication of catabolic diseases such as chronic renal failure (CKD), diabetes, cancer and heart failure. It contributes substantially to patient mortality. We have evidence that muscle loss is due to an increase in muscle protein degradation and a decrease in muscle regeneration. Both of these mechanisms of muscle loss are related to a down- regulation of microRNA-29 (miR29). Our proposal will determine if a decrease in miR29 causes these changes, and whether increasing miR29 will reverse these changes. Data from these studies should provide new approaches for developing therapeutic strategies to correct muscle wasting in catabolic disease.   
      

",NIAMS,1R01AR060268-01A1,1,R01,AR,1,A1,2012-04-11,2018-03-31,Cellular and Molecular Biology of the Kidney Study Section[CMBK],,"WANG, XIAONAN H",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2012-04-11,2018-03-31,,846.0,Non-SBIR/STTR,2012,1700281.0,,NIAMS,225000.0,104693.0,,329693.0,"MicroRNA, Muscle Wasting, Uremia",0,0,0
Role of the gut microbiome in the bone loss induced by hyperparathyroidism in mice and humans,Clinical Research; Microbiome; Osteoporosis; Women's Health,"PROJECT NARRATIVE
This project will determine the contribution of the gut microbiome to mechanism of action of
parathyroid hormone in bone. Our study will provide evidence that that primary
hyperparathyroidism causes osteoporosis only in mice and patients harboring specific
bacterial strains in their intestinal microbiome. This is important because sequencing of the
stool microbiome may be used to predict which patients affected by primary
hyperparathyroidism will develop bone loss.",NIDDK,1R01DK124821-01A1,1,R01,DK,1,A1,2021-02-01,2026-01-31,Skeletal Biology Structure and Regeneration Study Section[SBSR],,"PACIFICI, ROBERTO ","BILEZIKIAN, JOHN P;JONES, RHEINALLT MELFYN",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-02-01,2026-01-31,,847.0,Non-SBIR/STTR,2021,2540273.0,,NIDDK,393000.0,179931.0,,572931.0,"gut microbiome, bone loss, hyperparathyroidism",0,0,0
TH17 cells in AIDS pathogenesis and HIV vaccines,Clinical Research; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related,"
Project Narrative:
We recently showed that pathogenic HIV/SIV infections of humans and rhesus macaques are
associated with preferential depletion of mucosal CD4+ Th17, a cell population deemed critical
for mucosal immunity, whose severity correlates with the levels of chronic immune activation
and disease progression. Remarkably, Th17 cells are preserved at a healthy frequency during
nonpathogenic SIV infection of sooty mangabeys.
The overarching Aim of this project is to identify the mechanism(s) responsible for the different
regulation of mucosal Th17 cells in pathogenic and nonpathogenic lentiviral infections.
The elucidation of these mechanisms may provide fundamental insights on the pathogenesis of
the HIV/SIV-associated mucosal immune dysfunction. We believe that this information will
ultimately inform the design of an AIDS vaccine that will confer protection from HIV transmission
and disease progression.",NIAID,5R01AI084836-03,5,R01,AI,3,,2009-09-25,2015-08-31,ZAI1-SV-A(M2),,"PAIARDINI, MIRKO ",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2011-09-01,2015-08-31,,855.0,Non-SBIR/STTR,2011,1893333.0,,NIAID,321812.0,244577.0,,566389.0,"TH17, AIDS, HIV",0,0,0
TWEAK-Induced Ischemic Neuronal Death,Brain Disorders; Neurosciences; Stroke,"
PROJECT NARRATIVE
Early after the onset of ischemic stroke there is an increase in the expression of the cytokine TWEAK and its
receptor Fn14. The binding of TWEAK to Fn14 induces neuronal death. This application focuses on the study
of the mechanism whereby TWEAK induces cell death and the use of inhibitors of TWEAK activity as a
potential therapeutic strategy to prevent neuronal death during acute ischemic stroke.",NINDS,5R01NS062073-02,5,R01,NS,2,,2009-05-01,2014-02-28,Brain Injury and Neurovascular Pathologies Study Section[BINP],,"YEPES, MANUEL SALVADOR",Not Applicable,5,NEUROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-03-01,2014-02-28,,853.0,Non-SBIR/STTR,2010,1312367.0,,NINDS,238219.0,95288.0,,333507.0,"TWEAK, Ischemic, Neuronal",0,0,0
The role of novel oncogenic histone H3 lysine variants in defining a therapeutically actionable epigenetic signature,Biotechnology; Breast Cancer; Cancer; Cancer Genomics; Genetics; Human Genome; Women's Health,"PROJECT NARRATIVE
A major limitation of existing cancer therapy is the identification of actionable genomic alterations. Changes in
histone proteins, which help to organize the genetic material in cell nuclei, represent one such genomic
alteration that can cause a spectrum of types of cancer, but why these changes cause cancer is not known.
This proposal studies novel histone H3 mutations identified in patient tumors, which may enable the
identification of a therapeutically targetable epigenetic signature in patient tumors characterized by these H3
oncogenic mutations.",NCI,1R21CA256456-01A1,1,R21,CA,1,A1,2021-08-01,2024-07-31,Special Emphasis Panel[ZCA1 TCRB-V (M1)],,"SPANGLE, JENNIFER MARIE","CORBETT, ANITA H.",5,RADIATION-DIAGNOSTIC/ONCOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-08-01,2024-07-31,,395.0,Non-SBIR/STTR,2021,389142.0,,NCI,116875.0,61743.0,,178618.0,"histone, epigenetic, oncogenic",0,0,0
TrkB Receptor PET Tracer Development,Aging; Brain Disorders; Diagnostic Radiology; Mental Health; Neurodegenerative; Neurosciences,"PUBLIC HEALTH RELEVANCE:  Dysregulation of BDNF-TrkB signaling has been implicated in numerous psychiatric and neurodegenerative disorders. The ability to non-invasively image TrkB with PET would provide insight into the levels of TrkB expression in these states, would allow for the monitoring of TrkB levels during neuroregeneration therapy, and would allow for target validation, occupancy, dose finding, and mechanism of action studies of potential therapeutic TrkB ligands.   
      

",NIA,1R21AG050793-01,1,R21,AG,1,,2015-09-15,2018-04-30,Special Emphasis Panel[ZRG1 SBIB-W (59)],,"STEHOUWER, JEFFREY SCOTT","YE, KEQIANG ",5,RADIATION-DIAGNOSTIC/ONCOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2015-09-15,2018-04-30,,866.0,Non-SBIR/STTR,2015,507366.0,,NIA,150000.0,84000.0,,234000.0,"TrkB, Receptor, PET",0,0,0
Delineating a role for CA in HIV-1 nuclear transport to sites of integration,Genetics; HIV/AIDS; Infectious Diseases,"Project Narrative
Mounting evidence suggests a dominant role for the capsid protein (CA) to target HIV-1 pre-integration
complexes (PICs) to distinct nuclear location of viral integration. Understanding the localization of CA to nuclear
PICs and how this influences HIV-1 transport to different locations of viral DNA integration will provide valuable
insights that will potentially guide future drug development efforts targeting virus nuclear transport and is
therefore of high public health significance.",NIAID,1R21AI145541-01A1,1,R21,AI,1,A1,2020-03-02,2021-02-28,Special Emphasis Panel[ZRG1 AARR-P (02)],,"FRANCIS, ASHWANTH CHRISTOPHER",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2020-03-02,2021-02-28,,855.0,Non-SBIR/STTR,2020,195000.0,,NIAID,125000.0,70000.0,,195000.0,"CA, HIV-1, nuclear transport",0,0,0
Diversity & racial disparity in fetal membrane cytokine signature during infectio,Clinical Research; Conditions affecting unborn children; Contraception/Reproduction; Human Fetal Tissue; Infant Mortality/ (LBW); Infectious Diseases; Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period," Microbial invasion of the intraamniotic cavity and intraamniotic infections and inflammation mediated by a switch in the TH1/TH2 cytokine pattern favoring a proinflammatory response are commonly associated with spontaneous preterm birth. Disproportionately higher rate of infection and preterm births in African Americans and increasing rate of infection associated preterm birth suggest that the infection associated pathophysiologic pathways and biomarkers may not be generalizable and each bacterium may produce their own inflammatory signature and racial disparity will be associated with biomarker profile. In this RO3 application, a pilot study is planned using an in vitro organ explant system for fetal membranes we plan to test differential inflammatory response and racial disparity associated with common intraamniotic pathogens.  
    

",NICHD,1R03HD067446-01,1,R03,HD,1,,2011-03-08,2011-09-30,Obstetrics and Maternal-Fetal Biology Study Section[CHHD-B],,"MENON, RAMKUMAR ",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2011-03-08,2011-09-30,,865.0,Non-SBIR/STTR,2011,8059.0,,NICHD,5199.0,2860.0,,8059.0,"fetal membrane, cytokine, infection",6,"Ilias Therapeutics, Inc.; Ilias Biologics Inc.",2
Granulocyte-Macrophage Colony Stimulated Factor (GM-CSF) in Peripheral Arterial Disease,Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Physical Activity; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human,"Project Narrative
Our proposal is significant as it addresses a compelling need for alternative therapy for symptomatic PAD that
is imposing an increasing burden in the population. It is investigating a unique and novel approach of delivering
autologous cell therapy by employing bone marrow PC mobilization and homing to the sites of ischemia. It is
supported by robust clinical trial data and if proven successful and effective, will likely provide an important
therapeutic option for this population and for a pivotal Phase III trial.",NHLBI,1R61HL138657-01,1,R61,HL,1,,2017-08-15,2024-07-31,Special Emphasis Panel[ZHL1 CSR-G (M1)],,"QUYYUMI, ARSHED A",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2017-08-15,2024-07-31,,840.0,Non-SBIR/STTR,2017,3769957.0,,NHLBI,499282.0,275818.0,,775100.0,"GM-CSF, Peripheral Arterial Disease, Colony Stimulated Factor",0,0,0
How HIV-related proteins increase the susceptibility to lung injury despite anti-retroviral therapy,Acute Respiratory Distress Syndrome; HIV/AIDS; Infectious Diseases; Lung; Rare Diseases,"Chronic infection by the human immunodeficiency (HIV) type 1 virus remains one of the greatest health
challenges worldwide. Despite the development of effective anti-retroviral therapy that has allowed millions of
individuals to survive and even live relatively healthy lives with HIV, pulmonary diseases including pneumonia
remain the leading causes of death in these individuals. This project examines a newly discovered mechanism
by which HIV interferes with lung immune responses and will test novel treatments in experimental models with
the goal of translating these studies to clinical trials to determine if we can enhance pulmonary immune
function in individuals living with HIV.",NHLBI,1R01HL144478-01A1,1,R01,HL,1,A1,2019-01-15,2024-12-31,NeuroAIDS and other End-Organ Diseases Study Section[NAED],,"SADIKOT, RUXANA T","GUIDOT, DAVID MARSHALL",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-01-15,2024-12-31,,838.0,Non-SBIR/STTR,2019,1560000.0,,NHLBI,250000.0,140000.0,,390000.0,"HIV, proteins, lung injury",0,0,0
Macaque Core -Core B,Biotechnology; Genetics; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS),n/a,NIAID,5U19AI109633-02,5,U19,AI,2,,2015-03-01,2020-02-29,ZAI1-NVM-A,7466.0,"VELU, VIJAYAKUMAR ",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2015-03-01,2019-02-28,,,Non-SBIR/STTR,2015,,664042.0,,381744.0,282298.0,,,"Macaque, Core, B",1,"Dana-Farber Cancer Institute, Inc.",1
Novel therapeutic approaches to Mitral valve repair in ischemic heart disease,Bioengineering; Cardiovascular; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease,"NARRATIVEe
Thise studye seekse toe providee mechanistice insightse underlyinge thee causee ofe annuloplastye failuree toe repaire
functionale mitrale regurgitatione ine ischemice cardiomyopathye patients,e ande proposese ae newe techniquee toe reducee
failuree ratese ande improvee patiente outcomes.e Ae novele approach,e combininge patiente specifice imaginge ande
computationale biomechanicale modelse ise proposede toe identifye thesee mechanismse ande develope newe surgicale
repaire therapies.e Ite ise expectede thate resultse ofe thise studye woulde helpe reducee thee recurrente ratese ofe FMRe ande
improveecardiovascularehealtheofepatientseundergoingesurgicalerepaireforethiselesion.ee
e
e",NHLBI,1R01HL133667-01A1,1,R01,HL,1,A1,2017-09-01,2023-08-31,Clinical and Integrative Cardiovascular Sciences Study Section[CICS],,"PADALA, SAI MURALIDHAR ",Not Applicable,5,SURGERY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2017-09-01,2023-08-31,,837.0,Non-SBIR/STTR,2017,3145395.0,,NHLBI,391645.0,198069.0,,589714.0,"mitral valve, ischemic heart disease",1,0,0
The lambda bacteriophage regulatory loop,Bioengineering; Biotechnology; Genetics; Infectious Diseases,"
Project Narrative
 The proposal aims to characterize the molecular bases of the epigenetic
switch in lambda bacteriophage; an acute understanding of this mechanism will
provide a better control of phage-induced bacterial pathogenesis and allow the
use of inducible viruses for gene delivery and/or therapy. The lambda switch is
also a paradigm of long-range interactions and multi-protein assemblages which
if altered can lead to anomalies and tumors.",NIGMS,5R01GM084070-02,5,R01,GM,2,,2009-05-01,2014-07-31,Macromolecular Structure and Function C Study Section[MSFC],,"FINZI, LAURA ",Not Applicable,5,PHYSICS,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2010-05-01,2014-07-31,,859.0,Non-SBIR/STTR,2010,1026594.0,,NIGMS,168300.0,92565.0,,260865.0,"lambda, bacteriophage, regulatory",0,0,0
Biomarker Discovery for Nonalcoholic Fatty Liver Disease in Children,Chronic Liver Disease and Cirrhosis; Clinical Research; Digestive Diseases; Hepatitis; Liver Disease; Machine Learning and Artificial Intelligence; Pediatric; Precision Medicine; Prevention,"Project Narrative
This proposal seeks to improve child health through detecting and validating novel biomarkers
for pediatric nonalcoholic steatohepatitis, the more progressive form of nonalcoholic fatty liver
disease. Discovery of biomarkers specific for pediatric NASH will improve clinical care and
accelerate drug development for NASH in children.",NIDDK,1R01DK125701-01A1,1,R01,DK,1,A1,2020-09-16,2024-08-31,Special Emphasis Panel[ZDK1 GRB-S (O3)],,"VOS, MIRIAM B.",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2020-09-16,2024-08-31,,847.0,Non-SBIR/STTR,2020,1037412.0,,NIDDK,242176.0,112076.0,,354252.0,"biomarker, fatty liver, children",0,0,0
Gatekeeping glycan metabolism in the human gut microbiome,Microbiome; Nutrition,"The gut microbiota has a profound effect on human health and physiology, providing benefits to the host such
as modulation of immune development, inhibition of pathogen colonization, digestion of dietary fibers and
absorption of nutrients, while abnormalities in microbiota composition, or dysbiosis, have been implicated in
numerous and diverse disease states. Microorganisms possess varied and efficient strategies for competing for
nutrients in the human gut, on which they depend as a critical energy source, the molecular mechanisms of
which remain poorly understood and are the focus of the studies proposed here. Our research will allow us to
build an intellectual framework for the design of methods and molecules with which to remodel the composition
of the gut microbiota in order to improve human health.",NIGMS,1R01GM148075-01A1,1,R01,GM,1,A1,2023-08-15,2027-07-31,Macromolecular Structure and Function A Study Section[MSFA],,"SUNDBERG, ERIC JOHN",Not Applicable,5,BIOCHEMISTRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2023-08-15,2025-07-31,,859.0,Non-SBIR/STTR,2023,977797.0,,NIGMS,252705.0,133411.0,,386116.0,"glycan, metabolism, microbiome",0,0,0
Open Drug Discovery Center for Alzheimer's Disease,No NIH Category available,Alzheimeres disease (AD) is a debilitating neurodegenerative disorder affecting more than 40 million people world-wide but for which we lack drugs to slow disease progression. AD drug development is limited by our poor understanding of the biology that causes this disease. Here we take an open approach to catalyze drug development by developing and openly distributing high-quality reagents for evaluation of a diverse set of next generation AD drug targets across the research community.,NIA,1U54AG065187-01,1,U54,AG,1,,2019-09-30,2024-08-31,Special Emphasis Panel[ZAG1 ZIJ (A1)],,"LEVEY, ALLAN I","EDWARDS, ALED M;FRYE, STEPHEN VERNON;FU, HAIAN ;GILEADI, OPHER ;LONGO, FRANK M;MANGRAVITE, LARA M",5,NEUROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-09-30,2024-08-31,,866.0,Research Centers,2019,36581016.0,,NIA,6595693.0,903185.0,,7498878.0,"Drug discovery, Alzheimer's disease, open center",1,0,0
Predictors and Targets of Response to Cytokine Antagonism in Depression,Behavioral and Social Science; Brain Disorders; Depression; Mental Health; Mind and Body; Neurosciences; Sleep Research," There have been increasing efforts to personalize therapy for patients with depression, many of whom end up receiving multiple unsuccessful treatment trials and ultimately populate the ranks of the ~7 million adults in the U.S. who are unable to respond to conventional antidepressant therapy and represent a significant public health concern. Given recent findings that inflammation may contribute to antidepressant treatment non-response, the proposed study plans to use data gathered from a recently completed clinical trial to determine which depressed patients and which depressive symptoms are most likely to respond to a medication that inhibits inflammation and why. This information will help focus future studies and treatments of depressed patients that exhibit increased inflammation and are therefore optimal candidates for anti- inflammatory therapies.   
   
      

",NIMH,1R03MH100273-01,1,R03,MH,1,,2013-04-01,2016-03-31,Interventions Committee for Adult Disorders[ITVA],,"MILLER, ANDREW H",Not Applicable,5,PSYCHIATRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2013-04-01,2016-03-31,,242.0,Non-SBIR/STTR,2013,156000.0,,NIMH,50000.0,28000.0,,78000.0,"Cytokine, Antagonism, Depression",1,0,0
Resubmission of Functional approach to communication sound processing in mouse auditory cortex,Basic Behavioral and Social Science; Behavioral and Social Science; Biomedical Imaging; Neurosciences,"PROJECT NARRATIVE
 The proposed research is relevant to public health because it will uncover mechanisms underlying the func-
tioning during social communication of a key auditory processing stream between Core and Noncore auditory
cortical fields. By elucidating the normal operation of this system, our results will be important in implicating
aspects of communication coding and plasticity that may fail in auditory processing disorders, social disorders
with auditory dysfunctions, hearing loss and temporal lobe strokes.",NIDCD,2R01DC008343-11A1,2,R01,DC,11,A1,2006-07-01,2024-06-30,Special Emphasis Panel[ZRG1 IFCN-B (02)],,"LIU, ROBERT C",Not Applicable,5,BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2018-05-01,2024-06-30,,173.0,Non-SBIR/STTR,2018,2185825.0,,NIDCD,283585.0,153580.0,,437165.0,"sound, processing, auditory",0,0,0
Sustaining factors for stress-induced emotional feeding in females,Basic Behavioral and Social Science; Behavioral and Social Science; Nutrition; Obesity; Prevention," The psychological and biological reasons why people find it so difficult to limit food intake are poorly understood. This project will examine the hypothesis that emotional feeding that results from exposure to chronic social stress changes brain neurochemicals that regulate reward pathways in the brain. These deficits lead individuals to overeat even when healthier diets and improved lifestyles are available. Together, the data will identify novel mechanisms for sustained food intake and thereby identify possible targets for therapeutic intervention.   
      

",NIDDK,1R01DK096983-01A1,1,R01,DK,1,A1,2013-04-17,2017-03-31,Special Emphasis Panel[ZRG1 IFCN-C (02)],,"WILSON, MARK E",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2013-04-17,2017-03-31,,847.0,Non-SBIR/STTR,2013,2154306.0,,NIDDK,423699.0,289066.0,,712765.0,"stress, emotional feeding, females",2,Dart Neuroscience Llc; Dart Neuroscience (Cayman) Ltd,2
The role of shear induced endothelial ZBTB46 in atherosclerosis,Aging; Atherosclerosis; Cardiovascular; Genetics,"Project Narrative:
The proposed project has significant relevance to public health as it studies the role of a novel
molecule with potential role in atherosclerosis. Atherosclerosis is the clogging of arteries which may
lead to chest pain, heart attacks, heart failure or stroke, with atherosclerotic heart disease causing ?1
of every 6 deaths in the United States according to the 2018 American Heart Association statistics.
Findings from our proposed project will provide new insight into the mechanism of the disease, and
could lead to therapies preventing or treating atherosclerosis.",NHLBI,1R01HL150005-01A1,1,R01,HL,1,A1,2020-07-01,2025-06-30,Atherosclerosis and Inflammation of the Cardiovascular System Study Section[AICS],,"REZVAN, AMIR ",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2020-07-01,2025-06-30,,837.0,Non-SBIR/STTR,2020,1950000.0,,NHLBI,250000.0,140000.0,,390000.0,"shear stress, endothelial cells, ZBTB46",0,0,0
"Alzheimer's Special Care Units in Nursing Homes: Racial and Ethnic Disparities, Resident Outcomes, and State Policies",Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Dementia; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Health Services; Neurodegenerative; Neurosciences; Racial and Ethnic Minority Health Research; Social Determinants of Health,"PROJECT NARRATIVE
Alzheimer's special care units (SCUs) in nursing homes are a major innovation in dementia care, yet the majority
of nursing homes do not have SCUs, especially those serving a high proportion of Black and Hispanic residents.
By analyzing national resident and facility data and unique Ohio surveys, this study will examine SCU access as
a pathway of racial and ethnic disparities in dementia-related outcomes, and will identify the state policies and
regulations associated with increased SCU availability. Because federal and state governments are currently
implementing reforms to improve nursing home care, our analyses will improve the understanding of SCU factors
which can inform a policy approach to improve quality and reduce disparities in nursing homes.",NIA,1R01AG087296-01,1,R01,AG,1,,2024-09-01,2028-05-31,Healthcare and Health Disparities Study Section[HHD],,"XU, HUIWEN ",Not Applicable,5,NONE,EMORY UNIVERSITY,GA,SCHOOLS OF NURSING,N,2024-09-01,2025-05-31,,866.0,Non-SBIR/STTR,2024,424184.0,,NIA,348175.0,76009.0,,424184.0,"Alzheimer's, Care Units, Nursing Homes",0,0,0
Intestinal Epithelial Tight Junction Structure-Function,Autoimmune Disease; Biotechnology; Digestive Diseases; Inflammatory Bowel Disease,n/a,NIDDK,5R01DK059888-10,5,R01,DK,10,,2001-09-01,2016-08-31,Special Emphasis Panel[ZRG1-DIG-C(04)M],,"NUSRAT, ASMA ",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-09-01,2015-03-15,,847.0,Non-SBIR/STTR,2010,2028932.0,,NIDDK,193123.0,102355.0,,295478.0,"Intestinal, Epithelial, Tight Junction",2,Georgia Tech Research Corporation,1
FMRP Mechanism and Function,Biotechnology; Brain Disorders; Fragile X Syndrome; Genetics; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Rare Diseases,"The proposed research will elucidate RNA-based disease mechanisms that contribute to
altered synapse development and function in fragile x syndrome. This work will help
develop new therapeutic strategies for the treatment of fragile x syndrome and other
related neurologic disorders that involve impairments in RNA regulation.",NIMH,1R01MH109026-01A1,1,R01,MH,1,A1,2016-07-01,2023-04-30,"Neurodifferentiation, Plasticity, Regeneration and Rhythmicity Study Section[NDPR]",,"BASSELL, GARY J",Not Applicable,5,ANATOMY/CELL BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2016-07-01,2023-04-30,,242.0,Non-SBIR/STTR,2016,2035461.0,,NIMH,313558.0,154000.0,,467558.0,"FMRP, mechanism, function",1,0,0
Informal Caregiving Networks of Older Adults with Dementia,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Burden of Illness; Caregiving Research; Clinical Research; Dementia; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Health Services; Neurodegenerative; Neurosciences; Palliative Care; Social Determinants of Health,"PROJECT NARRATIVE
Informal caregiving for persons with dementia (PWD) who are living at home typically involve multiple
caregivers, but little is known about the full scope of caregiving experienced by the many family members
and/or friends involved in caregiving for PWD in the community. The proposed research will for the first time
characterize informal caregiving networks of PWD longitudinally and generate evidence on how the network
characteristics affect caregivers and PWD outcomes to help identify strategies for alleviating caregiver burden.",NIA,1R01AG082300-01A1,1,R01,AG,1,A1,2024-09-15,2029-05-31,"Social Psychology, Personality and Interpersonal Processes Study Section[SPIP]",,"SONG, MI-KYUNG ",Not Applicable,5,NONE,EMORY UNIVERSITY,GA,SCHOOLS OF NURSING,N,2024-09-15,2025-05-31,,866.0,Non-SBIR/STTR,2024,1030776.0,,NIA,729200.0,301576.0,,1030776.0,"Caregiving, Dementia, Older Adults",0,0,0
Intestinal mucosal wound resealing,Digestive Diseases,"PUBLIC HEALTH RELEVANCE: The lining of the gastrointestinal tract plays an important role in immune defense, which can be significantly compromised by conditions such as inflammatory bowel diseases, ischemia, mechanical injury and surgical procedures. This grant will address mechanisms by which the mucosal lining heals after such damage. Knowledge gained from these studies in the short term will provide a better understanding of basic mechanisms by which wound healing is controlled, and in the long term, these studies will aid in the development of new therapeutic strategies aimed at promoting mucosal wound repair.   
      

",NIDDK,2R01DK055679-16,2,R01,DK,16,,1998-08-01,2015-03-15,Gastrointestinal Mucosal Pathobiology Study Section[GMPB],,"NUSRAT, ASMA ",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2014-05-15,2015-03-15,,847.0,Non-SBIR/STTR,2014,429367.0,,NIDDK,275235.0,154132.0,,429367.0,"intestinal, mucosal, wound",4,"Georgia Tech Research Corporation; PTM Therapeutics, Inc.; Bolder Biotechnology, Inc.",3
Assessing Differential Dyadic Mechanisms of Womenes Sexual Functioning,Behavioral and Social Science; Contraception/Reproduction; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Racial and Ethnic Minority Health Research; Social Determinants of Health; Women's Health Research,"Public Health Relevance Statement
This project will study romantic relationship influences on female sexual dysfunction. It will also establish which messages about sexual functioning align most with distinct demographic and attitudinal profiles of womenes romantic partners, providing an evidence base upon which to develop or adapt dyadic sexual functioning interventions for women and their partners.",NICHD,1R01HD114116-01,1,R01,HD,1,,2024-09-20,2029-05-31,"Social Psychology, Personality and Interpersonal Processes Study Section[SPIP]",,"HARGONS, CANDICE ",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2024-09-20,2025-05-31,,865.0,Non-SBIR/STTR,2024,649435.0,,NICHD,450507.0,198928.0,,649435.0,"Dyadic, Sexual Functioning, Women",0,0,0
