Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Soulez, Gilles",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Operating Grant,201103MOP,Medical Physics & Imaging,"Monitoring of abdominal aortic aneurysm after endovascular repair by ultrasound elastography: feasibility, optimization and validation","$631,588 ", $-   , $-   ,,4 yrs 0 mth ,Circulatory and Respiratory Health,ATHEROSCLEROSIS; MULTIDISCIPLINARY; CARDIOVASCULAR; IMAGING,10/1/2011,2015-09-30,0,"abdominal aortic aneurysm, ultrasound elastography, endovascular repair"
"Santerre, Paul",University of Toronto,Ontario,Operating Grant,201009MOP,Biomedical Engineering,Monocyte directed tissue regeneration of a blood vessel substitute using a pro-cellular degradable tubular scaffold,"$379,080 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); ATHEROSCLEROSIS; CARDIOVASCULAR; HEALTH RESEARCH,4/1/2011,2014-03-31,0,"monocyte, tissue regeneration, blood vessel"
"Santerre, Paul",University of Toronto,Ontario,Operating Grant,201403MOP,Biomedical Engineering,Monocyte directed tissue regeneration of a blood vessel substitute using a pro-cellular degradable tubular scaffold,"$482,574 ", $-   , $-   ,,4 yrs 0 mth ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); ATHEROSCLEROSIS; CARDIOVASCULAR; HEALTH RESEARCH,7/1/2014,2018-06-30,0,"monocyte, tissue regeneration, blood vessel"
"Seuntjens, Jan P",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,200909MOP,Medical Physics & Imaging,"Monte Carlo-based mixed electron/photon beam inverse treatment planning, delivery and verification","$300,000 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; HEALTH RESEARCH,4/1/2010,2015-03-31,2,"Monte Carlo, electron/photon, beam"
"Fenster, Aaron",Western University (Ontario),Ontario,Operating Grant,201503MOP,Medical Physics & Imaging,MR-Guided Focal Laser Thermal Ablation for Prostate Cancer therapy,"$419,820 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; IMAGING; CANCER,7/1/2015,2017-06-30,0,"MR-guided, laser ablation, prostate cancer"
"Fenster, Aaron",Western University (Ontario),Ontario,Operating Grant,201405MOP,Medical Physics & Imaging,MR-Guided Focal Laser Thermal Ablation of Prostate Cancer therapy,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; IMAGING; CANCER,10/1/2014,2015-09-30,0,"MR, Laser, Prostate"
"Wright, Graham A","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,201709PJT,Medical Physics & Imaging,MR-Guided Management of Occlusive Peripheral Arterial Disease,"$791,775 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences",4/1/2018,2023-03-31,2,"MR, Peripheral Arterial Disease, Occlusive"
"Wright, Graham A","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Operating Grant,201209MOP,Medical Physics & Imaging,MR-Guided Revascularization of Occlusive Peripheral Arterial Disease,"$562,215 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,ATHEROSCLEROSIS; IMAGING; CARDIOVASCULAR,4/1/2013,2018-03-31,0,"MR, Revascularization, Peripheral Arterial Disease"
"Lau, Angus Z","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,202010PJT,Medical Physics & Imaging,MR-Linac guided adaptive radiotherapy in glioblastoma multiforme,"$558,450 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biomedical Imaging,4/1/2021,2026-03-31,0,"MR, radiotherapy, glioblastoma"
"Masson, Jean-Yves",Universite Laval,Quebec,Operating Grant,200909MOP,Cancer Biology & Therapeutics,MRE11-RAD50-NBS1: at the crossroads of DNA double-strand break repair and Fanconi anemia,"$821,551 ", $-   , $-   ,,5 yrs 0 mth ,Genetics,CANCER THERAPY GENERAL; BREAST CANCER; BIOCHEMISTRY; CANCER,4/1/2010,2015-03-31,0,"DNA repair, double-strand break, Fanconi anemia"
