Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Kolios, Michael C",Toronto Metropolitan University,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Characterization of blood storage lesions using photoacoustic technologies,"$242,595 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,BLOOD; ANAEMIAS; BIOPHYSICS,4/1/2014,2017-03-31,3,"blood, photoacoustic, lesions"
"Grant, Michael D",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Vaccines,202005VR1,COVID-19 Rapid Research - Vaccines,Characterization of Cellular and Humoral Immunity Against SARS-CoV-2, $-   , $-   ,"$497,175 ",Public Health Agency of Canada,1 yr 0 mth ,Infection and Immunity,VIRAL; HEALTH PROMOTION; IMMUNOLOGY-TRANSPLANTATION; VIROLOGY,9/1/2020,2021-08-31,0,"Cellular immunity, Humoral immunity, SARS-CoV-2"
"Roux, Sophie",Universite de Sherbrooke,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Characterization of Covid-19 infection in rheumatoid arthritis patients- the CoViD-in-RA project,"$502,775 ", $-   , $-   ,,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT",6/1/2020,2021-05-31,0,"Covid-19, rheumatoid arthritis, infection"
"Sadar, Marianne D",University of British Columbia,British Columbia,Operating Grant,201009MOP,Cancer Progression & Therapeutics,Characterization of EPI-001 for the treatment of prostate cancer,"$498,929 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; MOLECULAR BIOLOGY,4/1/2011,2014-03-31,0,"EPI-001, prostate cancer"
"Dellaire, Graham P",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,201709PJT,Cancer Biology & Therapeutics,Characterization of HR-Killer1 and identification of small molecules for cancer therapy and enhanced gene editing using CRISPR/Cas9-based DNA repair strategies,"$1,063,350 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Molecular, Cellular and Systems Biology-Molecular Biology; Molecular Biology - DNA Repair Genetics - Gene therapy",4/1/2018,2023-03-31,0,"HR-Killer1, small molecules, CRISPR"
"Pause, Arnim P",McGill University,Quebec,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Progression & Therapeutics,Characterization of human TFE3 isoforms as drivers in breast cancer,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Mechanisms of Carcinogenesis,3/1/2023,2024-02-29,0,"TFE3, isoforms, breast cancer"
"Gorczynski, Reginald M",University Health Network (Toronto),Ontario,Operating Grant,201003MOP,Cancer Progression & Therapeutics 2,Characterization of importance of sCD200 levels for prognosis in CLL patients,"$599,397 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER; BLOOD,10/1/2010,2015-09-30,1,"sCD200, prognosis, CLL"
"Tyrrell, D. Lorne J",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Characterization of interferon-lambda 1 as a treatment for COVID-19,"$499,775 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,VIRAL; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,6/1/2020,2021-05-31,0,"interferon-lambda, COVID-19"
"Turcotte, Sandra",Universite de Moncton (New Brunswick),New Brunswick,Project Grant - Priority Announcement: Cancer Research,202209PJS,Cancer Progression & Therapeutics 2,Characterization of PIKfyve as novel therapeutic target in clear cell Renal Cell Carcinoma,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,3/1/2023,2024-02-29,0,"PIKfyve, renal cell carcinoma, characterization"
"Schild-Poulter, Caroline",Western University (Ontario),Ontario,Operating Grant,201103MOP,Cancer Biology & Therapeutics,Characterization of RanBPM function in apoptosis and cell transformation,"$335,472 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,MULTIPLE DISEASE RELEVANCE; BREAST CANCER; CANCER; MOLECULAR BIOLOGY,10/1/2011,2014-09-30,0,"RanBPM, apoptosis, cell transformation"
"Casper, Robert F",Sinai Health System (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,Characterization of the bioenergetic and metabolic function of mitochondria isolated from oocyte precursor stem cells.,"$911,700 ", $-   , $-   ,,5 yrs 0 mth ,"Human Development, Child and Youth Health",INFERTILITY FEMALE; AGING; REPRODUCTION/PREGNANCY; CELL BIOLOGY,4/1/2015,2020-03-31,0,"mitochondria, bioenergetic, stem cells"
"Velenosi, Thomas J",University of British Columbia,British Columbia,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Progression & Therapeutics 2,Characterizing and validating diacetylspermine as a metabolic biomarker of drug response and precision treatment in triple-negative breast cancer,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,3/1/2023,2024-02-29,0,"diacetylspermine, biomarker, breast cancer"
"Drangova, Maria",Western University (Ontario),Ontario,Project Grant,201803PJT,Medical Physics & Imaging,Characterizing cerebral thrombus composition with Phase-based MRI,"$881,664 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,Biomedical Engineering-Biomedical Imaging,10/1/2018,2023-09-30,0,"cerebral thrombus, MRI, phase-based"
"Velenosi, Thomas J",University of British Columbia,British Columbia,Project Grant,202403PJT,Cancer Progression & Therapeutics 2,Characterizing diacetylspermine as a biomarker of drug response and precision treatment in triple-negative breast cancer,"$979,200 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,3/1/2024,2025-02-28,0,"diacetylspermine, biomarker, breast cancer"
"Velenosi, Thomas J",University of British Columbia,British Columbia,Project Grant - PA: Breast Cancer Research,202309PLL,Cancer Progression & Therapeutics 2,Characterizing diacetylspermine as a biomarker of drug response and precision treatment in triple-negative breast cancer,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,3/1/2024,2025-02-28,0,"diacetylspermine, biomarker, breast cancer"
"Brennand, Erin A",University of Calgary,Alberta,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Characterizing the impact of hysterectomy on female physiology: A proof-of-concept cohort study in pelvic organ prolapse patients,"$150,000 ", $-   , $-   ,,1 yr 0 mth ,Gender and Health,GENITO/URINARY SYSTEM; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY; HEALTH RESEARCH,2/1/2024,2025-01-31,0,"hysterectomy, physiology, pelvic organ prolapse"
"Alman, Benjamin A",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201203MOP,Cancer Progression & Therapeutics,Characterizing the Sarcoma Tumor Initiating Cell: Implications for the Development of Novel Treatments for Undifferentiated Pleomorphic Sarcoma,"$732,722 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"BONE CANCER; BONE CANCER THERAPY; CANCER; MUSCLE, BONE, OR JOINT",10/1/2012,2017-09-30,0,"Sarcoma, Tumor, Cell"
"Hope, Kristin",University Health Network (Toronto),Ontario,Project Grant,202209PJT,Cancer Progression & Therapeutics,Characterizing the stress granule network as a determinant of leukemic stem cells and novel therapeutic target in acute myeloid leukemia,"$956,250 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Cancer Progression and Metastasis,4/1/2023,2028-03-31,0,"stress granule, leukemic stem cells, acute myeloid leukemia"
"Perrin, David M",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cancer Biology & Therapeutics,Chemical Biology of Amanitin-Induced Transcriptional Inhibiton,"$357,800 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"CANCER THERAPY GENERAL; MULTIDISCIPLINARY; BIOCHEMISTRY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2010,2014-09-30,0,"Amanitin, Transcription, Inhibition"
"Baker, Kristi",University of Alberta,Alberta,Project Grant,201809PJT,Cancer Biology & Therapeutics,Chemokine-mediated control of anti-tumor immunity in DNA-repair deficient colorectal cancer,"$765,000 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",4/1/2019,2024-03-31,1,"Chemokine, DNA-repair, colorectal cancer"
"Muller, William J",McGill University,Quebec,Project Grant,202303PJT,Cancer Biology & Therapeutics,Chi3L1 (YKL-40) plays a multifaceted role in modulating tumor immune microenvironment during breast cancer progression.,"$1,277,550 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis,10/1/2023,2028-09-30,0,"Chi3L1, immune microenvironment, breast cancer"
"Muller, William J",McGill University,Quebec,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Biology & Therapeutics,Chi3L1 (YKL-40) plays a multifaceted role in modulating tumor immune microenvironment during breast cancer progression.,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis,10/1/2023,2028-09-30,0,"Chi3L1, immune microenvironment, breast cancer"
"Buschmann, Michael D",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Chitosan-siRNA nanoparticles for gene silencing in Atherosclerosis and Cancer,"$339,912 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,BREAST CANCER THERAPY; ATHEROSCLEROSIS; CANCER; CARDIOVASCULAR,4/1/2013,2016-03-31,4,"Chitosan, siRNA, nanoparticles"
"Buschmann, Michael D",Polytechnique Montreal,Quebec,"Operating Grant - PA: Inst of Nutrition, Metabolism and Diabetes -Bridge Funding",200903NMD,Biomedical Engineering,Chitosan/Plasmid-DNA Polyelectrolyte Complexes for Delivery of Glucagon-Like Peptide-1 (GLP-1) in Diabetes Type 2 Models,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; OBESITY; METABOLISM/DIABETES; BIOPHYSICS,10/1/2009,2010-09-30,1,"Chitosan, Plasmid-DNA, GLP-1"
"Herzog, Walter",University of Calgary,Alberta,Operating Grant,201009MOP,Biomedical Engineering,Chondrocyte mechanics and biology in the intact joint: towards an understanding of osteoarthritis development in vivo,"$528,435 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT; MOLECULAR BIOLOGY",4/1/2011,2016-03-31,0,"chondrocyte, biomechanics, osteoarthritis"
"Goodarzi, Aaron",University of Calgary,Alberta,Operating Grant,201109MOP,Cancer Biology & Therapeutics,Chromatin remodeling dynamics during human DNA double strand break repair,"$758,975 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; AGING; CELL BIOLOGY; MOLECULAR BIOLOGY,4/1/2012,2017-03-31,0,"chromatin remodeling, DNA repair, double strand break"
"Nijnik, Anastasia",McGill University,Quebec,Project Grant,202303PJT,Cancer Progression & Therapeutics,Chromatin-binding deubiquitinase MYSM1 as a putative drug target for cMYC-driven B cell lymphoma,"$761,176 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Mechanisms of Carcinogenesis; Genetics-Molecular and Functional Genetics and Epigenetics; Molecular, Cellular and Systems Biology-Structure and Function of Macromolecules; Cancer> Cancer Drug Development and Therapeutics",10/1/2023,2028-09-30,0,"chromatin, deubiquitinase, lymphoma"
"Done, Susan J",University Health Network (Toronto),Ontario,Project Grant,201809PJT,Cancer Progression & Therapeutics 2,Circulating tumour cells and breast cancer heterogeneity,"$1,021,275 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2019,2024-03-31,0,"circulating tumour cells, breast cancer, heterogeneity"
"Bardakjian, Berj L",University of Toronto,Ontario,Operating Grant,201209MOP,Biomedical Engineering,Classification and control of the electrical activities in the brain's neural networks under epileptic seizure conditions,"$418,000 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",EPILEPSY; MENTAL DISABILITY; BIOPHYSICS; NERVOUS SYSTEM,4/1/2013,2018-03-31,4,"brain, neural networks, epilepsy"
"Siegel, Peter M",McGill University,Quebec,Operating Grant,201403MOP,Cancer Progression & Therapeutics,Claudin-2 as a Prognostic and Therapeutic Target in Breast Cancer Liver Metastasis,"$761,594 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; MOLECULAR BIOLOGY,7/1/2014,2019-06-30,0,"Claudin-2, Breast Cancer, Liver Metastasis"
"Wootton, Sarah",University of Guelph,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Clinical Advancement of an AAV Lung Gene Therapy Platform for the Treatment of Monogenic Lung Diseases,"$280,788 ","$25,000 ", $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,VIRAL; RESPIRATION; VIROLOGY,4/1/2020,2023-03-31,0,"AAV, gene therapy, lung"
"Tabori, Uri",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201203MOP,Cancer Progression & Therapeutics,Clinical and biological implications of monoallelic gene expression in pediatric malignant brain tumors.,"$573,543 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); BRAIN TUMORS THERAPY; CANCER; MOLECULAR BIOLOGY,10/1/2012,2016-09-30,1,"monoallelic gene expression, pediatric brain tumors, malignancy"
"Huntsman, David G",University of British Columbia,British Columbia,Operating Grant,200903MOP,Cancer Progression & Therapeutics,Clinical and functional significance of a pathognomonic FOXL2 mutation in granulosa cell tumours of the ovary,"$538,998 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"NEOPLASMS; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2009,2013-09-30,3,"FOXL2, granulosa cells, tumours"
"Purdie, Thomas G",University Health Network (Toronto),Ontario,Project Grant,202203PJT,Medical Physics & Imaging,Clinical Deployment of an End-to-End Artificial Intelligence (AI)-only Radiotherapy Treatment Planning and Decision Support Workflow,"$711,450 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Artificial Intelligence-Machine Learning; Cancer-Clinical Oncology,10/1/2022,2027-09-30,0,"Artificial Intelligence, Radiotherapy, Planning"
"Pelletier, Joelle N",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Clinical evaluation of surface-plasmon resonance and nanoparticle-based fluorescent detection of serum biomarkers,"$328,059 ", $-   , $-   ,,3 yrs 0 mth ,Genetics,PROSTATE AND BLADDER CANCER THERAPY; LEUKAEMIAS; CANCER; BIOCHEMISTRY,4/1/2013,2016-03-31,0,"surface-plasmon resonance, nanoparticle, biomarkers"
"Chung, Caroline",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,"Clinical Investigation of Frameless, Adaptive, Image-guided Gamma Knife Radiosurgery","$264,656 ","$2,000 ", $-   ,,3 yrs 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; CANCER THERAPY GENERAL; CANCER; NERVOUS SYSTEM,4/1/2016,2019-03-31,0,"Gamma Knife, Image-guided, Radiosurgery"
"Adamson, Robert B",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202109PJT,Medical Physics & Imaging,Clinical optical coherence tomography of the middle ear,"$313,652 ", $-   , $-   ,,4 yrs 0 mth ,"Human Development, Child and Youth Health",Biomedical Engineering-Biomedical Imaging,4/1/2022,2026-03-31,2,"optical coherence tomography, middle ear"
"Singh, Sheila K",McMaster University,Ontario,Operating Grant,201303MOP,Cancer Biology & Therapeutics,Clonal evolution of medulloblastoma BTICs (brain tumor initiating cells) in response to therapy: Discovering the refractory BTIC population through genes regulating stem cell self-renewal,"$554,057 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); BRAIN TUMORS THERAPY; CANCER; MOLECULAR BIOLOGY,10/1/2013,2018-09-30,2,"medulloblastoma, BTICs, stem cell"
"Karsan, Aly",University of British Columbia,British Columbia,Project Grant,202203PJT,Cancer Progression & Therapeutics 2,Clonal interactions in myeloid malignancy,"$1,025,100 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Molecular, Cellular and Systems Biology-Systems Biology",10/1/2022,2027-09-30,0,"clonal interactions, myeloid malignancy"
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Closed-Loop Control of Anesthesia,"$309,194 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,MULTIDISCIPLINARY; NONE OF THE ABOVE; HEALTH RESEARCH; NOT CLASSIFIED,4/1/2013,2016-03-31,2,"Closed-Loop, Control, Anesthesia"
"Kremer, Richard B",McGill University,Quebec,Operating Grant,200909MOP,Cancer Progression & Therapeutics,Co-targeting parathyroid-hormone related protein (PTHrP) signaling and osteoclast activation to counter breast cancer metastasis to bone,"$506,268 ", $-   , $-   ,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,BREAST CANCER; BONE CANCER,4/1/2010,2014-03-31,0,"PTHrP, osteoclast, metastasis"
"Kremer, Richard B",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201503MOP,Cancer Progression & Therapeutics,Co-targeting parathyroid-hormone related protein (PTHrP) signaling and osteoclast activation to counter breast cancer metastasis to bone,"$739,955 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,BREAST CANCER; BONE CANCER,7/1/2015,2020-06-30,0,"PTHrP, osteoclast, metastasis"
"Rak, Janusz",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201309MOP,Cancer Progression & Therapeutics 2,Coagulation system effectors as regulators of tumour dormancy and therapeutic targets,"$710,040 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,NEOPLASMS; BRAIN TUMORS THERAPY; CANCER; BLOOD,4/1/2014,2015-06-30,0,"coagulation, tumour, dormancy"
"Godin, Michel",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Cocooning Therapeutic Cells,"$261,805 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; MULTIPLE DISEASE RELEVANCE; HEALTH RESEARCH; BIOPHYSICS,4/1/2015,2018-03-31,0,"Cocooning, Therapeutic Cells"
"Wilansky, Pamela",Centre for Addiction and Mental Health (Toronto),Ontario,Operation:eHealth Innov Partnership Program(eHIPP)-Youth &Adolescent Mental Hlth,201506EH1,eHealth Innovation Partnership Program (eHIPP): Youth and Adolescents Mental Health,Cognitive Behavior Therapy for Anxious and Depressed Youth: Improving Outcomes through Mobile Technology,"$728,345 ", $-   , $-   ,,4 yrs 0 mth ,"Human Development, Child and Youth Health",MENTAL AND BEHAVIOURAL DISEASES; HEALTH CARE DELIVERY; MENTAL HEALTH; PSYCHOSOCIAL/HEALTH BEHAVIOURAL RES.,10/1/2015,2019-09-30,0,"Cognitive Behavior Therapy, Mobile Technology, Youth"
"Frampton, John P",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202203PJT,Biomedical Engineering 2,Collagen Fiber Scaffolds for Emergency Treatment of Corneal Injury,"$952,426 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Biomedical Engineering-Regenerative Medicine and Tissue Engineering",10/1/2022,2027-09-30,0,"Collagen, Fiber, Corneal"
"Holdsworth, David W",Western University (Ontario),Ontario,Project Grant,202209PJT,Medical Physics & Imaging,Combined gamma probe and ultrasound imaging system for cancer surgery,"$807,075 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging; Cancer-Cancer Drug Development and Therapeutics,7/1/2023,2028-06-30,0,"gamma probe, ultrasound, imaging"
"Korneluk, Robert G",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Operating Grant,201309MOP,Cancer Progression & Therapeutics 2,Combined IAP antagonism and immunotherapy for cancer treatment,"$794,885 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; CELL BIOLOGY,4/1/2014,2019-03-31,0,"IAP, immunotherapy, cancer"
"Korneluk, Robert G",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant,201803PJT,Cancer Progression & Therapeutics 2,Combined IAP antagonism and immunotherapy for cancer treatment,"$937,126 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; CELL BIOLOGY,4/1/2014,2019-03-31,0,"IAP, immunotherapy, cancer"
"Bouffet, Eric",Hospital for Sick Children (Toronto),Ontario,Project Grant,201909PJT,Cancer Progression & Therapeutics,Combined MEK inhibition and metronomic chemotherapy for recurrent/refractory paediatric low grade gliomas,"$1,526,175 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Pediatric Cancer,4/1/2020,2025-03-31,0,"MEK inhibition, chemotherapy, gliomas"
"Stanisz, Greg J","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,202403PJT,Medical Physics & Imaging,"Combining Advanced Metabolic MRI with Genomics to Refine the Treatment Paradigm for Grade 2/3 IDH-wildtype Astrocytoma (""Molecular Glioblastoma"")","$787,950 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Neurosciences-Neurological disorders,10/1/2024,2029-09-30,0,"Metabolic MRI, Genomics, Astrocytoma"
"Bherer, Louis","CIUSSS du Centre-Sud-de-l'ele-de-Montreal (Montreal, Quebec)",Quebec,Operating Grant : Adv Theoretical Meth Innov Hlth Res-Longitudinal Studies Aging,201110TO1,Operating Grant: Innovations in Health Research,Combining functional near infra-red spectroscopy and dual-task walking to track preclinical motor and cognitive declines and their evolution in aging individuals.,"$140,000 ","$60,000 ", $-   ,,2 yrs 0 mth ,Aging,AGING; MULTIDISCIPLINARY; HEALTH RESEARCH,2/1/2012,2014-01-31,0,"near-infrared spectroscopy, dual-task walking, aging"
"Walsh, Logan A",McGill University,Quebec,Project Grant,202403PJT,Cancer Progression & Therapeutics 2,Combining highly multiplexed imaging data with AI to unlock new predictive biomarkers for lung cancer,"$1,109,250 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,10/1/2024,2029-09-30,0,"multiplexed imaging, AI, biomarkers"
"Kim, Keekyoung",University of Calgary,Alberta,Project Grant,202203PJT,Biomedical Engineering,Computational modeling of anatomy guided 3D vasculature network for organ bioprinting and regeneration,"$114,750 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Methods Development and Modelling-Computational Biology,10/1/2022,2023-09-30,0,"computational modeling, vasculature, bioprinting"
"Moradi, Mehdi",University of British Columbia,British Columbia,Operating Grant - PA: Cancer Research (bridge funding),201309IC1,Medical Physics & Imaging,Computational multimodal radiologic profiling as a prognostic biomarker for individualized prostate cancer therapy,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER,3/1/2014,2015-02-28,3,"computational, radiologic, prostate cancer"
"Johnson, James A",Western University (Ontario),Ontario,Operating Grant,200809MOP,Biomedical Engineering,Computer Assisted Surgery of the Elbow,"$386,369 ", $-   , $-   ,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",4/1/2009,2013-03-31,1,"Computer, Surgery, Elbow"
"Krause, Juergen",University of Prince Edward Island (Charlottetown),Prince Edward Island,Operation:eHealth Innov Partnership Program(eHIPP)-Youth &Adolescent Mental Hlth,201506EH1,eHealth Innovation Partnership Program (eHIPP): Youth and Adolescents Mental Health,Computer Based Training for Cognitive Behavioral Therapy (CBT4CBT) for Improved  Addiction Treatment in Canadian Youth,"$618,797 ", $-   , $-   ,,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MENTAL AND BEHAVIOURAL DISEASES; PSYCHO-SOCIAL AND BEHAVIOURAL RESEARCH; MENTAL HEALTH; HEALTH RESEARCH,10/1/2015,2019-09-30,0,"Computer, Behavioral Therapy, Addiction"
"Cherkasov, Artem",University of British Columbia,British Columbia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Computer-aided discovery of synergistic drug combinations with Remdevisir for COVID-19 through mechanism-based drug repurposing and combinatorial organoid screening.,"$2,109,120 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; DRUG RESEARCH; INTERNATIONAL HEALTH,6/1/2020,2021-05-31,0,"drug combinations, COVID-19, organoid screening"
"Tavakoli, Mahdi",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Computer-Integrated Ultrasound Guidance and Mechatronics Assistance for Breast Brachytherapy,"$219,829 ","$27,671 ", $-   ,,3 yrs 0 mth ,Cancer Research,BREAST CANCER THERAPY; CANCER,4/1/2018,2021-03-31,1,"Ultrasound, Guidance, Brachytherapy"
"Mckeown, Martin J",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,"Confidential Automatic Monitoring, Examination, and Recognition of disease Activity (CAMERA): Application to Parkinson and Alzheimer Diseases","$517,818 ","$61,140 ", $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; ALZHEIMER'S DISEASE; NERVOUS SYSTEM; ETHICS,4/1/2019,2022-03-31,0,"Automatic, Monitoring, Disease"
"Tabrizian, Maryam",McGill University,Quebec,Project Grant,202104PJT,Biomedical Engineering,Conformal coating using layer-by-layer self-assembly of polyelectrolytes for immunomodulation of pancreatic islets,"$849,150 ", $-   , $-   ,,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Digestive, Endocrine and Excretory Systems-Metabolism and Disease (including Obesity, Diabetes and Metabolomics); Molecular, Cellular and Systems Biology-Cell Signaling",10/1/2021,2026-09-30,0,"conformal coating, layer-by-layer, polyelectrolytes"
