Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External Funding,External Funding Partner,Term_Years_Months
"Attisano, Liliana; Louis, Sharon A; Yip, Christopher M",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,A vascularized human organoid platform for disease modelling and preclinical testing,$0,$0,"$1,305,150",Natural Sciences and Engineering Research Council of Canada (NSERC),3 yrs 0 mth 
"Byers, David M",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Lead optimization of new antibacterials/antimalarials that target ACP synthase,"$76,760",$0,,,1 yr 0 mth 
"Walker, Gilbert C; Wang, Chen",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Improved Diagnosis of Leukemia Using Highly Multiplexed Surface Enhanced Raman Scattering Nanoparticles,"$100,000",$0,,,2 yrs 0 mth 
"Sheardown, Heather D",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Silicone hydrogel contact lens based delivery system for glaucoma treatment,"$102,000",$0,,,3 yrs 0 mth 
"Després, Philippe",Université de Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of an automated blood counter for quantitative molecular imaging applications,"$122,550",$0,,,3 yrs 0 mth 
"Mousavi, Parvin; Fenster, Aaron; Romagnoli, Cesare","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,RF Time Series Flashlight for Targeted Prostate Biopsy,"$126,440",$0,,,3 yrs 0 mth 
"Fichtinger, Gabor; Rudan, John F","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Mobile Image Overlay System (MIOS) for Musculoskeletal Needle Placement Guidance,"$138,013",$0,,,3 yrs 0 mth 
"Lai, Yongjun","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,"""Laser-adjustable"" sutures for glaucoma trabeculectomy surgery","$138,215",$0,,,3 yrs 0 mth 
"Tavakoli, Mahdi; Sloboda, Ronald S; Usmani, Nawaid",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,An Intelligent Needle Adjustment Assistant for Prostate Brachytherapy,"$147,327",$0,,,3 yrs 0 mth 
"Salcudean, Septimiu E",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Image guidance for radical prostatectomy,"$147,584",$0,,,3 yrs 0 mth 
"Radisic, Milica; Nanthakumar, Kumaraswamy",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Platform technology for maturation of human stem cell derived cardiomyocytes and cardiotoxicity screening,"$149,788",$0,,,3 yrs 0 mth 
"Després, Philippe; Longtin, Jean; BERAUD, Guillaume; Déziel, Pierre-Luc",Université Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,"Prédire l'évolution de l'hépatite C par la fédération de données et l'intelligence artificielle : enjeux éthiques, juridiques, sociaux et de vie privée","$156,330",$0,,,3 yrs 0 mth 
"Schreiner, L. John; Falkson, Conrad B; Fichtinger, Gabor; Mcauley, Kim B","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Gel dosimetry for brachytherapy dose delivery validation,"$157,870",$0,,,3 yrs 0 mth 
"Ellis, Randy E","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Kinematics-Based Navigation for Reconstructive Hip Surgery,"$159,435",$0,,,3 yrs 0 mth 
"Waddell, Thomas K",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Advanced tissue engineering strategies for generating replacement tracheal tissues,"$160,876",$0,,,3 yrs 0 mth 
"Khan, Kamran; Arino, Julien",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,"Protecting Canadian Health, Security, and Prosperity through the Novel Integration of Global Epidemic Surveillance and Risk Modelling Technologies","$161,227",$0,,,2 yrs 0 mth 
"Stewart, James","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,New Methods for Articular Cartilage Repair through Computer-Assisted Surgery,"$161,270",$0,,,3 yrs 0 mth 
"Barthelat, Francois; Tanzer, Michael",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,"Novel multilayered synthetic structural bone graft materials which combine biocompatibility, biodegradability and high toughness.","$163,222",$0,,,3 yrs 0 mth 
"Scollie, Susan D; Purcell, David W",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Rapid measures of speech-evoked brainstem activity in infants who have hearing loss: Assessing hearing aid benefit for speech sounds.,"$164,423",$0,,,3 yrs 0 mth 
"Yee, Albert J; Whyne, Cari M",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,"Image-guided Radiofrequency Ablation (RFA) - Development, Validation, and Integration of Multimodality Treatment Planning for Vertebral Tumors","$165,000",$0,,,3 yrs 0 mth 
"Adams, Kimberley D; Tavakoli, Mahdi",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Robotic interface with Haptic Guidance and Artificial Intelligence for People with Disabilities,"$166,500",$0,,,3 yrs 0 mth 
"Amsden, Brian G; Hurtig, Mark B","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Articular Cartilage Reconstruction,"$168,002",$0,,,3 yrs 0 mth 
"Tang, Shuo; Nguan, Christopher",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Photoacoustic Imaging for Image Guided Prostate Cancer Interventions,"$172,625",$0,,,3 yrs 0 mth 
"Patel, Rajnikant V",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,A novel platform for minimally invasive tumor localization and treatment,"$172,662",$0,,,3 yrs 0 mth 
"Juncker, David",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Rapid detection of MRSA and identification of strain using an autonomous microfluidic chip with bacteriophages,"$173,500",$0,,,3 yrs 0 mth 
"Langlois, Robert; Whyte, Hilary E; Chan, Adrian D; Green, James; Redpath, Stephanie",Carleton University (Ottawa),Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Reducing vibrations to improve infant patient safety during transportation,"$174,703","$86,730",,,3 yrs 0 mth 
"Eizenman, Moshe",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Objective assessment of visual acuity in pre-verbal subjects,"$176,798",$0,,,3 yrs 0 mth 
"Menon, Carlo","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Robotic assisted transcranial magnetic stimulation therapy,"$180,100",$0,,,3 yrs 0 mth 
"Harvey, Edward J; Henderson, Janet E",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,IMPLANTABLE MICRO-DEVICE to MONITOR MUSCLE COMPARTMENT PRESSURE in TRAUMA VICTIMS,"$180,569",$0,,,3 yrs 0 mth 
"Steele, Russell J; Shrier, Ian",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Causal Modeling of Recurrent Injury Data,"$181,250",$0,,,3 yrs 0 mth 
"Mcfadyen, Bradford J; Edwards, Geoffreyjen; Laurendeau, Denis; Zabjek, Karl F",Université Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Body-Environment Proximity Measurement: An integrated approach to measuring mobility deficits for assessment and treatment,"$181,578",$0,,,3 yrs 0 mth 
"Marcotte, Isabelle",Université du Québec à Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Improved membrane permeation assays for drug bioavailability assessment,"$184,000",$0,,,3 yrs 0 mth 
"Schmidt, Tannin A",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Biointerface science:  proteoglycan 4 (PRG4) with and without hyaluronic acid as a novel ocular surface boundary lubricant & contact lens coating,"$184,000",$0,,,3 yrs 0 mth 
"St. Lawrence, Keith S; Lee, David S",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,The need for neuromonitoring during the golden hour to prevent preterm brain injury,"$185,373",$0,,,3 yrs 0 mth 
"Pichora, David R","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,"Advanced real-time 3D imaging, planning and navigation of fracture surgery","$185,985",$0,,,3 yrs 0 mth 
"Ladak, Hanif M; Agrawal, Sumit K",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Mastoidectomy Simulator for Surgical Training and Rehearsal,"$186,200",$0,,,3 yrs 0 mth 
"Hafeli, Urs O",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Microneedle-Based Painless Drug Monitoring System in Interstitial Fluid,"$187,007",$0,,,3 yrs 0 mth 
"Goldenberg, Andrew A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,MRI-Guided Focal Ablation of Prostate Cancerous Tissue,"$187,500",$0,,,3 yrs 0 mth 
"Mousavi, Parvin; Zahiri Azar, Reza; Engel, Cecil J; Fichtinger, Gabor","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,An integrated spectroscopy-ultrasound surgical navigation system for residual cancer detection in breast surgery.,"$188,350","$10,000",,,3 yrs 0 mth 
"Lesage, Frédéric; Nguyen, Dang K",Polytechnique Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,EEG-fNIRS monitoring for critically ill patients,"$189,250",$0,,,3 yrs 0 mth 
"Liu, Song",University of Manitoba,Manitoba,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,"""Interpenetrating network of a well-defined PEG hydrogel and two biocides as advanced solutions for burn wound care""","$192,009",$0,,,3 yrs 0 mth 
"Van Veggel, Frank C",University of Victoria (British Columbia),British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Antibody-nanoparticle conjugates as molecular imaging agents for solid brain tumour (glioma),"$192,279",$0,,,3 yrs 0 mth 
"Nguan, Christopher; Rohling, Robert N; Salcudean, Septimiu E",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Development of an Ultrasound based Elastography System for Renal Transplantation,"$194,000",$0,,,3 yrs 0 mth 
"Fichtinger, Gabor; Engel, Cecil J","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Real-time Breast Cancer Surgery Navigation,"$194,419",$0,,,3 yrs 0 mth 
"Boyd, Lara; Menon, Carlo",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,ARMS UP/Assisted Robotic Movement after Stroke using Brain Power: Controlling robotics with EEG,"$194,625",$0,,,3 yrs 0 mth 
"Macaulay, Calum E",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Co-Registered Autofluorescence and OCT Imaging of the Airways,"$197,637",$0,,,3 yrs 0 mth 
"Chan, Warren C",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Engineering low-cost nanotechnology based molecular diagnostics using paper,"$198,202",$0,,,3 yrs 0 mth 
"Wu, Jianhong; Morris, Andrew M","York University (Toronto, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,"Development of an Antimicrobial Resistance Diversity Index (ARDI) to guide initiatives and investment in public health, antimicrobial stewardship and infection control","$199,341",$0,,,3 yrs 0 mth 
"Hemmerling, Thomas M",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,McSleepy - the first completely automatic anesthesia delivery system,"$199,571",$0,,,3 yrs 0 mth 
"Smargiassi, Audrey; Eluru, Naveen; Hatzopoulou, Marianne; Morency, Catherine; Morency, Patrick",Université de Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Quantification of health risks and benefits of future transportation plans,"$200,000",$0,,,3 yrs 0 mth 
"Nadeau, Jay Louise",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Self-illuminating nanoparticles for melanoma therapy,"$200,625",$0,,,3 yrs 0 mth 
"Kadoury, Samuel; Roberge, David; Leblond, Frederic; Menard, Cynthia; Trudel, Dominique",Polytechnique Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Image-Guided Molecular Optical Spectroscopy for Tumor-Targeted Prostate Cancer Interventions,"$201,422","$71,937",,,3 yrs 0 mth 
"Grandbois, Michel",Université de Sherbrooke,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Label-free Monitoring of Cellular Signals by Surface Plasmon Resonance,"$202,090",$0,,,3 yrs 0 mth 
"Thompson, Michael",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Surface-oriented antibody capture of endothelial progenitor cells for the reduction of post-stent restenosis,"$203,674",$0,,,3 yrs 0 mth 
"Blaber, Andrew P","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,"Preventing postural hypotension, syncope and falls with smart materials and monitoring","$205,530",$0,,,3 yrs 0 mth 
"Cheyne, Douglas O",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of an MEG-compatible Articulography System for the Assessment of Brain Function and Oromotor Dynamics,"$205,592",$0,,,3 yrs 0 mth 
"Jardine, Andrew K",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Risk factors and optimization model for breast cancer screening,"$205,819",$0,,,3 yrs 0 mth 
"Allingham, John S; Evans, P A","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Preclinical Development of Natural Product-Based Agents as Anti-Cancer Drugs,"$206,646",$0,,,3 yrs 0 mth 
"Turner, Robin F; Blades, Michael W; Devine, Dana V",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Non-Invasive Probe to Assess the Quality and Suitability for Transfusion of Stored Red Blood Cells,"$206,647",$0,,,3 yrs 0 mth 
"Trejos, Ana Luisa; Friedman, Evan; Garland, S. J",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Mechatronic Device for Multimodal Suppression of Parkinsonian Tremor,"$207,246","$4,223",,,3 yrs 0 mth 
"McGuigan, Alison P; Wouters, Bradly",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,A tissue engineering platform to identify target combinations in tumour stoma to render tumours therapy sensitive,"$207,800",$0,,,3 yrs 0 mth 
"Eng, Janice J; Menon, Carlo",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Wearable sensors to promote arm and hand function after stroke,"$208,671",$0,,,3 yrs 0 mth 
"Mongrain, Rosaire",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a Biomechanical Model of the Aorta to Support Medical Decision and Prosthetic Design,"$209,250",$0,,,3 yrs 0 mth 
"Abolmaesumi, Purang",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Real time guidance surgical navigation system for scaphoid fracture fixation,"$209,350",$0,,,3 yrs 0 mth 
"Genov, Roman",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Fully implantable wireless multi-electrode ECoG monitoring system,"$210,000",$0,,,3 yrs 0 mth 
"Palmer, Michael",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Novel daptomycin-derived lipopeptide antibiotics for overcoming resistance in gram-positive bacteria,"$210,014",$0,,,3 yrs 0 mth 
"Bizzotto, Dan; Cheung, Karen C; Sammis, Glenn M; Tang, Patrick K",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Developing an electrochemical beacon detection method for pathogen nucleic acid speciation,"$211,250",$0,,,3 yrs 0 mth 
"Leblond, Frederic; Boudoux, Caroline; Collins, Donald L; Lesage, Frédéric; Petrecca, Kevin; Wilson, Brian C",Polytechnique Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Optical guidance for safe and effective brain tumor biopsy,"$211,407",$0,,,3 yrs 0 mth 
"Brudno, Michael; Bowdin, Sarah; Boycott, Kym M; Chitayat, David A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Computerized Patient Phenotyping to Connect Canadian Clinical Genetics Clinics,"$211,500",$0,,,3 yrs 0 mth 
"Klein, Raymond M",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Novel technologies for cognitive repair,"$212,735",$0,,,3 yrs 0 mth 
"Mequanint, Kibret; Battista, Jerry J; Bauman, Glenn S; Jordan, Kevin J",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Non-diffusing 3D gel dosimeters: A platform technology for dose verification and quality assurance in radiation therapy,"$213,650",$0,,,3 yrs 0 mth 
"Hodgson, Antony J; Guy, Pierre",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,"Using Three-Dimensional Ultrasound to Improve Diagnosis, Guide Surgery and Reduce Radiation in Orthopaedic Trauma and Pediatric Orthopaedics","$213,832",$0,,,3 yrs 0 mth 
"Yudin, Andrei",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Specific and cell-permeable molecular probes of capital function,"$216,000",$0,,,3 yrs 0 mth 
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,"The Phone Oximeter: A simple, mobile device for respiratory disease management in the community","$216,408",$0,,,3 yrs 0 mth 
"Adamson, Robert B",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,A high-efficiency ultrasonic power link for implantable medical devices,"$216,881",$0,,,3 yrs 0 mth 
"Buckeridge, David L",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Knowledge-Based Detection of Hospital Acquired Infections,"$218,060",$0,,,3 yrs 0 mth 
"Law, Edith; Lim, Andrew S",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,A framework for hybrid machine and human computation for the accurate and scalable analysis of human clinical EEG recordings,"$218,374",$0,,,3 yrs 0 mth 
"Kearney, Robert E; Rabasa-Lhoret, Rémi",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Developing and clinically testing a learning algorithm that optimizes the performance of the artificial pancreas,"$218,863",$0,,,3 yrs 0 mth 
"Cao, Xudong",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Biodegradable hollow fiber channels to allow drug delivery for stimulation and propagation of endogenous stem cells for repair of neural injury,"$219,092",$0,,,3 yrs 0 mth 
"Reisner, Walter W; Ao, Asangla; Leslie, Sabrina R; Sladek, Robert G",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Nanoconfinement Based Single-Cell Cytogenetic Platform for Pre-/Post-Implantation Genetic Diagnosis,"$219,185",$0,,,3 yrs 0 mth 
"Tavakoli, Mahdi; Kelley, Kevin; Husain, Siraj; Meyer, Tyler S; Sloboda, Ronald S; Usmani, Nawaid",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Computer-Integrated Ultrasound Guidance and Mechatronics Assistance for Breast Brachytherapy,"$219,829","$27,671",,,3 yrs 0 mth 
"Rudzicz, Frank; Hirst, Graeme; Jokel, Regina",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Automatic remote screening of speech features associated with Alzheimer's disease,"$220,133",$0,,,3 yrs 0 mth 
"Selvaganapathy, Ponnambalam R",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Microfluidic high-throughput screening device for C. elegans movement based assays,"$220,250",$0,,,3 yrs 0 mth 
"Borschel, Gregory H; Gordon, Tessa; Shoichet, Molly S",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Enhancement of nerve regeneration with controlled release of neurotrophic factors,"$220,356",$0,,,3 yrs 0 mth 
"Thibault, Pierre",Université de Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,"""Control of newly synthesized histone deacetylation  and its implications for the clinical use of HDAC inhibitors""","$220,954",$0,,,3 yrs 0 mth 
"Martin, Randall V",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Developing technologies to assess long-term exposures of the Canadian population to air pollution: research leading to knowledge-transfer to reduce health effects,"$221,420",$0,,,3 yrs 0 mth 
"Cheung, Karen C",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Hydrogel-based microfluidic cell culture system for controlled drug dosage effects,"$221,941",$0,,,3 yrs 0 mth 
"Lesk, Mark R",Université de Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Pulsatile displacement of the lamina cribrosa in the pathogenesis of glaucoma: development of a novel device and preliminary clinical testing,"$222,158",$0,,,3 yrs 0 mth 
"Radisic, Milica",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Tissue engineered patches for the repair of cardiovascular congenital malformations,"$222,381",$0,,,3 yrs 0 mth 
"Dhanvantari, Savita; Luyt, Leonard G",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Hybrid Molecular Imaging in the Diagnosis of Heart Disease,"$223,308",$0,,,3 yrs 0 mth 
"Quinn, Thomas M",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,New technologies and methods for growth of artificial cartilage and skin,"$223,500",$0,,,3 yrs 0 mth 
"Shmuel, Amir",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Modeling and validating the effect of transcranial magnetic stimulation on cortical excitability: implications for post-stroke recovery and depression,"$224,792",$0,,,3 yrs 0 mth 
"Patterson, Kara K; Grahn, Jessica",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,The relationship of temporal gait asymmetry and rhythm perception and production,"$225,096",$0,,,3 yrs 0 mth 
"Menon, Carlo; Boyd, Lara","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Bimanual wearable robotic orthoses to promote cortical function and recovery from stroke,"$225,500",$0,,,3 yrs 0 mth 
"Gaillet, Bruno; Tremblay, Jacques P",Université Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Élaboration d'un procédé de production de cellules thérapeutiques autologues destiné au traitement de la Dystrophie musculaire de Duchenne,"$225,592",$0,,,3 yrs 0 mth 
"Hatzopoulou, Marianne",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Reconciling the promotion of active transportation and personal exposure to traffic-related air pollution in Canadian urban areas,"$225,623",$0,,,3 yrs 0 mth 
"Pouliot, Roxane",Université Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Analyses de polyphénols issus d'écorces d'essences canadiennes pour le traitement du psoriasis,"$225,750",$0,,,3 yrs 0 mth 
"Delaney, Kerry R",University of Victoria (British Columbia),British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Implantable telemetric devices for electrophysiological and behavioural research using rodent disease models,"$226,500",$0,,,3 yrs 0 mth 
