Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Boyd, Lara",University of British Columbia,Operating Grant,201303MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Structural and Functional Correlates of Neuroplastic Change Associated with Stroke Recovery and Learning,"$502,863",$0,5 yrs 0 mth 
"Boyd, Lara",University of British Columbia,Operating Grant,201009MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Duration of Changes in Intracortical Excitability and Diffusion Abnormalities after Transient Ischemic Attack,"$319,547",$0,3 yrs 0 mth 
"Boyd, Lara",University of British Columbia,Project Grant,202203PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Gamifying neuro rehabilitation: Can we predict who will benefit?,"$757,350",$0,5 yrs 0 mth 
"Brown, Hilary; Vigod, Simone N",University of Toronto,Project Grant,202003PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Traumatic Brain Injury and Perinatal Mental Health Outcomes,"$275,400",$0,3 yrs 0 mth 
"Carleton, R. Nicholas",University of Regina (Saskatchewan),Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Evaluating the Efficacy of an Attention Modification Program for Chronic Musculoskeletal Pain Patients with Fibromyalgia,"$467,499",$0,5 yrs 0 mth 
"Carrier, Julie; Hebert, Marc",CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur,Operating Grant,200809MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Brain and retinal light sensitivity in seasonal affective disorder,"$288,351",$0,3 yrs 0 mth 
"Casper, Robert F",Sinai Health System (Toronto),Operating Grant,201003MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Ameliorating Affective Disorder Induced by Circadian Rhythm Disruption,"$427,126",$0,3 yrs 0 mth 
"Chapman, Alexander L; Gratz, Kim L","Simon Fraser University (Burnaby, B.C.)",Operating Grant,201003MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Emotion regulation and self-harm in borderline personality disorder,"$486,916",$0,4 yrs 0 mth 
"Chapman, Alexander L; Gratz, Kim L","Simon Fraser University (Burnaby, B.C.)",Operating Grant,201503MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Implicit Measurement of Motivations for Non-Suicidal Self-Injury,"$614,972",$0,4 yrs 0 mth 
"Chertkow, Howard M",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Anomia in Alzheimer's Disease: Untangling semantic components and delivering therapy with rTMS.,"$459,909",$0,3 yrs 0 mth 
"Cheyne, Douglas O; Deveber, Gabrielle A",Hospital for Sick Children (Toronto),Operating Grant,201309MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neural Correlates of Movement Disorders Resulting From Childhood Stroke,"$324,854",$0,3 yrs 0 mth 
"Christensen, Bruce K",McMaster University,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Investigating behavioural, electrophysiological, and neurochemical facets of dorsal auditory stream impairment in persons with schizophrenia","$321,303",$0,3 yrs 0 mth 
"Conrod, Patricia","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,A cluster randomised trial investigating the effects of delaying onset of substance use on adolescent cognitive development.,"$1,109,426",$0,6 yrs 0 mth 
"Conrod, Patricia","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Effects of delaying age of onset of binge drinking on adolescent brain development: A proposal to add neuroimaing measures to the CO-Venture Trial.,"$796,480",$0,5 yrs 0 mth 
"Cox, Diane W",University of Alberta,Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,NPAS3 variants in schizophrenia and other psychoses.,"$617,576",$0,3 yrs 0 mth 
"Crosbie, Jennifer",Hospital for Sick Children (Toronto),Project Grant,201803PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Spit for Science 2: Genetic and environmental influences on behaviour and cognition in childhood neuropsychiatric disorders,"$2,604,826",$0,5 yrs 0 mth 
"Crosbie, Jennifer",Hospital for Sick Children (Toronto),Project Grant,201903PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Spit for Science 2 Autism Spectrum Project: Harnessing the Power of Population-Based Samples for Gene x Environment Studies,"$1,170,450",$0,5 yrs 0 mth 
"Cusimano, Michael D",Unity Health Toronto,Operating Grant,201203MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Validation of non-invasive rapid eye movements measurement as screening tool for mild traumatic brain injury,"$250,140",$0,2 yrs 6 mths 
"Daskalakis, Zafiris J; Downar, Jonathan",Centre for Addiction and Mental Health (Toronto),Operating Grant,201203MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Evaluating the Efficacy of Magnetic Seizure Therapy in Treatment Resistant Depression,"$470,574",$0,5 yrs 0 mth 
"Daskalakis, Zafiris J; Foussias, George",Centre for Addiction and Mental Health (Toronto),Project Grant,201903PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Magnetic Seizure Therapy for Schizophrenia (MAST) - Trial,"$898,876",$0,5 yrs 0 mth 
"Daskalakis, Zafiris J; Ritvo, Paul G",Centre for Addiction and Mental Health (Toronto),Project Grant,201909PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Non-Inferiority Trial Comparing Online and On-site Cognitive Behaviour Therapy in Major Depressive Disorder,"$677,025",$0,5 yrs 0 mth 
"Dawson, Deirdre R",Baycrest Centre for Geriatric Care (Toronto),Operating Grant,201009MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Managing the Dysexecutive Syndrome following traumatic brain injury: An ecologically valid rehabilitation approach.,"$433,527",$0,3 yrs 0 mth 
"De Luca, Vincenzo",Centre for Addiction and Mental Health (Toronto),Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Genetics and Epigenetics of Serotonin System in Suicidal Behaviour: CpG SNP Mapping, Methylation and Allelic Imbalance Analysis","$615,705",$0,5 yrs 0 mth 
"Diaconescu, Andreea O",Centre for Addiction and Mental Health (Toronto),Project Grant,202309PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Computational Modelling of Perception and Cognition in Help-seeking Youth for Psychosis Prevention,"$627,300",$0,5 yrs 0 mth 
"Diaconescu, Andreea O",Centre for Addiction and Mental Health (Toronto),Project Grant,202010PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Computational assays for individual treatment predictions in first episode psychosis.,"$325,124",$0,4 yrs 0 mth 
"Di Ciano, Patricia",Centre for Addiction and Mental Health (Toronto),Project Grant,202104PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Combined and Separate Effects of Cannabis and Tobacco: Psychomotor, Subjective and Physiological Outcomes (CASE-CT)","$692,325",$0,4 yrs 0 mth 
"Doesburg, Sam M",Hospital for Sick Children (Toronto),Operating Grant,201403MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Structural and functional brain connectivity in typical and atypical development,"$702,933",$0,5 yrs 0 mth 
"Downar, Jonathan; Blumberger, Daniel M",University Health Network (Toronto),Project Grant,201710PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Using resting-state fMRI prospectively to predict the optimal stimulation site and improve treatment outcomes for rTMS in major depression,"$100,000",$0,1 yr 0 mth 
"Duffy, Anne C",Dalhousie University (Nova Scotia),Operating Grant,200909MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,The early course of bipolar disorder: From genetic risk to illness onset,"$1,105,246",$0,5 yrs 0 mth 
"Einstein, Gillian",University of Toronto,Operating Grant,201303MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neuropsychological Functioning of Women with Prophylactic Oophorectomy,"$393,143",$0,4 yrs 0 mth 
"Farzan, Faranak","Simon Fraser University (Burnaby, B.C.)",Project Grant,201903PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Electrophysiology and Neurostimulation in Treatment-Resistant Youth Depression (ENTRY-D),"$481,952",$0,4 yrs 0 mth 
"Fecteau, Shirley",Université Laval,Operating Grant,201503MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,The study of tobacco smoking and reward seeking using noninvasive brain stimulation and magnetic resonance imaging,"$351,239",$0,3 yrs 0 mth 
"Finger, Elizabeth; Mitchell, Derek G",Western University (Ontario),Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,The impact of emotional mimicry and oxytocin on frontotemporal dementia,"$293,408",$0,4 yrs 0 mth 
"Fitzpatrick, Skye S; Liebman, Rachel; McMain, Shelley F","York University (Toronto, Ontario)",Project Grant,202309PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"A randomized controlled trial testing Sage: A brief intervention for people with borderline personality disorder, their intimate partners, and their relationship","$952,425",$0,5 yrs 0 mth 
"Fitzpatrick, Skye S","York University (Toronto, Ontario)",Project Grant,202104PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,How do communication behaviours contribute to and buffer against suicidal and self-injurious acts in couples wherein one member has borderline personality disorder?,"$555,774",$0,5 yrs 0 mth 
"Fleming, Alison S",University of Toronto,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Determinants of Individual Differences in Maternal Care,"$397,521",$0,3 yrs 0 mth 
"Foldes-Busque, Guillaume",Université Laval,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Validation du Panic Screening Score, un instrument de dépistage des attaques de panique associées aux douleurs thoraciques inexpliquées lors d'une consultation dans une unité d'urgence","$230,775",$0,3 yrs 0 mth 
"Foussias, George",Centre for Addiction and Mental Health (Toronto),Project Grant,201803PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Using A Novel Virtual Reality Training Paradigm to Treat Negative Symptoms in Early Schizophrenia,"$673,200",$0,5 yrs 0 mth 
"Frewen, Paul A",Western University (Ontario),Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Psychological Assessment of Symptom Causal Relations,"$162,774",$0,3 yrs 0 mth 
"Fujioka, Takako; Dawson, Deirdre R",Baycrest Centre for Geriatric Care (Toronto),Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Impact of music-supported rehabilitation on behavioural and cortical functions in stroke recovery,"$461,247",$0,3 yrs 0 mth 
"George, Tony P",Centre for Addiction and Mental Health (Toronto),Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Effects of repetitive transcranial magnetic stimulation on cigarette smoking and cognitive function in smokers with schizophrenia,"$399,262",$0,3 yrs 0 mth 
"George, Tony P; Kent, Pamela",Centre for Addiction and Mental Health (Toronto),Project Grant,202303PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,A Controlled Study of Extended Cannabis Abstinence in Major Depression,"$615,824",$0,4 yrs 0 mth 
"Gerretsen, Philip; Graff-Guerrero, Ariel",Centre for Addiction and Mental Health (Toronto),Project Grant,201803PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,The effects of adjunctive transcranial direct current stimulation on treatment adherence in schizophrenia,"$367,200",$0,4 yrs 0 mth 
"Giaschi, Deborah E; Siegel, Linda S",University of British Columbia,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Interventions for dyslexia: Effectiveness and neurological correlates,"$259,409",$0,3 yrs 0 mth 
"Gill, Kathryn J",Research Institute of the McGill University Health Centre,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Illicit and Prescription Opiate Abuse: Understanding Treatment Failure and Improving Outcomes,"$150,055",$0,2 yrs 0 mth 
"Gobbi, Gabriella",McGill University,Project Grant,202003PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Lysergic acid diethylamide (LSD) and social behavior. A translational study.,"$784,126",$0,5 yrs 0 mth 
"Goghari, Vina",University of Calgary,Operating Grant,201010MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Facial Emotion Recognition and Temporal Lobe Abnormalities Associated with the Genetic Vulnerability for Schizophrenia: A Structural and Functional Neuroimaging Family Study,"$76,375",$0,1 yr 0 mth 
"Goldstein, Benjamin I","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant,201403MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neural and Peripheral Approaches Linking Circuitry and Circulation in Adolescent Bipolar Disorder,"$692,124",$0,5 yrs 0 mth 
"Goldstein, Benjamin I","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Inflammatory markers, brain-derived neurotrophic factor, and the longitudinal course of adolescent bipolar disorder","$569,980",$0,5 yrs 0 mth 
"Goldstein, Benjamin I; Friedrich, Matthias G; Raucher-Chéné, Delphine",Centre for Addiction and Mental Health (Toronto),Project Grant,202409PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Coronary Microvascular Reactivity in Relation to Brain Structure, Cardiovascular Genetics, and Serious Mental Illness in Youth","$1,246,950",$0,5 yrs 0 mth 
"Gosselin, Nadia",CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur,Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Sleep and circadian rhythms in moderate and severe traumatic brain injury,"$549,599",$0,5 yrs 0 mth 
"Gosselin, Nadia",CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur,Project Grant,202109PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Brain alterations and cognitive decline in obstructive sleep apnea,"$658,512",$0,5 yrs 0 mth 
"Graff-Guerrero, Ariel; Mamo, David C",Centre for Addiction and Mental Health (Toronto),Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Imaging the Limbic Dopamine D3 receptor in Schizophrenia,"$168,366",$0,2 yrs 0 mth 
"Graff-Guerrero, Ariel; Gerretsen, Philip",Centre for Addiction and Mental Health (Toronto),Project Grant,201909PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,The Muscarinic Hypothesis of Schizophrenia: A [18F]-FP-TZTP PET Study,"$405,451",$0,6 yrs 0 mth 
"Hahn, Margaret; Agarwal, Sri Mahavir",Centre for Addiction and Mental Health (Toronto),Project Grant,201909PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Semaglutide in comorbid obesity and schizophrenia-spectrum disorders for metformin non-responders: a double-blind randomized control trial,"$860,625",$0,5 yrs 6 mths 
"Hajek, Tomas; Alda, Martin",Dalhousie University (Nova Scotia),Operating Grant,201003MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Anatomical, functional connectivity and gray matter development as risk factors for bipolar disorders - longitudinal MRI study in offspring of bipolar parents","$343,929",$0,3 yrs 0 mth 
"Hajek, Tomas",Nova Scotia Health Authority (Halifax),Project Grant,202209PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Obesity, brain structure and cognitive functioning in major psychiatric disorders - large scale, multicenter study","$524,024",$0,4 yrs 0 mth 
"Hajek, Tomas; Alda, Martin",Nova Scotia Health Authority (Halifax),Project Grant,202109PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Insulin resistance, type 2 diabetes mellitus and future brain, cognitive, biochemical and clinical outcomes in bipolar disorders - prospective study","$742,050",$0,5 yrs 0 mth 
"Hatcher, Simon; Cramm, Heidi",Ottawa Hospital Research Institute,Project Grant,202403PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,The experience of public safety personnel (PSP) families after a suicide and PSP organizations response to a suicide: A qualitative study and creation of a family-centred response guide to PSP suicides,"$267,751",$0,2 yrs 0 mth 
"Hawco, Colin S; Lepage, Martin; Voineskos, Aristotle N",Centre for Addiction and Mental Health (Toronto),Project Grant,202303PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Schizophrenia Canadian Neuroimaging Database (SCanD),"$745,876",$0,5 yrs 0 mth 
"Heinrichs, R. Walter","York University (Toronto, Ontario)",Operating Grant,200909MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Cognitive Exceptionality and Impairment in Schizophrenia,"$317,576",$0,3 yrs 0 mth 
"Hendershot, Christian S",Centre for Addiction and Mental Health (Toronto),Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Identifying Brain-Based Measures of Alcohol Sensitivity in Early Adulthood,"$379,930",$0,4 yrs 0 mth 
"Hirsch Reinshagen, Veronica",University of British Columbia,Project Grant,202209PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Neuropathology of cognitive impairment in chronic schizophrenia,"$604,352",$0,4 yrs 0 mth 
"Hodgins, David C",University of Calgary,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Internet-based interventions for problem gamblers: Randomized controlled trial of online self-directed cognitive-behavioural motivational therapy,"$287,761",$0,3 yrs 0 mth 
"Hodgins, Sheilagh M","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Operating Grant,201009MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Antecedents of persistent antisocial behaviour and psychopathy: A developmental follow-back study of Canadian men using prospectively collected data from age 6 to 30,"$828,156",$0,4 yrs 0 mth 
"Holroyd, Clay B",University of Victoria (British Columbia),Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Individual Differences Underlying Substance Abuse and Addiction: At the Intersection of Brain, Cognition, Genetics and Personality","$463,620",$0,5 yrs 0 mth 
"Honer, William G; Thornton, Allen E",University of British Columbia,Operating Grant,201403MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neuropsychiatric complications of co-morbid illness in people living in marginal housing,"$1,062,955",$0,5 yrs 0 mth 
"Honer, William G; Barr, Alasdair M",University of British Columbia,Operating Grant,201203MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neural connectivity in schizophrenia,"$958,339",$0,5 yrs 0 mth 
"Hudon, Carol",Université Laval,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Troubles cognitifs légers et dépression gériatrique : comparaison de caractéristiques cliniques et analyse de l'évolution des patients vers la démence,"$495,383",$0,5 yrs 0 mth 
"Husain, Muhammad O; Schifani, Christin",Centre for Addiction and Mental Health (Toronto),Project Grant,202303PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Synaptic density as a trait marker of early psychosis: a longitudinal [18F]SynVesT-1 positron emission tomography (PET) study,"$1,178,100",$0,5 yrs 0 mth 
"Hyde, Krista L",Research Institute of the McGill University Health Centre,Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Auditory processing in typical development and in autism spectrum disorder: insights from the brain and behavior,"$570,544",$0,5 yrs 0 mth 
"Ibrahim, George",Hospital for Sick Children (Toronto),Project Grant,201803PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Predicting Seizure Responsiveness to Neuromodulation Using Connectomic Profiling,"$615,826",$0,5 yrs 0 mth 
"Jacquemont, Sebastien","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant,201803PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Estimating the effect size of rare genomic variants on cognitive and behavioral traits underlying neurodevelopmental disorders,"$1,021,275",$0,4 yrs 0 mth 
"Jaworska, Natalia; Fisher, Derek J",University of Ottawa Institute of Mental Health Research,Project Grant,202209PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Characterizing the Neural Profiles of Bipolar Disorder with and without Auditory Hallucinations,"$462,825",$0,5 yrs 0 mth 
"Jollant, Fabrice",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,The neurocognitive basis of suicidal behavior: A neuroimaging study with a model-based approach,"$263,974",$0,4 yrs 0 mth 
"Joyal, Christian",Université du Québec à Trois-Rivières,Operating Grant,200809MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Impulsivité, violence et troubles mentaux graves.","$179,613",$0,3 yrs 0 mth 
"Jutras-Aswad, Didier",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Cannabidiol as a new intervention for cocaine dependence,"$449,788",$0,4 yrs 0 mth 
"Kalra, Sanjay",University of Alberta,Operating Grant,201203MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Magnetic resonance imaging biomarkers in ALS,"$841,747",$0,5 yrs 0 mth 
"Kaster, Tyler; Vigod, Simone N",Centre for Addiction and Mental Health (Toronto),Project Grant,202209PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Electroconvulsive Therapy: Analysis of its Safety and Efficacy Part II (EASE-II),"$306,001",$0,3 yrs 0 mth 
"Kennedy, James L",Centre for Addiction and Mental Health (Toronto),Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Strategies for gene discovery in schizophrenia:  subphenotypes, deep sequencing, and interactions","$791,150",$0,5 yrs 0 mth 
"Kennedy, James L; Tiwari, Arun K; Zai, Clement",Centre for Addiction and Mental Health (Toronto),Project Grant,202303PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Influence of polygenic risk scores on longitudinal disease trajectories of individuals with schizophrenia spectrum disorders,"$757,350",$0,5 yrs 0 mth 
"Kennedy, Sidney H; MacQueen, Glenda M",University Health Network (Toronto),Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Predicting Antidepressant Treatment Response in Major Depressive Disorder: An Integrated Clinical and Neuroimaging Approach,"$893,950",$0,5 yrs 0 mth 
"Kiang, Michael",Centre for Addiction and Mental Health (Toronto),Project Grant,201909PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Effects of N-acetylcysteine on psychosis-like symptoms and a neurophysiological biomarker of the clinical high risk state for schizophrenia,"$351,901",$0,3 yrs 0 mth 
"Knott, Verner J",University of Ottawa,Operating Grant,201309MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,A Proof-of-Concept Phase-I Trial of an Alpha7 Nicotinic Agonist for Cognitive Deficits in Schizophrenia,"$227,725",$0,2 yrs 0 mth 
"Kolla, Nathan J",Centre for Addiction and Mental Health (Toronto),Operating Grant,201503MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Investigating the Endocannabinoid System in Antisocial and Borderline Personality Disorder with Persistent Violence,"$352,810",$0,3 yrs 0 mth 
"Kopala-Sibley, Daniel",University of Calgary,Project Grant,202203PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Vulnerability to depression in high-risk adolescents,"$566,100",$0,5 yrs 0 mth 
"Koski, Lisa M",Research Institute of the McGill University Health Centre,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neural excitability in multiple sclerosis: Building the case for functional compensation.,"$277,921",$0,3 yrs 0 mth 
"Koski, Lisa M",Research Institute of the McGill University Health Centre,Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neurophysiological abnormalities in MS: Disease process or functional compensation?,"$148,998",$0,2 yrs 0 mth 
"Lanctôt, Krista L; Gallagher, Damien; Herrmann, Nathan","Sunnybrook Research Institute (Toronto, Ontario)",Project Grant,202203PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Exercise augmenting cognition tDCS (EXACT) trial: A pilot study of a combined exercise and transcranial direct current stimulation intervention for cognition,"$456,706",$0,3 yrs 0 mth 
"Lange, Rael T",University of British Columbia,Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Examining the Effects of Alcohol Misuse on the Neuropsychological and Neuropathological Outcome from Traumatic Brain Injury: A Longitudinal Study.,"$854,630",$0,5 yrs 0 mth 
"Lanius, Ruth A; McKinnon, Margaret",Western University (Ontario),Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neural and behavioural correlates of autobiographical memory performance  in patients with post-traumatic stress disorder and/ or major depression following motor vehicle crash,"$354,985",$0,4 yrs 0 mth 
"Lanius, Ruth A; McKinnon, Margaret",Western University (Ontario),Operating Grant,201405MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,A longitudinal study of risk factors for the development and maintenance of the dissociative subtype of posttraumatic stress disorder following trauma exposure,"$100,000",$0,1 yr 0 mth 
"Lanovaz, Marc J",Université de Montréal,Operating Grant,201403MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Using mobile technology to reduce stereotypy in children with autism spectrum disorders,"$151,671",$0,2 yrs 6 mths 
"Lebel, Catherine A",University of Calgary,Project Grant,202409PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Advanced neuroimaging of fronto-striatal networks in youth and young adults with fetal alcohol spectrum disorder (FASD): implications for executive function,"$1,357,875",$0,5 yrs 0 mth 
"Le Foll, Bernard",Centre for Addiction and Mental Health (Toronto),Project Grant,202209PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Pilot Clinical Study: Psilocybin Assisted Psychotherapy as a Novel Treatment for Comorbid Major Depressive Disorder (MDD) and Alcohol Use Disorder (AUD).,"$344,250",$0,3 yrs 0 mth 
"Le Foll, Bernard; Zack, Martin H",Centre for Addiction and Mental Health (Toronto),Project Grant,202409PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Proof-of-Concept Double-Blind, Placebo-Controlled Trial of the Cognitive Enhancer, Memantine for Gambling Disorder","$569,926",$0,3 yrs 0 mth 
"LeMoult, Joelle",University of British Columbia,Project Grant,201709PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Characterizing the Peripheral Biology of Depression, Social Anxiety, and their Comorbidity","$573,750",$0,6 yrs 0 mth 
"Lepage, Martin",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201003MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Insight and schizophrenia: Psychological and neuronal determinants,"$460,303",$0,3 yrs 6 mths 
"Lepage, Martin; Malla, Ashok K",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,200809MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neurocognitive and neuroimaging markers of remission in first episode psychosis,"$639,300",$0,5 yrs 0 mth 
"Lepage, Martin; Guimond, Synthia; Menon, Mahesh; Woodward, Todd S",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202203PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,From episodic memory to functioning in schizophrenia and related psychoses: A neurocognitive model,"$979,200",$0,5 yrs 0 mth 
"Levine, Brian T",Baycrest Centre for Geriatric Care (Toronto),Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Diffuse brain damage effects on distributed systems: multimodal brain imaging and rehabilitation,"$853,770",$0,5 yrs 0 mth 
"Levine, Brian T","Baycrest Academy for Research and Education (Toronto, ON)",Project Grant,202409PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Individual differences in imagery predict outcome following trauma exposure,"$810,900",$0,5 yrs 0 mth 
"Levinson, Andrea J",Centre for Addiction and Mental Health (Toronto),Operating Grant,200909MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Cortical Inhibition in the Pathophysiology and Treatment of Major Depressive Disorder,"$252,607",$0,3 yrs 0 mth 
"Levitan, Robert D; Matthews, Stephen G",Centre for Addiction and Mental Health (Toronto),Project Grant,202010PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Using Precision Medicine to Study Maternal Inflammation in Pregnancy as a Cause of Early Childhood Depression,"$768,825",$0,5 yrs 0 mth 
"Leyton, Marco; Seguin, Jean R",McGill University,Operating Grant,201309MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Dopamine and Risk for Addictions,"$1,124,691",$0,5 yrs 0 mth 
