Name,All_Companies,Founding_Year,All_Companies_Count,Companies_After_CIHR_Funding,Companies_After_CIHR_Funding_Count,Seed,Seed_$,Series_A,Series_A_$,Series_B,Series_B_$,Series_C,Series_C_$,Series_D,Series_D_$,Series_E,Series_E_$,IPO,Acquirement,Exit_$,Cumulative_Investment_Gained,Funding_Efficiency,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Cumulative_Grant_Amount,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End,title_keywords,Patents,Cumulative Patents
"Boisselier Mailfait, Elodie",,,0,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Project Grant,202003PJT,Commercialization,Un nouveau vecteur de medicaments ophtalmiques e base de nanoparticules d'or,550800,0,5,550800,5,"Neurosciences, Mental Health and Addiction",Commercialization-Intellectual Property,2020-10-01,1,2025-09-30,"vecteur, nanoparticules, ophtalmiques",0,0
"Boivin, Guy","Signia therapeutics, Vaxxel, Trienix Pharma",,3,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,New antiviral agents against herpes simplex viruses,150000,0,1,150000,1,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,2010-04-01,1,2011-03-31,"antiviral, herpes simplex, viruses",4,4
"Booth, Valerie K",,,0,,,,,,,,,,,,,,,,,,,,Memorial University of Newfoundland,Newfoundland and Labrador,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,HLA Peptide Development as a Therapeutic for Psoriasis,156920,0,1,156920,1,Infection and Immunity,SKIN AND SUBCUTANEOUS TISSUS; BIOCHEMISTRY; DRUG RESEARCH,2011-04-01,1,2012-03-31,"HLA, Peptide, Psoriasis",0,0
"Bosse, Yohan",,,0,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prognostic gene signature for stage I lung adenocarcinoma,148348,0,1,148348,1,Cancer Research,LUNG CANCER; SUPPLEMENTARY CLASSIFICATIONS; CANCER; GENETICS,2013-10-01,1,2014-09-30,"gene signature, lung adenocarcinoma, prognostic",0,0
"Boyd, Daniel",ABK Biomedical,,1,,,,,,,,,,,,,,,,,,,,Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Commercialization of a Radiopaque Spherical Embolic Agent.,159097,0,1,159097,1,"Human Development, Child and Youth Health",NOT CLASSIFIED,2012-10-01,1,2013-09-30,"Radiopaque, Embolic, Agent",3,3
"Braverman, Nancy E",,,0,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,Enabling commercialization of retinal gene therapy for Zellweger Spectrum Disorder,1503225,0,5,1503225,5,Genetics,"Commercialization-Technology Transfer; Neurosciences-Sensory Systems (including visual, auditory and pain); Genetic disease",2023-04-01,1,2028-03-31,"retinal gene therapy, Zellweger Spectrum Disorder",0,0
"Brinkman, Ryan",Cytapex Bioinformatics Inc.,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Machine Learning for Flow Cytometry Clinical Data and Trial Analysis,317475,0,1.833333333,317475,1.83,Infection and Immunity,Commercialization-Technology Transfer; Methods Development and Modelling-Quantitative Methods Development for Health Research,2020-04-01,1,2022-01-31,"Machine Learning, Flow Cytometry, Clinical Data",0,0
"Brodt, Pnina",,,0,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,An IGF-Trap for the treatment of breast cancer: consolidation of the pre-clinical profile and commercialization.,299934,0,1,299934,1,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; DRUG RESEARCH,2015-10-01,1,2016-09-30,"IGF, breast cancer, trap",1,1
"Brouillette, Martin",Soundbite Medical Solutions,,1,,,,,,,,,,,,,,,,,,,,Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Device for recanalization of peripheral and coronary arteries,155180,0,1,155180,1,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOLOGY; CARDIOVASCULAR,2013-10-01,1,2014-09-30,"recanalization, arteries, device",2,2
"Brown, Jeremy A",AudiOptics,,0,,,,,,,,,,,,,,,,,,,,Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A High-Resolution Ultrasonic Endoscope for the Auditory System,108000,10600,1,118600,1,Aging,DEAFNESS; DISEASES AFFECTING SPEECH/VISION/HEARING; IMAGING; HEARING,2010-10-01,1,2011-09-30,"Ultrasonic, Endoscope, Auditory",1,1
"Brukner, Ivan",ExD Inc.,,0,,,,,,,,,,,,,,,,,,,,CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A new qPCR method for the assessment of total/relative bacterial load from stool samples: C difficile show case,131513,0,1,131513,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIDISCIPLINARY; BACTERIOLOGY; MOLECULAR BIOLOGY,2015-10-01,1,2016-09-30,"qPCR, bacterial load, stool samples",0,0
