Name,All_Companies,Founding_Year,All_Companies_Count,Companies_After_CIHR_Funding,Companies_After_CIHR_Funding_Count,Seed,Seed_$,Series_A,Series_A_$,Series_B,Series_B_$,Series_C,Series_C_$,Series_D,Series_D_$,Series_E,Series_E_$,IPO,Acquirement,Exit_$,Cumulative_Investment_Gained,Funding_Efficiency,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Cumulative_Grant_Amount,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End,title_keywords,Patents,Cumulative Patents
"Hancock, Robert Ernest W",ABT Innovations,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Novel anti-inflammatory treatment for Amyotrophic Lateral Sclerosis,160000,0,1,320000,2,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AMYOTROPHIC LATERAL SCLEROSIS (ALS); DRUG RESEARCH; NERVOUS SYSTEM,2011-10-01,1,2012-09-30,"anti-inflammatory, Amyotrophic Lateral Sclerosis",0,0
"Hancock, Robert Ernest W",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Anti-Biofilm Therapy,160000,0,1,,,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; BACTERIOLOGY; DRUG RESEARCH,2013-04-01,1,2014-03-31,"Anti-biofilm, Therapy",0,
"Hanrahan, John W",Traffick Therapeutics,,1,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,CFTR modulators as a potential new therapeutic paradigm to treat individuals with COPD,159665,0,1,159665,1,Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; RESPIRATION; HEALTH RESEARCH,2014-10-01,1,2015-09-30,"CFTR, modulators, COPD",2,2
"Hansen, Carl L",AbCellera Biologics Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Pre-commercial development of single cell antibody selection process,154120,0,1,154120,1,Infection and Immunity,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; HEALTH RESEARCH,2012-10-01,1,2013-09-30,"single cell, antibody, selection",11,11
"Hassell, John A",,,0,,,,,,,,,,,,,,,,,,,,McMaster University,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Characterization of small molecule sensitizers to chemotherapy,160000,0,1,160000,1,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,2012-04-01,1,2013-03-31,"small molecule, sensitizers, chemotherapy",0,0
"Hebert, Marc",diaMentis,,1,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,"Diagnostic differentiel de la schizophrenie, la depression bipolaire et la depression majeure e l'aide de l'electroretinographie",159700,0,1,159700,1,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL HEALTH,2014-04-01,1,2015-03-31,"diagnostic, electroretinography, schizophrenia",1,1
"Hess, Robert F",Amblyotech,,1,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Assessment and Treatment of Binocular Vision in Amblyopia,126802,0,1,126802,1,"Neurosciences, Mental Health and Addiction",DISEASES AFFECTING SPEECH/VISION/HEARING; VISION,2009-01-01,1,2009-12-31,"Binocular vision, Amblyopia",6,6
"Houde, Daniel",,,0,,,,,,,,,,,,,,,,,,,,Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Radiotherapie par filamentation laser femtoseconde,112602,0,1,112602,1,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; BIOPHYSICS,2011-04-01,1,2012-03-31,"radiotherapie, laser, femtoseconde",1,1
"Hunter, Graeme K",,,0,,,,,,,,,,,,,,,,,,,,Western University (Ontario),Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Crystal-binding peptides for prevention of kidney stone disease,116350,6000,1,122350,1,"Nutrition, Metabolism and Diabetes",GENITO/URINARY SYSTEM; ATHEROSCLEROSIS; DRUG RESEARCH; BIOPHYSICS,2009-07-01,1,2010-06-30,"crystal-binding, peptides, kidney stone",0,0
"Huntsman, David G",Contextual Genomics Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,A Diagnostic Test for Granulosa Cell Tumours of the Ovary,150000,0,1,304829,2,Cancer Research,CANCER,2010-04-01,1,2011-03-31,"Diagnostic, Granulosa Cells, Tumours",3,3
"Huntsman, David G",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,PrOTYPE: An Enabling Technology to Improve Ovarian Cancer Care,154829,0,1,,,Cancer Research,"NEOPLASMS; NONE OF THE ABOVE; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2013-04-01,1,2014-03-31,"Ovarian cancer, Enabling technology",1,
"Husain, Mansoor",,,0,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,184100,10600,1,194700,1,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CANCER THERAPY GENERAL; CARDIOVASCULAR; CELL BIOLOGY,2012-10-01,1,2013-09-30,"anti-proliferative, CaM-cyclin E, interactions",0,0
"Hysi, Eno",ScarDx,,1,,,,,,,,,,,,,,,,,,,,Unity Health Toronto,Ontario,Project Grant,202403PJT,Commercialization,Commercialization of H-scan: a new tool for imaging kidney fibrosis,726750,0,3,726750,3,"Nutrition, Metabolism and Diabetes","Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging; Digestive, Endocrine and Excretory Systems-Nephrology and Urology",2024-10-01,1,2027-09-30,"H-scan, imaging, kidney fibrosis",1,1
"Jaffray, David A",Nanovista inc.,,1,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Advanced Handheld SPECT System for Intraoperative Guidance,159845,0,1,159845,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2014-10-01,1,2015-09-30,"Handheld, SPECT, Guidance",0,0
"Jarvi, Keith A",,,0,,,,,,,,,,,,,,,,,,,,Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,"Novel semen biomarkers to identify sperm production in men with infertility: A non-invasive method to characterize men with azoospermia or no sperm in the semen, into those with and without testicular sperm production",152499,0,1,467159,3,"Human Development, Child and Youth Health",INFERTILITY MALE; GENITO/URINARY SYSTEM; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY,2011-04-01,1,2012-03-31,"semen biomarkers, azoospermia, sperm production",1,1
"Jarvi, Keith A",,,,,,,,,,,,,,,,,,,,,,,Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using a panel of protein biomarkers measured in seminal plasma,154660,0,1,,,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",2013-10-01,1,2014-09-30,"sperm retrieval, azoospermia, protein biomarkers",1,
"Jarvi, Keith A",,,,,,,,,,,,,,,,,,,,,,,Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using TEX101 protein measured in seminal plasma by ELISA,160000,0,1,,,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",2016-04-01,1,2017-03-31,"sperm retrieval, TEX101, azoospermia",1,
"Jarzem, Peter F",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,"Minimally Invasive Ready, Highly Expandable Vertebral Body Replacement Device",122826,0,1,122826,1,Cancer Research,"BONE CANCER; MUSCULO SKELETAL; NERVOUS SYSTEM; MUSCLE, BONE, OR JOINT",2010-04-01,1,2011-03-31,"Vertebral, Expandable, Device",2,2
"Juncker, David",Nomic Bio (formerly nplex biosciences),,1,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Clinical validation of an innovative multiplex antibody microarray platform,150000,0,1,150000,1,Cancer Research,"MULTIDISCIPLINARY; BREAST CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CANCER",2010-04-01,1,2011-03-31,"antibody, microarray, platform",7,7
"Kastrup, Christian J",CoMotion Drug Delivery Systems,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Self-Propelling Hemostatic Particles that Treat Severe Bleeding,159788,0,1,159788,1,Circulatory and Respiratory Health,CLOTTING DEFECTS/THROMBOSIS; PREGNANCY/BIRTH; CARDIOVASCULAR; BLOOD,2014-10-01,1,2015-09-30,"Self-Propelling, Hemostatic, Bleeding",1,1
"Kazem-Moussavi, Zahra M",,,0,,,,,,,,,,,,,,,,,,,,University of Manitoba,Manitoba,Project Grant,201803PJT,Commercialization,Acoustical Device for Obstructive Sleep Apnea Severity Prediction during Wakefulness,367200,0,3,367200,3,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Determinants-Etiology of Disease and Conditions",2018-10-01,1,2021-09-30,"Acoustical, Sleep Apnea, Prediction",0,0
"Kelley, Shana O",CTRL Therapeutics,,3,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Clinical validation of low-cost ultrasensitive electronic molecular  diagnostics,150000,0,1,470000,3,Genetics,MULTIPLE DISEASE RELEVANCE; GENETICS,2009-01-01,1,2009-12-31,"ultrasensitive, electronic, diagnostics",4,5
"Kelley, Shana O",Arma Biosciences,,,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Preclinical testing of a mitochondrially-targeted anticancer agent,160000,0,1,,,Cancer Research,CANCER THERAPY GENERAL; CANCER; GENETICS,2012-04-01,1,2013-03-31,"mitochondrially-targeted, anticancer, agent",1,
"Kelley, Shana O",Xagenic inc.,,,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,The xViva CTC capture chip: a device for tumor cell sorting and classification,160000,0,1,,,Genetics,PROSTATE AND BLADDER CANCER; CANCER THERAPY GENERAL; GENETICS; CANCER,2014-10-01,1,2015-09-30,"CTC, capture, sorting",3,
"Kim, Peter K",,,0,,,,,,,,,,,,,,,,,,,,Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A novel therapeutic treatment for Zellweger Spectrum Disorder,160000,0,1,160000,1,"Human Development, Child and Youth Health",METABOLISM AND NUTRITION; CONGENITAL ANOMALIES; CELL BIOLOGY; GENETICS,2015-10-01,1,2016-09-30,"Zellweger, Spectrum, Disorder",0,0
"Kizhakkedathu, Jayachandran N",Avivo Biomedical Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel Polymer Based Glucose-sparing Peritoneal Dialysis Solutions for End-stage Renal Disease,160000,0,1,764748,8,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",2012-10-01,1,2013-09-30,"Polymer, Glucose-sparing, Dialysis",2,9
"Kizhakkedathu, Jayachandran N",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Preclinical Development of a Glucose-Free Peritoneal Dialysis Solution,289799,5000,1,,,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",2014-10-01,1,2015-09-30,"Glucose-Free, Peritoneal Dialysis, Solution",9,
"Kizhakkedathu, Jayachandran N",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,202010PJT,Commercialization,Novel Infection Resistant Coating in an Era of Drug Resistant Bacteria for the Treatment and Prevention of Medical Device Infection,520199,0,3,,,Infection and Immunity,"Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2021-04-01,1,2024-03-31,"Infection, Coating, Bacteria",3,
"Kizhakkedathu, Jayachandran N",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,202209PJT,Commercialization,Localized immuno-cloaking organ engineering approach to prevent transplant rejection without immunosuppressants,803250,0,3,,,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Commercialization-Intellectual Property",2023-04-01,1,2026-03-31,"immuno-cloaking, organ engineering, transplant rejection",0,
"Koeberle, Paulo D",,,0,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Peptide therapeutics for preventing retinal ganglion cell apoptosis,149949,0,1,149949,1,"Neurosciences, Mental Health and Addiction",GLAUCOMA; DISEASES AFFECTING SPEECH/VISION/HEARING,2015-04-01,1,2016-03-31,"peptide, retinal ganglion cell, apoptosis",1,1
"Kotra, Lakshmi P",Lucid Psycheceuticals,,1,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,In vivo efficacy studies on KP-218 as a potential MS therapeutic agent,160000,0,1,160000,1,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS,2014-10-01,1,2015-09-30,"in vivo, MS, therapeutic",4,4
"Kouassi, Edouard",,,0,,,,,,,,,,,,,,,,,,,,CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Novel methods and compounds for increasing red blood cell survival,160000,0,1,160000,1,Circulatory and Respiratory Health,BLOOD; ANAEMIAS; DRUG RESEARCH,2010-10-01,1,2011-09-30,"red blood cell, survival, compounds",0,0
"Kremer, Richard B",Miramab bioscience inc.,,1,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,Anti-parathyroid hormone-related protein (PTHrP) monoclonal antibodies against metastatic cancer,665550,0,3,665550,3,Cancer Research,"Commercialization-Technology Transfer; Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2023-04-01,1,2026-03-31,"parathyroid hormone, monoclonal antibodies, metastatic cancer",1,1
"Kubow, Stanley",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Protective Effects of Potato Polyphenol-Rich Extracts Against Lung Damage Caused by Air Pollutants,150525,0,1,150525,1,Circulatory and Respiratory Health,ENVIRONMENTAL INFLUENCES ON HEALTH; RESPIRATION; NUTRITION,2012-04-01,1,2013-03-31,"potato polyphenols, lung damage, air pollutants",1,1
"Kumar, Rakesh",ImMed Biotechnologies,,1,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of new class of antiviral drugs for influenza A virus infections,156590,0,1,316440,2,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; HEALTH RESEARCH; DRUG RESEARCH,2013-04-01,1,2014-03-31,"antiviral, influenza, virus",3,3
"Kumar, Rakesh",,,,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of novel chemotherapeutics for tuberculosis,159850,0,1,,,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,2014-04-01,1,2015-03-31,"chemotherapeutics, tuberculosis",3,
"Kushki, Azadeh",,,0,,,,,,,,,,,,,,,,,,,,Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,202003PJT,Commercialization,A wearable technology approach to managing challenging behaviours in children with autism spectrum disorder (ASD),485774,0,3,485774,3,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,2020-10-01,1,2023-09-30,"wearable, autism, behaviors",0,0
"Lam, Stephen",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CTAP III for detection of early lung cancer and monitoring treatment outcome,160000,0,1,160000,1,Cancer Research,LUNG CANCER; CANCER,2010-10-01,1,2011-09-30,"CTAP, lung cancer, detection",0,0
"Leavitt, Blair R",Incisive Genetics Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities),202109OGB,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,100000,0,1,245412,6,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2022-03-01,1,2023-02-28,"Lipid Nanoparticle, CRISPR, Gene Editing",3,3
"Leavitt, Blair R",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,202203PJT,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,761176,0,5,,,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2022-10-01,1,2027-09-30,"Lipid Nanoparticle, CRISPR, Gene Editing",3,
"Legault, Pascale",,,0,,,,,,,,,,,,,,,,,,,,Universite de Montreal,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,The ARiBo technology for isolation of ribonucleoprotein complexes,145412,13349,1,158761,1,Genetics,"CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; BIOCHEMISTRY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2012-10-01,1,2013-09-30,"ARiBo, ribonucleoprotein, complexes",0,0
"Leonardi, Mathew",,,0,,,,,,,,,,,,,,,,,,,,McMaster University,Ontario,Project Grant,202309PJT,Commercialization,Commercialization of a diagnostic test for endometriosis,634949,0,3,634949,3,Gender and Health,"Sex-and-Gender Health-Sex-and-Gender-Based Analysis - Clinical, Health Systems and Population Health Research",2024-04-01,1,2027-03-31,"diagnostic test, endometriosis",1,1
"Lerouge, Sophie",,,0,,,,,,,,,,,,,,,,,,,,ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A new therapeutic agent for the treatment and prevention of endoleaks after endovascular aneurysm repair,155000,0,1,155000,1,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,2010-10-01,1,2011-09-30,"therapeutic agent, endoleaks, aneurysm repair",3,3
"Lerouge, Sophie",,,,,,,,,,,,,,,,,,,,,,,ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Injectable thermosensitive hydrogel as delivery vehicle of lymphocytes for cancer immunotherapy,141000,0,1,141000,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2016-04-01,1,2017-03-31,"injectable, hydrogel, lymphocytes",0,0
"Li, Shyh-Dar",NanoStar Pharmaceuticals Ltd,,1,,,,,,,,,,,,,,,,,,,,"Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,"Benchmark Cellax, a proprietary nanoparticle formulation for docetaxel, against Taxotere to treat metastatic castration resistant prostate cancer",160000,0,1,420000,5,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,2012-10-01,1,2013-09-30,"nanoparticle, docetaxel, prostate cancer",3,4
"Li, Shyh-Dar",,,,,,,,,,,,,,,,,,,,,,,"Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Heat-triggered Chemotherapy to Treat Refractory Breast Cancer at the Chest Wall,160000,0,1,,,Cancer Research,DRUG RESEARCH; CANCER,2013-10-01,1,2014-09-30,"Heat, Chemotherapy, Breast Cancer",1,
"Li, Shyh-Dar",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Validation and commercialization of an innovative analgesic for chronic pain,524026,0,3,,,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2020-04-01,1,2023-03-31,"analgesic, chronic pain",1,
"Lin, Sheng-Xiang",,,0,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Pre-clinical pharmacokinetic and efficacy assays with an efficient 17beta-hydroxysteroid dehydrogenase type 7 inhibitor for breast cancer therapy,100000,0,1,100000,1,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Digestive, Endocrine and Excretory Systems-Endocrinology",2024-03-01,1,2025-02-28,"pharmacokinetic, 17beta-hydroxysteroid dehydrogenase, breast cancer",0,0
"Liu, Fang",,,0,,,,,,,,,,,,,,,,,,,,Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Therapeutics targeting receptor-receptor interactions for Addiction,150000,0,1,599101,3,"Neurosciences, Mental Health and Addiction",DRUG RESEARCH; MENTAL HEALTH,2010-04-01,1,2011-03-31,"receptor, interactions, addiction",10,14
"Liu, Fang",,,,,,,,,,,,,,,,,,,,,,,Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Development of peptide therapeutics via nasal delivery for major depression disorder,150000,0,1,,,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL AND BEHAVIOURAL DISEASES; MENTAL HEALTH; DRUG RESEARCH,2012-04-01,1,2013-03-31,"peptide, nasal delivery, depression",3,
"Liu, Fang",,,,,,,,,,,,,,,,,,,,,,,Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,Development and commercialisation of a novel treatment for multiple sclerosis,299101,0,1,,,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,2016-04-01,1,2017-03-31,"multiple sclerosis, treatment",4,
"Liu, Fei-Fei",,,0,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Targeting UROD As A Novel Anti-Cancer Therapeutic Strategy,150000,0,1,150000,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2010-04-01,1,2011-03-31,"UROD, Anti-Cancer, Therapeutic",1,1
"Logsetty, Sarvesh","ParaNano Wound Care, LLC",,1,,,,,,,,,,,,,,,,,,,,University of Manitoba,Manitoba,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,The effects of a novel hydrogel coating on commercial antimicrobial dressings.,157633,0,1,157633,1,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; INFECTIOUS AND PARASITIC; BIOCHEMISTRY; DRUG RESEARCH,2015-04-01,1,2016-03-31,"hydrogel, antimicrobial, dressings",3,3
"Lubell, William D",Mperia Therapeutics Inc.,,1,,,,,,,,,,,,,,,,,,,,Universite de Montreal,Quebec,Project Grant,202209PJT,Commercialization,"Treating Age-Related Macular Degeneration by Mitigating Inflammation, Oxidative Stress, and Lipid Accumulation through CD36 Modulation",833851,0,3,1350227,6,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",2023-04-01,1,2026-03-31,"Age-Related Macular Degeneration, Inflammation, CD36",0,0
"Lubell, William D",,,,,,,,,,,,,,,,,,,,,,,Universite de Montreal,Quebec,Project Grant,202303PJT,Commercialization,Interleukin-1 Receptor Modulating Therapy for Treating Macular Degeneration,516376,0,3,,,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",2023-10-01,1,2026-09-30,"Interleukin-1, Receptor, Macular Degeneration",0,
"Ma, Hongshen",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Pre-commercial Development of Microfluidic Technology for Deformability based Separation of Circulating Tumor Cells,160000,0,1,309825,4,Cancer Research,PROSTATE AND BLADDER CANCER; BLOOD; CANCER,2015-10-01,1,2016-09-30,"microfluidic, deformability, tumor cells",0,0
"Ma, Hongshen",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Non-contact screening technology to expedite cell line development for antibody production,524026,0,3,,,Cancer Research,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2020-04-01,1,2023-03-31,"non-contact, screening, antibody",0,
"Macaulay, Calum E",Motic Digital Pathology,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,A platform enabling personalized medicine through the detection of cells with specific genetic characterization,149825,0,1,296295,2,Cancer Research,"CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2009-07-01,1,2010-06-30,"personalized medicine, genetic characterization, cell detection",0,1
"Macaulay, Calum E",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Optically-Guided Biopsy for Improved Diagnosis of Peripheral Pulmonary Nodules,146470,0,1,,,Cancer Research,LUNG CANCER; NEOPLASMS; CANCER; HEALTH RESEARCH,2015-10-01,1,2016-09-30,"Optically-Guided, Biopsy, Pulmonary",1,
