Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End
"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Intravesical Taxanes,157412,0,452012,1,2,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH,2012-04-01,1,2013-03-31
"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Intravesical Docetaxel Formulation for the Treatment of Ta/T1 Stage Bladder Cancer,294600,0,,1,,Cancer Research,"PROSTATE AND BLADDER CANCER THERAPY; CANCER; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2013-10-01,1,2014-09-30
"C.-Gaudreault, Rene",Universite Laval,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Optimization and Validation of Highly Cytocidal Substituted Phenyl Imidazolidin-2-one as Antimicrotubule Agents for Cancer Chemotherapy,160000,0,460000,1,4,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2011-10-01,1,2012-09-30
"C.-Gaudreault, Rene",Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,Validation of Highly Potent Substituted Phenyl Alkylureas as Antipsoriatic Agents,497250,0,,3,,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2018-04-01,1,2021-03-31
"Cashman, Neil R",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A defined cyclic peptide epitope specific to Abeta oligomers:   Active and passive vaccination in mouse models of Alzheimer's disease,300000,0,300000,1,1,Aging,ALZHEIMER'S DISEASE; AGING; NERVOUS SYSTEM,2013-04-01,1,2014-03-31
"Chan, Tak Hang",McGill University,Quebec,Proof of Principle Program - Phase II,201109PP2,Proof of Principle,Evaluation of novel flavonoids in models of hematological cancer,300000,0,300000,1,1,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2012-04-01,1,2013-03-31
"Charron, Thierry",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Innovative device to reduce myocardial infarct size and no-reflow : Proof of concepts in humans,159300,0,159300,1,1,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; CARDIOLOGY; CARDIOVASCULAR,2014-04-01,1,2015-03-31
"Chauhan, Vijay S",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Rotor Mapping in Human Atrial Fibrillation,149015,10634,159649,1,1,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; HEALTH RESEARCH,2015-04-01,1,2016-03-31
"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase II,201003PP2,Proof of Principle,IL-1  Allosteramers to treat diabetes and its complications,300000,0,300000,1,1,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM/DIABETES; VISION,2010-10-01,1,2011-09-30
"Chen, Yen-I",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202309PJT,Commercialization,A novel through-the-scope exchangeable double balloon catheter to guide endoscopic bypass:  a practice-changing technology in the management of malignant gastric outlet obstruction,451350,0,451350,2,2,"Nutrition, Metabolism and Diabetes",null,2024-03-01,1,2025-02-28
"Cherkasov, Artem",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,150030,0,150030,1,1,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2014-10-01,1,2015-09-30
"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Development of endorectal MR elastography for prostate cancer detection,153344,0,300844,1,2,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,2011-04-01,1,2012-03-31
"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,147500,0,,1,,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; CANCER,2011-10-01,1,2012-09-30
"Coderre, Terence J",McGill University,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Synergistic topical combinations for chronic pain aimed at treating microvascular dysfunction.,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,2012-10-01,1,2013-09-30
"Coles, John G",Hospital for Sick Children (Toronto),Ontario,Project Grant,201709PJT,Commercialization,Integrin Linked Kinase as a Novel Therapeutic Target for Heart Failure,512550,0,512550,3,3,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences",2018-04-01,1,2021-03-31
"Conway, Edward M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Novel therapeutic approach for 'wet' and 'dry' age-related macular degeneration,160000,0,160000,1,1,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; AGING,2014-10-01,1,2015-09-30
"Cripton, Peter A",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Pro-Neck-Tor: A helmet to prevent spinal cord injuries occuring during sports and transportation,149752,0,149752,1,1,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; NERVOUS SYSTEM",2009-07-01,1,2010-06-30
"Crystal, Eugene","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Three-dimensional Catheter Tracking using a Single Two-dimensional Image,130077,12873,142950,1,1,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; IMAGING; CARDIOVASCULAR,2010-04-01,1,2011-03-31
"Cummins, Carolyn L",University of Toronto,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Developing a Novel Therapeutic for Cushing's Syndrome,160000,0,160000,1,1,"Nutrition, Metabolism and Diabetes",ENDOCRINOLOGY; MUSCULO SKELETAL; DRUG RESEARCH,2014-04-01,1,2015-03-31
"Cunningham, Charles H","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Wire for MRI-Guided Interventions,139840,8395,148235,1,1,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); IMAGING; CARDIOVASCULAR,2010-10-01,1,2011-09-30
"Cynader, Max S",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Novel peptide as potential therapeutic for treatment of ischemic stroke,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction","STROKE, HEART FAILURE",2012-04-01,1,2013-03-31
"Dacosta, Ralph S",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Development of PRODIGI, a Handheld Optical Imaging Technology for Real-time Intraoperative-guidance of Breast Tumour Resection",121250,24000,145250,1,1,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; IMAGING; CANCER,2011-10-01,1,2012-09-30
"Daugaard, Mads",University of British Columbia,British Columbia,Project Grant,202403PJT,Commercialization,An integrated AI-powered platform for cell analytics,730576,0,730576,4,4,Cancer Research,Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning; Methods Development and Modelling-Qualitative Methods Development for Health Research,2024-10-01,1,2028-09-30
"de Rezende, Joao B",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A Non-Traumatic Binder for Temporary Abdominal Wall Closure,115768,0,115768,1,1,Infection and Immunity,NONE OF THE ABOVE; NOT CLASSIFIED,2015-10-01,1,2016-09-30
"DeWitte-Orr, Stephanie","Wilfrid Laurier University (Waterloo, Ontario)",Ontario,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,Commercialization,Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,100000,0,100000,1,1,Infection and Immunity,"Immunology and Infection-Virology; Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2023-03-01,1,2024-02-29
"Diallo, Jean-Simon",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Evaluation of viral sensitizer technology in improving egg-based influenza vaccine manufacturing processes,222143,77857,300000,1,1,Infection and Immunity,VIRAL; NONE OF THE ABOVE; VIROLOGY; BIOCHEMISTRY,2014-10-01,1,2015-09-30
